iter	RMSE
0	2107.703835
1	2019.51419
2	1928.945382
3	1827.307746
4	1749.65516
5	1680.75621
6	1598.793159
7	1545.166201
8	1488.413349
9	1410.601212
10	1343.566391
11	1272.63821
12	1230.960121
13	1176.288969
14	1120.655836
15	1084.137125
16	1029.428292
17	981.5190937
18	950.9682358
19	908.6396464
20	877.1438712
21	841.127046
22	814.5450732
23	789.2987587
24	760.0246352
25	726.5251808
26	700.1405665
27	673.2896164
28	651.3128296
29	629.0969175
30	610.4091518
31	589.9287092
32	569.6278293
33	547.1677068
34	521.5898011
35	507.0977379
36	487.6873405
37	471.3527921
38	453.8909154
39	437.5819979
40	421.5542003
41	405.8313136
42	391.6238702
43	378.5906397
44	365.4919281
45	353.1214167
46	341.1709756
47	329.4906617
48	318.3651403
49	306.4433685
50	296.1373164
51	286.0588784
52	276.4107698
53	267.2541691
54	257.3205628
55	247.8159281
56	238.5445508
57	230.0982467
58	221.8640581
59	213.9357051
60	206.3014604
61	199.0035126
62	191.9138805
63	185.0866035
64	178.5117414
65	172.1797648
66	166.2852523
67	160.4076941
68	154.9272634
69	149.4506955
70	144.3556116
71	139.2522794
72	134.3298386
73	129.5818408
74	125.17253
75	120.7477743
76	116.4798265
77	112.3630993
78	108.3922066
79	104.7107302
80	101.1625224
81	97.58639309
82	94.13700662
83	90.80984622
84	87.60055797
85	84.50494484
86	81.51896083
87	78.63870549
88	75.86041849
89	73.18047457
90	70.5953785
91	68.10176039
92	65.69637108
93	63.37607777
94	61.13785973
95	58.97880428
96	56.89610283
97	54.88704711
98	52.94902555
99	51.07951976
