iter	Passed	Remaining
0	1	189
1	2	105
2	2	85
3	3	75
4	3	65
5	3	61
6	4	58
7	4	54
8	5	50
9	5	48
10	5	44
11	6	44
12	6	42
13	6	41
14	7	40
15	7	40
16	8	40
17	8	39
18	10	44
19	11	45
20	11	44
21	12	43
22	13	43
23	13	42
24	14	42
25	14	41
26	15	40
27	15	40
28	15	39
29	16	38
30	17	37
31	17	38
32	18	37
33	19	38
34	20	37
35	21	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	25	32
44	26	32
45	26	31
46	27	31
47	28	30
48	29	30
49	29	29
50	29	28
51	30	28
52	31	27
53	32	27
54	32	26
55	33	26
56	33	25
57	34	24
58	34	24
59	35	23
60	36	23
61	36	22
62	36	21
63	37	21
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	39	17
70	40	16
71	41	16
72	42	15
73	42	15
74	43	14
75	44	13
76	45	13
77	45	12
78	46	12
79	46	11
80	46	10
81	46	10
82	47	9
83	47	9
84	47	8
85	48	7
86	48	7
87	48	6
88	49	6
89	49	5
90	49	4
91	50	4
92	50	3
93	50	3
94	50	2
95	51	2
96	51	1
97	51	1
98	52	0
99	52	0
