iter	RMSE
0	5950.954421
1	5836.426731
2	5713.899506
3	5623.269125
4	5524.335596
5	5460.75466
6	5326.465538
7	5214.657608
8	5115.31726
9	5048.842302
10	4975.963907
11	4879.124076
12	4790.591177
13	4727.429111
14	4645.895156
15	4547.216411
16	4506.833196
17	4434.739418
18	4374.089037
19	4364.2559
20	4350.860354
21	4301.133078
22	4266.006512
23	4213.625675
24	4167.19839
25	4118.654562
26	4081.248547
27	4053.034245
28	4021.034944
29	3971.200742
30	3911.753124
31	3859.560606
32	3810.244773
33	3794.609833
34	3774.005563
35	3747.888223
36	3703.526314
37	3651.442468
38	3609.69684
39	3598.239976
40	3560.092737
41	3522.134025
42	3496.287696
43	3428.515303
44	3367.285333
45	3352.256213
46	3326.711859
47	3295.733711
48	3278.958663
49	3245.870709
50	3215.6784
51	3171.426159
52	3137.096226
53	3126.950157
54	3076.707457
55	3058.559256
56	3047.763313
57	3027.036678
58	2993.740562
59	2969.217492
60	2934.608763
61	2924.085997
62	2909.559206
63	2901.459339
64	2862.445594
65	2847.592525
66	2830.151472
67	2814.775218
68	2797.812821
69	2782.142898
70	2770.011811
71	2744.361795
72	2724.310116
73	2711.755281
74	2699.293705
75	2686.825759
76	2675.296658
77	2666.886408
78	2654.075641
79	2644.622804
80	2636.600885
81	2625.15932
82	2592.815804
83	2582.760511
84	2548.460201
85	2540.034575
86	2530.515221
87	2520.672929
88	2511.095304
89	2481.454207
90	2471.940396
91	2446.323955
92	2437.357164
93	2428.85419
94	2420.349789
95	2412.322836
96	2402.811971
97	2379.003804
98	2369.762155
99	2363.062398
100	2355.639066
101	2333.26726
102	2324.499668
103	2294.801122
104	2286.777101
105	2278.948109
106	2254.792612
107	2246.577933
108	2238.635765
109	2218.819985
110	2213.102507
111	2205.410887
112	2186.281896
113	2180.800694
114	2173.408659
115	2168.107448
116	2150.153889
117	2143.096483
118	2136.190003
119	2110.890333
120	2104.14136
121	2080.385278
122	2073.840636
123	2069.085865
124	2049.574731
125	2043.183593
126	2037.020277
127	2018.359449
128	2013.920001
129	1996.781526
130	1978.816323
131	1972.949798
132	1956.526263
133	1926.324518
134	1910.333077
135	1906.422472
136	1887.58481
137	1872.529489
138	1868.772385
139	1854.312781
140	1850.606974
141	1846.984629
142	1833.05968
143	1829.487237
144	1816.103701
145	1812.58131
146	1786.794553
147	1783.433867
148	1772.904056
149	1758.137186
150	1754.813074
151	1751.563901
152	1727.578892
153	1714.127461
154	1704.154943
155	1698.844296
156	1695.881882
157	1686.184909
158	1682.882578
159	1679.996505
160	1670.575556
161	1667.365982
162	1645.329891
163	1633.073917
164	1614.038639
165	1605.122466
