iter	Passed	Remaining
0	2	2323
1	3	1692
2	4	1544
3	6	1526
4	6	1372
5	7	1270
6	8	1186
7	9	1133
8	9	1078
9	10	1037
10	11	1009
11	11	985
12	12	954
13	13	935
14	13	915
15	14	900
16	15	887
17	15	872
18	16	862
19	17	857
20	18	852
21	18	844
22	19	838
23	20	837
24	21	831
25	22	825
26	22	823
27	23	817
28	24	811
29	25	810
30	25	806
31	26	799
32	27	793
33	27	786
34	28	779
35	29	777
36	29	773
37	30	769
38	31	766
39	31	765
40	32	763
41	33	760
42	34	759
43	34	757
44	35	757
45	36	754
46	37	751
47	37	748
48	38	745
49	39	741
50	39	738
51	40	736
52	41	735
53	41	732
54	42	728
55	43	725
56	43	723
57	44	723
58	45	719
59	45	716
60	46	715
61	47	713
62	47	711
63	49	721
64	50	719
65	51	728
66	52	728
67	53	727
68	53	726
69	55	733
70	55	731
71	56	729
72	57	727
73	58	726
74	58	723
75	59	721
76	60	720
77	60	718
78	61	717
79	62	714
80	62	712
81	63	709
82	64	709
83	64	707
84	65	706
85	66	704
86	66	702
87	67	701
88	68	699
89	69	698
90	69	696
91	70	697
92	71	698
93	72	696
94	72	695
95	73	694
96	74	692
97	75	690
98	75	688
99	76	687
100	77	685
101	77	683
102	78	682
103	79	681
104	79	679
105	80	678
106	81	676
107	81	676
108	82	675
109	83	673
110	83	671
111	84	669
112	85	668
113	85	666
114	86	665
115	87	663
116	87	662
117	88	661
118	89	659
119	89	658
120	90	657
121	91	656
122	91	655
123	92	653
124	93	652
125	93	651
126	94	649
127	95	648
128	95	647
129	96	646
130	97	645
131	98	644
132	98	642
133	99	641
134	100	641
135	100	640
136	101	639
137	102	638
138	102	636
139	103	635
140	104	633
141	104	632
142	105	631
143	106	630
144	106	629
145	107	628
146	108	627
147	108	626
148	109	625
149	110	624
150	110	623
151	111	622
152	112	621
153	112	619
154	113	619
155	114	618
156	115	617
157	115	616
158	116	615
159	117	614
160	117	613
161	118	612
162	119	611
163	119	610
164	120	609
165	120	607
166	121	606
167	122	605
168	122	604
169	123	603
170	124	602
171	125	601
172	125	600
173	126	599
174	127	598
175	127	597
176	128	596
177	128	595
178	129	595
179	130	594
180	131	593
181	131	592
182	132	591
183	133	590
184	133	589
185	134	588
186	135	587
187	135	586
188	136	585
189	137	584
190	137	583
191	138	582
192	138	581
193	139	580
194	140	579
195	141	578
196	141	577
197	142	577
198	143	576
199	143	575
200	144	574
201	145	574
202	146	573
203	146	572
204	147	571
205	148	571
206	148	570
207	149	569
208	150	568
209	150	567
210	151	566
211	152	565
212	152	564
213	153	563
214	154	562
215	154	561
216	155	560
217	156	559
218	156	559
219	157	558
220	158	557
221	158	556
222	159	555
223	160	554
224	160	553
225	161	552
226	162	552
227	162	551
228	163	550
229	164	549
230	164	549
231	165	547
232	166	547
233	166	546
234	167	545
235	168	544
236	168	543
237	169	542
238	170	542
239	170	541
240	171	540
241	172	539
242	172	538
243	173	537
244	174	537
245	175	536
246	175	535
247	176	534
248	177	533
249	177	533
250	178	532
251	179	531
252	179	530
253	180	529
254	180	528
255	181	528
256	182	527
257	183	526
258	183	526
259	184	525
260	185	524
261	185	523
262	186	523
263	187	522
264	187	521
265	188	520
266	189	519
267	190	518
268	190	518
269	191	517
270	192	516
271	192	515
272	193	515
273	194	514
274	194	513
275	195	513
276	196	512
277	196	511
278	197	510
279	198	510
280	198	509
281	199	508
282	200	507
283	201	507
284	201	506
285	202	505
286	203	504
287	203	503
288	204	503
289	205	502
290	205	501
291	206	500
292	207	499
293	207	499
294	208	498
295	209	498
296	210	498
297	211	497
298	211	496
299	212	495
300	213	495
301	213	494
302	214	493
303	215	492
304	215	492
305	216	491
306	217	490
307	218	489
308	218	489
309	219	488
310	220	487
311	220	486
312	221	485
313	221	484
314	222	483
315	223	483
316	223	482
317	224	481
318	225	481
319	226	480
320	226	480
321	227	479
322	228	478
323	229	478
324	229	477
325	230	476
326	231	475
327	231	474
328	232	474
329	233	473
330	233	472
331	234	471
332	235	471
333	236	470
334	236	469
335	237	469
336	238	468
337	239	468
338	239	467
339	240	467
340	241	466
341	242	465
342	242	464
343	243	464
344	244	463
345	244	462
346	245	461
347	246	461
348	246	460
349	247	459
350	248	458
351	248	457
352	249	457
353	250	456
354	250	455
355	251	454
356	251	453
357	252	453
358	253	452
359	253	451
360	254	450
361	255	450
362	256	449
363	256	448
364	257	447
365	258	447
366	258	446
367	259	445
368	260	445
369	260	444
370	261	443
371	262	442
372	262	441
373	263	441
374	264	440
375	265	439
376	265	439
377	266	438
378	267	437
379	267	437
380	268	436
381	269	435
382	270	435
383	270	434
384	271	433
385	271	432
386	272	431
387	273	431
388	274	430
389	274	429
390	275	429
391	276	428
392	276	427
393	277	426
394	278	426
395	278	425
396	279	424
397	280	423
398	280	423
399	281	422
400	282	421
401	282	420
402	283	420
403	284	419
404	285	418
405	285	418
406	286	417
407	287	416
408	287	416
409	288	415
410	289	414
411	289	413
412	290	413
413	291	412
414	292	411
415	292	410
416	293	410
417	294	409
418	294	408
419	295	407
420	296	407
421	296	406
422	297	405
423	298	404
424	298	404
425	299	403
426	300	402
427	300	402
428	301	401
429	302	400
430	303	400
431	303	399
432	304	398
433	305	397
434	305	397
435	306	396
436	307	395
437	308	395
438	308	394
439	309	393
440	310	393
441	310	392
442	311	391
443	312	390
444	312	390
445	313	389
446	314	388
447	315	388
448	315	387
449	316	386
450	317	386
451	317	385
452	318	384
453	319	384
454	319	383
455	320	382
456	321	381
457	322	381
458	322	380
459	323	379
460	324	379
461	325	378
462	325	377
463	326	377
464	327	376
465	327	375
466	328	374
467	329	374
468	329	373
469	330	372
470	331	372
471	331	371
472	332	370
473	333	370
474	334	369
475	334	368
476	335	367
477	336	367
478	336	366
479	337	365
480	338	365
481	339	364
482	339	363
483	340	362
484	340	362
485	341	361
486	342	360
487	343	360
488	343	359
489	344	358
490	345	357
491	345	357
492	346	356
493	347	355
494	347	354
495	348	354
496	349	353
497	349	352
498	350	351
499	351	351
500	351	350
501	352	349
502	353	348
503	354	348
504	355	348
505	355	347
506	356	346
507	357	345
508	357	345
509	358	344
510	359	343
511	359	342
512	360	342
513	361	341
514	362	340
515	362	340
516	363	339
517	364	338
518	364	338
519	365	337
520	366	336
521	366	335
522	367	335
523	368	334
524	368	333
525	369	332
526	370	332
527	370	331
528	371	330
529	372	330
530	372	329
531	373	328
532	374	327
533	374	327
534	375	326
535	376	325
536	377	325
537	377	324
538	378	323
539	379	323
540	379	322
541	380	321
542	381	320
