date,location,forecast_value
2024-04-01,BLR,4985.2
2024-04-01,COK,6238.7
2024-04-01,MAA,26894.8
2024-04-01,SBD,13580.4
2024-04-01,VJW,9186.0
2024-05-01,BLR,3474.9
2024-05-01,COK,3285.6
2024-05-01,MAA,14672.5
2024-05-01,SBD,7654.5
2024-05-01,VJW,6591.8
2024-06-01,BLR,2231.5
2024-06-01,COK,1723.2
2024-06-01,MAA,8452.6
2024-06-01,SBD,5006.0
2024-06-01,VJW,4465.9
2024-07-01,BLR,1837.8
2024-07-01,COK,2062.5
2024-07-01,MAA,6490.7
2024-07-01,SBD,2668.0
2024-07-01,VJW,1420.0
2024-08-01,BLR,2105.5
2024-08-01,COK,3488.5
2024-08-01,MAA,7632.0
2024-08-01,SBD,4288.8
2024-08-01,VJW,2575.5
2024-09-01,BLR,3041.8
2024-09-01,COK,2972.1
2024-09-01,MAA,10174.8
2024-09-01,SBD,5179.0
2024-09-01,VJW,3516.8
2024-10-01,BLR,2337.9
2024-10-01,COK,1716.9
2024-10-01,MAA,7151.1
2024-10-01,SBD,6158.0
2024-10-01,VJW,5218.8
2024-11-01,BLR,2742.4
2024-11-01,COK,2431.5
2024-11-01,MAA,7053.6
2024-11-01,SBD,5844.9
2024-11-01,VJW,2611.0
2024-12-01,BLR,4399.1
2024-12-01,COK,5701.3
2024-12-01,MAA,24571.1
2024-12-01,SBD,21848.5
2024-12-01,VJW,6830.9
2025-01-01,BLR,4068.6
2025-01-01,COK,2601.5
2025-01-01,MAA,10513.6
2025-01-01,SBD,7932.0
2025-01-01,VJW,3334.2
2025-02-01,BLR,4810.9
2025-02-01,COK,4323.9
2025-02-01,MAA,13397.3
2025-02-01,SBD,13782.8
2025-02-01,VJW,5915.6
2025-03-01,BLR,5809.4
2025-03-01,COK,7185.7
2025-03-01,MAA,17906.9
2025-03-01,SBD,15044.8
2025-03-01,VJW,9341.3
2025-04-01,BLR,5134.9
2025-04-01,COK,6427.0
2025-04-01,MAA,27706.5
2025-04-01,SBD,13988.3
2025-04-01,VJW,9461.6
2025-05-01,BLR,3579.5
2025-05-01,COK,3384.5
2025-05-01,MAA,15112.6
2025-05-01,SBD,7881.9
2025-05-01,VJW,6789.6
2025-06-01,BLR,2298.2
2025-06-01,COK,1774.9
2025-06-01,MAA,8705.9
2025-06-01,SBD,5156.2
2025-06-01,VJW,4599.3
2025-07-01,BLR,1892.9
2025-07-01,COK,2124.4
2025-07-01,MAA,6685.4
2025-07-01,SBD,2748.0
2025-07-01,VJW,1462.6
2025-08-01,BLR,2168.7
2025-08-01,COK,3593.2
2025-08-01,MAA,7861.2
2025-08-01,SBD,4417.5
2025-08-01,VJW,2652.8
2025-09-01,BLR,3133.1
2025-09-01,COK,3061.1
2025-09-01,MAA,10480.0
2025-09-01,SBD,5334.4
2025-09-01,VJW,3622.3
2025-10-01,BLR,2408.0
2025-10-01,COK,1768.4
2025-10-01,MAA,7365.6
2025-10-01,SBD,6342.7
2025-10-01,VJW,5375.4
2025-11-01,BLR,2824.7
2025-11-01,COK,2504.5
2025-11-01,MAA,7265.2
2025-11-01,SBD,6020.3
2025-11-01,VJW,2689.4
2025-12-01,BLR,4531.7
2025-12-01,COK,5872.4
2025-12-01,MAA,25308.5
2025-12-01,SBD,22504.0
2025-12-01,VJW,7035.8
2026-01-01,BLR,4190.7
2026-01-01,COK,2679.6
2026-01-01,MAA,10829.0
2026-01-01,SBD,8170.0
2026-01-01,VJW,3433.9
2026-02-01,BLR,4955.3
2026-02-01,COK,4453.6
2026-02-01,MAA,13799.5
2026-02-01,SBD,14196.1
2026-02-01,VJW,6093.1
2026-03-01,BLR,5983.7
2026-03-01,COK,7401.3
2026-03-01,MAA,18444.2
2026-03-01,SBD,15496.2
2026-03-01,VJW,9621.6
