Branch,Date,Quantity
MAA,2019-04-01,417.0
MAA,2019-04-08,1779.0
MAA,2019-04-15,3159.5
MAA,2019-04-22,3757.0
MAA,2019-04-29,5210.0
MAA,2019-05-06,2708.0
MAA,2019-05-13,2167.0
MAA,2019-05-20,2345.0
MAA,2019-05-27,3479.5
MAA,2019-06-03,825.0
MAA,2019-06-10,1510.0
MAA,2019-06-17,1996.5
MAA,2019-06-24,2169.5
MAA,2019-07-01,323.0
MAA,2019-07-08,1207.0
MAA,2019-07-15,1073.0
MAA,2019-07-22,997.5
MAA,2019-07-29,1281.5
MAA,2019-08-05,424.0
MAA,2019-08-12,720.0
MAA,2019-08-19,1046.5
MAA,2019-08-26,2027.0
MAA,2019-09-02,466.5
MAA,2019-09-09,710.5
MAA,2019-09-16,951.0
MAA,2019-09-23,3303.0
MAA,2019-09-30,600.5
MAA,2019-10-07,561.5
MAA,2019-10-14,585.5
MAA,2019-10-21,997.5
MAA,2019-10-28,2149.5
MAA,2019-11-04,304.5
MAA,2019-11-11,324.0
MAA,2019-11-18,516.5
MAA,2019-11-25,1541.5
MAA,2019-12-02,619.5
MAA,2019-12-09,524.0
MAA,2019-12-16,228.5
MAA,2019-12-23,3103.0
MAA,2019-12-30,2015.0
MAA,2020-01-06,543.0
MAA,2020-01-13,942.5
MAA,2020-01-20,819.5
MAA,2020-01-27,3002.0
MAA,2020-02-03,583.0
MAA,2020-02-10,1555.0
MAA,2020-02-17,3287.5
MAA,2020-02-24,7378.5
MAA,2020-03-02,2566.5
MAA,2020-03-09,1553.5
MAA,2020-03-16,1087.5
MAA,2020-05-11,2337.0
MAA,2020-05-18,2464.0
MAA,2020-05-25,4950.0
MAA,2020-06-01,1768.5
MAA,2020-06-08,2387.0
MAA,2020-06-15,865.0
MAA,2020-06-22,485.0
MAA,2020-06-29,221.0
MAA,2020-07-06,478.0
MAA,2020-07-13,413.0
MAA,2020-07-20,661.0
MAA,2020-07-27,2477.0
MAA,2020-08-03,228.0
MAA,2020-08-10,133.5
MAA,2020-08-17,525.5
MAA,2020-08-24,2460.0
MAA,2020-08-31,812.0
MAA,2020-09-07,824.5
MAA,2020-09-14,1083.0
MAA,2020-09-21,1964.0
MAA,2020-09-28,2087.0
MAA,2020-10-05,555.0
MAA,2020-10-12,368.0
MAA,2020-10-19,757.0
MAA,2020-10-26,2824.5
MAA,2020-11-02,282.5
MAA,2020-11-09,526.5
MAA,2020-11-16,516.5
MAA,2020-11-23,1980.0
MAA,2020-11-30,1016.0
MAA,2020-12-07,368.0
MAA,2020-12-14,1140.0
MAA,2020-12-21,4431.0
MAA,2020-12-28,2782.0
MAA,2021-01-04,905.0
MAA,2021-01-11,377.0
MAA,2021-01-18,589.0
MAA,2021-01-25,3755.0
MAA,2021-02-01,969.5
MAA,2021-02-08,2129.0
MAA,2021-02-15,1243.5
MAA,2021-02-22,4109.0
MAA,2021-03-01,728.0
MAA,2021-03-08,1050.0
MAA,2021-03-15,3564.0
MAA,2021-03-22,1543.0
MAA,2021-03-29,3505.0
MAA,2021-04-05,6937.0
MAA,2021-04-12,5811.0
MAA,2021-04-19,2483.5
MAA,2021-04-26,4030.5
MAA,2021-05-03,427.0
MAA,2021-05-10,6.0
MAA,2021-05-17,277.0
MAA,2021-05-31,426.0
MAA,2021-06-07,248.0
MAA,2021-06-14,882.0
MAA,2021-06-21,1443.5
MAA,2021-06-28,1613.5
MAA,2021-07-05,824.0
MAA,2021-07-12,675.0
MAA,2021-07-19,815.5
MAA,2021-07-26,1994.5
MAA,2021-08-02,417.0
MAA,2021-08-09,1462.0
MAA,2021-08-16,1483.5
MAA,2021-08-23,1095.0
MAA,2021-08-30,1178.0
MAA,2021-09-06,784.5
MAA,2021-09-13,1606.0
MAA,2021-09-20,1715.0
MAA,2021-09-27,1741.0
MAA,2021-10-04,445.5
MAA,2021-10-11,749.5
MAA,2021-10-18,894.0
MAA,2021-10-25,2312.5
MAA,2021-11-01,571.0
MAA,2021-11-08,356.0
MAA,2021-11-15,360.0
MAA,2021-11-22,1275.5
MAA,2021-11-29,1242.0
MAA,2021-12-06,434.0
MAA,2021-12-13,2886.0
MAA,2021-12-20,5258.0
MAA,2021-12-27,3256.5
MAA,2022-01-03,1180.0
MAA,2022-01-10,405.5
MAA,2022-01-17,366.0
MAA,2022-01-24,910.0
MAA,2022-01-31,374.0
MAA,2022-02-07,519.0
MAA,2022-02-14,1212.0
MAA,2022-02-21,5096.5
MAA,2022-02-28,1881.5
MAA,2022-03-07,945.0
MAA,2022-03-14,1125.5
MAA,2022-03-21,7748.0
MAA,2022-03-28,597.0
MAA,2022-04-04,5109.5
MAA,2022-04-11,4314.5
MAA,2022-04-18,4603.0
MAA,2022-04-25,5975.5
MAA,2022-05-02,731.0
MAA,2022-05-09,1352.5
MAA,2022-05-16,2437.0
MAA,2022-05-23,2823.0
MAA,2022-05-30,1950.0
MAA,2022-06-06,487.5
MAA,2022-06-13,1097.0
MAA,2022-06-20,2250.0
MAA,2022-06-27,2449.5
MAA,2022-07-04,200.0
MAA,2022-07-11,532.0
MAA,2022-07-18,1263.0
MAA,2022-07-25,2094.5
MAA,2022-08-01,53.0
MAA,2022-08-08,516.0
MAA,2022-08-15,966.0
MAA,2022-08-22,1908.5
MAA,2022-08-29,1072.0
MAA,2022-09-05,676.0
MAA,2022-09-12,981.5
MAA,2022-09-19,1345.5
MAA,2022-09-26,3101.0
MAA,2022-10-03,153.0
MAA,2022-10-10,644.5
MAA,2022-10-17,783.0
MAA,2022-10-24,1502.0
MAA,2022-10-31,969.0
MAA,2022-11-07,440.0
MAA,2022-11-14,343.0
MAA,2022-11-21,741.5
MAA,2022-11-28,2009.0
MAA,2022-12-05,301.0
MAA,2022-12-12,553.0
MAA,2022-12-19,6310.0
MAA,2022-12-26,10957.5
MAA,2023-01-02,25.0
MAA,2023-01-09,1266.0
MAA,2023-01-16,1059.0
MAA,2023-01-23,1837.0
MAA,2023-01-30,2103.5
MAA,2023-02-06,449.0
MAA,2023-02-13,1792.5
MAA,2023-02-20,2179.5
MAA,2023-02-27,3664.0
MAA,2023-03-06,1964.0
MAA,2023-03-13,815.0
MAA,2023-03-20,2697.5
MAA,2023-03-27,8506.0
MAA,2023-04-03,1050.0
MAA,2023-04-10,1452.5
MAA,2023-04-17,3023.0
MAA,2023-04-24,13993.0
MAA,2023-05-01,610.5
MAA,2023-05-08,540.0
MAA,2023-05-15,1373.5
MAA,2023-05-22,2902.0
MAA,2023-05-29,8112.0
MAA,2023-06-05,1260.0
MAA,2023-06-12,1585.0
MAA,2023-06-19,1635.0
MAA,2023-06-26,1893.5
MAA,2023-07-03,314.0
MAA,2023-07-10,566.0
MAA,2023-07-17,409.0
MAA,2023-07-24,2536.0
MAA,2023-07-31,1428.5
MAA,2023-08-07,1223.5
MAA,2023-08-14,2322.0
MAA,2023-08-21,1542.0
