Month,Interest
2019-01,24
2019-02,30
2019-03,43
2019-04,71
2019-05,66
2019-06,58
2019-07,38
2019-08,32
2019-09,31
2019-10,27
2019-11,24
2019-12,25
2020-01,26
2020-02,32
2020-03,32
2020-04,39
2020-05,80
2020-06,60
2020-07,44
2020-08,38
2020-09,36
2020-10,30
2020-11,25
2020-12,25
2021-01,27
2021-02,33
2021-03,57
2021-04,60
2021-05,48
2021-06,53
2021-07,48
2021-08,33
2021-09,29
2021-10,29
2021-11,23
2021-12,22
2022-01,23
2022-02,32
2022-03,67
2022-04,80
2022-05,70
2022-06,56
2022-07,43
2022-08,37
2022-09,38
2022-10,28
2022-11,24
2022-12,24
2023-01,25
2023-02,35
2023-03,46
2023-04,74
2023-05,67
2023-06,74
2023-07,45
2023-08,41
2023-09,35
2023-10,30
2023-11,26
2023-12,27
2024-01,28
2024-02,34
2024-03,53
2024-04,92
2024-05,100
2024-06,68
2024-07,44
2024-08,38
2024-09,36
2024-10,33
2024-11,28
2024-12,26
2025-01,30
2025-02,40
2025-03,65
2025-04,84
2025-05,73
2025-06,71
2025-07,42
2025-08,39
2025-09,36
2025-10,34
