Date,Branch,Segment,Star rating,Tonnage,Qty,Year,Month,Week,F_Year,F_Month,F_Year_Label,Region
2019-04-03,MAA,Inv,4 Star,2.0,1.0,2019,4,14,2019,1,2019-20,South
2019-04-03,VJW,Inv,5 Star,1.5,7.0,2019,4,14,2019,1,2019-20,South
2019-04-03,VJW,Inv,5 Star,1.5,2.0,2019,4,14,2019,1,2019-20,South
2019-04-03,VJW,Inv,3 Star,1.5,1.0,2019,4,14,2019,1,2019-20,South
2019-04-03,MAA,Inv,3 Star,1.5,1.0,2019,4,14,2019,1,2019-20,South
2019-04-03,MAA,Inv,3 Star,1.0,1.0,2019,4,14,2019,1,2019-20,South
2019-04-03,MAA,Non Inv,3 Star,1.5,10.0,2019,4,14,2019,1,2019-20,South
2019-04-03,MAA,Non Inv,3 Star,1.0,10.0,2019,4,14,2019,1,2019-20,South
2019-04-04,SBD,Non Inv,2 Star,2.0,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,VJW,Inv,5 Star,1.8,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,VJW,Non Inv,3 Star,1.8,2.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Non Inv,3 Star,1.0,8.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Non Inv,3 Star,1.5,6.0,2019,4,14,2019,1,2019-20,South
2019-04-04,BLR,Non Inv,2 Star,1.8,4.0,2019,4,14,2019,1,2019-20,South
2019-04-04,COK,Non Inv,3 Star,1.0,3.0,2019,4,14,2019,1,2019-20,South
2019-04-04,COK,Non Inv,3 Star,1.5,3.0,2019,4,14,2019,1,2019-20,South
2019-04-04,VJW,Inv,5 Star,1.5,3.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Non Inv,2 Star,1.8,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Non Inv,2 Star,1.8,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Inv,5 Star,1.5,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Non Inv,2 Star,1.0,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,BLR,Inv,3 Star,1.0,35.0,2019,4,14,2019,1,2019-20,South
2019-04-04,BLR,Inv,3 Star,1.8,3.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Inv,3 Star,1.5,10.0,2019,4,14,2019,1,2019-20,South
2019-04-04,BLR,Inv,5 Star,1.0,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,BLR,Inv,4 Star,2.0,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Non Inv,3 Star,1.0,15.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Non Inv,3 Star,1.0,5.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Inv,3 Star,1.0,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Inv,5 Star,1.5,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Non Inv,3 Star,1.0,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Inv,4 Star,2.0,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,COK,Inv,3 Star,1.5,1.5,2019,4,14,2019,1,2019-20,South
2019-04-04,COK,Inv,3 Star,1.0,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,SBD,Inv,5 Star,1.8,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Non Inv,3 Star,1.0,13.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Inv,3 Star,1.8,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Inv,3 Star,1.0,2.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Non Inv,3 Star,1.5,3.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Non Inv,2 Star,1.5,3.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Inv,4 Star,2.0,2.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Inv,5 Star,1.5,1.0,2019,4,14,2019,1,2019-20,South
2019-04-04,SBD,Inv,4 Star,2.0,3.0,2019,4,14,2019,1,2019-20,South
2019-04-04,MAA,Non Inv,2 Star,1.8,1.0,2019,4,14,2019,1,2019-20,South
