date,decomp_forecast,xgb_forecast,branch,absolute_difference,percentage_difference,difference
2025-07-01,2286.5,2185.60009765625,SBD,100.89990234375,-4.412853809042204,-100.89990234375
2025-08-01,4438.8,3708.8,SBD,730.0,-16.445886275569972,-730.0
2025-09-01,5301.7,4490.7,SBD,811.0,-15.296980213893658,-811.0
2025-10-01,5214.3,4339.2,SBD,875.1000000000004,-16.78269374604454,-875.1000000000004
2025-11-01,4268.4,3525.5,SBD,742.8999999999996,-17.404648111704613,-742.8999999999996
2025-12-01,21645.6,16949.6,SBD,4696.0,-21.694940311194884,-4696.0
2026-01-01,8199.5,7588.5,SBD,611.0,-7.451673882553814,-611.0
2026-02-01,13980.4,10572.3,SBD,3408.1000000000004,-24.377700208863843,-3408.1000000000004
2026-03-01,20810.5,17399.1,SBD,3411.4000000000015,-16.392686384277173,-3411.4000000000015
2026-04-01,15072.7,11489.5,SBD,3583.2000000000007,-23.772781253524588,-3583.2000000000007
2026-05-01,8244.0,5869.9,SBD,2374.1000000000004,-28.797913634158178,-2374.1000000000004
2026-06-01,4754.5,3381.3,SBD,1373.1999999999998,-28.8821116836681,-1373.1999999999998
2025-07-01,2767.9,2352.1,COK,415.8000000000002,-15.02221901080242,-415.8000000000002
2025-08-01,4974.8,4091.8,COK,883.0,-17.749457264613653,-883.0
2025-09-01,3674.0,2769.8,COK,904.1999999999998,-24.610778443113766,-904.1999999999998
2025-10-01,1948.3,1578.9,COK,369.39999999999986,-18.960119078170706,-369.39999999999986
2025-11-01,2850.4,2162.9,COK,687.5,-24.119421835531853,-687.5
2025-12-01,6670.2,5426.1,COK,1244.0999999999995,-18.651614644238546,-1244.0999999999995
2026-01-01,3278.8,2663.7,COK,615.1000000000004,-18.75991216298647,-615.1000000000004
2026-02-01,6326.1,5155.0,COK,1171.1000000000004,-18.512195507500675,-1171.1000000000004
2026-03-01,11128.7,8931.2,COK,2197.5,-19.746241699389863,-2197.5
2026-04-01,8878.1,7260.9,COK,1617.2000000000007,-18.21560919566124,-1617.2000000000007
2026-05-01,4949.1,3880.9,COK,1068.2000000000003,-21.583722292942156,-1068.2000000000003
2026-06-01,2426.2,2039.4,COK,386.7999999999997,-15.942626329239129,-386.7999999999997
2025-07-01,5885.6,5377.0,MAA,508.60000000000036,-8.641429930678271,-508.60000000000036
2025-08-01,7387.2,6335.2,MAA,1052.0,-14.240849036170674,-1052.0
2025-09-01,8943.4,7117.7,MAA,1825.6999999999998,-20.413936534203994,-1825.6999999999998
2025-10-01,6500.7,5087.8,MAA,1412.8999999999996,-21.7345824295845,-1412.8999999999996
