Date,Branch,Qty
2019-04-01,BLR,2667.0
2019-04-01,COK,1756.0
2019-04-01,MAA,13121.5
2019-04-01,SBD,3564.5
2019-04-01,VJW,5260.0
2019-05-01,BLR,2446.5
2019-05-01,COK,1349.0
2019-05-01,MAA,11896.5
2019-05-01,SBD,5371.0
2019-05-01,VJW,11387.5
2019-06-01,BLR,1103.0
2019-06-01,COK,712.0
2019-06-01,MAA,6505.0
2019-06-01,SBD,3028.0
2019-06-01,VJW,2508.5
2019-07-01,BLR,1222.5
2019-07-01,COK,1126.5
2019-07-01,MAA,4714.0
2019-07-01,SBD,1635.5
2019-07-01,VJW,1024.0
2019-08-01,BLR,1017.0
2019-08-01,COK,1430.0
2019-08-01,MAA,4385.5
2019-08-01,SBD,1917.0
2019-08-01,VJW,1249.5
2019-09-01,BLR,2227.0
2019-09-01,COK,1629.5
2019-09-01,MAA,5986.5
2019-09-01,SBD,2448.0
2019-09-01,VJW,1952.5
2019-10-01,BLR,1413.0
2019-10-01,COK,610.5
2019-10-01,MAA,4327.0
2019-10-01,SBD,2726.5
2019-10-01,VJW,2280.0
2019-11-01,BLR,1908.5
2019-11-01,COK,1006.5
2019-11-01,MAA,2698.5
2019-11-01,SBD,2692.0
2019-11-01,VJW,1809.0
2019-12-01,BLR,2610.5
2019-12-01,COK,1974.5
2019-12-01,MAA,6223.0
2019-12-01,SBD,7858.0
2019-12-01,VJW,2721.0
2020-01-01,BLR,1919.5
2020-01-01,COK,1168.5
2020-01-01,MAA,5521.0
2020-01-01,SBD,7797.5
2020-01-01,VJW,3005.0
2020-02-01,BLR,3508.5
2020-02-01,COK,3053.5
2020-02-01,MAA,12857.0
2020-02-01,SBD,14183.5
2020-02-01,VJW,6860.0
2020-03-01,BLR,856.5
2020-03-01,COK,1485.0
2020-03-01,MAA,5207.5
2020-03-01,SBD,4037.5
2020-03-01,VJW,1703.0
2020-04-01,BLR,2580.5
2020-04-01,COK,2370.0
2020-04-01,MAA,17920.25
2020-04-01,SBD,7107.5
2020-04-01,VJW,6886.0
2020-05-01,BLR,1011.5
2020-05-01,COK,709.0
2020-05-01,MAA,9751.0
2020-05-01,SBD,2434.0
2020-05-01,VJW,2754.0
2020-06-01,BLR,764.5
2020-06-01,COK,715.0
2020-06-01,MAA,5709.5
2020-06-01,SBD,1486.0
2020-06-01,VJW,2014.5
2020-07-01,BLR,658.0
2020-07-01,COK,514.5
2020-07-01,MAA,4046.0
2020-07-01,SBD,1514.0
2020-07-01,VJW,1462.0
2020-08-01,BLR,852.0
2020-08-01,COK,965.5
2020-08-01,MAA,4034.0
2020-08-01,SBD,1307.0
2020-08-01,VJW,1624.0
2020-09-01,BLR,1608.5
2020-09-01,COK,1164.5
2020-09-01,MAA,6082.5
2020-09-01,SBD,2520.0
2020-09-01,VJW,2523.0
2020-10-01,BLR,1240.0
2020-10-01,COK,817.5
2020-10-01,MAA,4505.5
2020-10-01,SBD,2293.0
2020-10-01,VJW,2103.0
2020-11-01,BLR,1428.0
2020-11-01,COK,1451.5
2020-11-01,MAA,4261.5
2020-11-01,SBD,3065.5
2020-11-01,VJW,2170.0
2020-12-01,BLR,3109.0
2020-12-01,COK,2644.5
2020-12-01,MAA,8781.0
2020-12-01,SBD,5191.5
2020-12-01,VJW,3665.0
