Date,Forecast_Quantity,Lower_CI,Upper_CI
2024-04-01,2161.6,127.2,36467.8
2024-04-08,1456.1,75.6,27730.1
2024-04-15,1207.2,57.1,25121.3
2024-04-22,2500.7,119.3,52020.4
2024-04-29,313.2,14.1,6532.6
2024-05-06,451.7,20.8,9413.3
2024-05-13,1373.3,65.1,28575.6
2024-05-20,821.2,38.5,17095.5
2024-05-27,2268.0,108.1,47180.4
2024-06-03,842.6,39.6,17540.3
2024-06-10,1248.0,59.1,25971.5
2024-06-17,1529.5,72.6,31823.9
2024-06-24,1240.3,58.7,25810.0
2024-07-01,403.3,18.4,8405.4
2024-07-08,591.0,27.5,12308.4
2024-07-15,227.3,10.0,4746.6
2024-07-22,2156.3,102.7,44858.1
2024-07-29,367.1,16.7,7652.2
2024-08-05,732.5,34.3,15250.4
2024-08-12,1328.0,62.9,27634.2
2024-08-19,1673.4,79.5,34817.0
2024-08-26,993.2,46.8,20672.7
2024-09-02,994.6,46.9,20701.2
2024-09-09,1335.7,63.3,27793.8
2024-09-16,1838.0,87.4,38238.8
2024-09-23,2088.7,99.5,43452.3
2024-09-30,346.3,15.7,7221.2
2024-10-07,826.3,38.8,17202.3
2024-10-14,1153.5,54.5,24005.1
2024-10-21,1776.6,84.5,36962.6
2024-10-28,806.9,37.9,16798.8
2024-11-04,686.2,32.0,14289.2
2024-11-11,445.1,20.5,9274.7
2024-11-18,1004.5,47.4,20908.2
2024-11-25,1423.1,67.5,29611.9
2024-12-02,377.9,17.2,7877.8
2024-12-09,864.6,40.6,17997.7
2024-12-16,4666.4,223.5,97052.3
2024-12-23,6697.1,321.1,139278.5
2024-12-30,265.8,11.8,5546.4
2025-01-06,724.0,33.9,15075.1
2025-01-13,692.5,32.4,14419.6
2025-01-20,2455.3,117.1,51074.8
2025-01-27,1579.2,75.0,32858.0
2025-02-03,789.8,37.0,16442.7
2025-02-10,1561.9,74.2,32498.2
2025-02-17,3551.7,169.9,73873.1
2025-02-24,3425.6,163.8,71252.1
2025-03-03,1511.5,71.7,31450.0
2025-03-10,1850.6,88.0,38501.8
2025-03-17,1642.9,78.1,34181.8
2025-03-24,2066.6,98.4,42993.1
