Unnamed: 0,Date,Item Code,Branch,Star Rating,Segment,Quantity,Tonnage,Region
76987,2024-04-03,RE60UV16U2,SBD,1 Star,Non Inv,10.0,1.8,South
76988,2024-04-03,RKJ60UV16U,SBD1,5 Star,Inv,1.0,1.8,South
76989,2024-04-03,RKL35UV16W,COK,3 Star,Inv,4.0,1.0,South
76990,2024-04-03,RKL35UV16W,MAA,3 Star,Inv,3.0,1.0,South
76991,2024-04-03,RKL35UV16W,SBD,3 Star,Inv,25.0,1.0,South
76992,2024-04-03,RKL35UV16W3,BLR,3 Star,Inv,10.0,1.0,South
76993,2024-04-03,RKL35UV16W3,COK,3 Star,Inv,24.0,1.0,South
76994,2024-04-03,RKL50UV16VA,BLR,3 Star,Inv,10.0,1.5,South
76995,2024-04-03,RKL50UV16VA,COK,3 Star,Inv,23.0,1.5,South
76996,2024-04-03,RKL50UV16VA,MAA,3 Star,Inv,185.0,1.5,South
76997,2024-04-03,RKL50UV16VA,SBD,3 Star,Inv,43.0,1.5,South
76998,2024-04-03,RKL60UV16U,BLR,3 Star,Inv,3.0,1.8,South
76999,2024-04-03,RKL60UV16U,MAA,3 Star,Inv,2.0,1.8,South
77000,2024-04-03,RKL60UV16U,SBD,3 Star,Inv,10.0,1.8,South
77001,2024-04-03,RKL71UV16T,COK,3 Star,Inv,9.0,2.2,South
77002,2024-04-03,RKL71UV16T,SBD,3 Star,Inv,14.0,2.2,South
77003,2024-04-03,RKM35UV16W,BLR,5 Star,Non Inv,5.0,1.0,South
77004,2024-04-03,RKM35UV16W,COK,5 Star,Non Inv,25.0,1.0,South
77005,2024-04-03,RKM50UV16VA,COK,5 Star,Inv,8.0,1.5,South
77006,2024-04-03,RKM50UV16VA,MAA,5 Star,Inv,17.0,1.5,South
77007,2024-04-03,RKM60UV16U,MAA,5 Star,Inv,20.0,1.8,South
77008,2024-04-03,RKM60UV16U,SBD,5 Star,Inv,18.0,1.8,South
77009,2024-04-03,RL28UV16W1,MAA,3 Star,Non Inv,50.0,0.8,South
77010,2024-04-03,RL28UV16W1,SBD,3 Star,Non Inv,3.0,0.8,South
77011,2024-04-03,RL35UV16W1,BLR,3 Star,Non Inv,25.0,1.0,South
77012,2024-04-03,RL35UV16W1,COK,3 Star,Non Inv,2.0,1.0,South
77013,2024-04-03,RL35UV16W1,SBD,3 Star,Non Inv,11.0,1.0,South
77014,2024-04-03,RL50UV16U2,BLR,3 Star,Non Inv,1.0,1.5,South
77015,2024-04-03,RL50UV16V2,BLR,3 Star,Non Inv,1.0,1.5,South
77016,2024-04-03,RL50UV16V3,MAA,3 Star,Non Inv,34.0,1.5,South
77017,2024-04-04,RE60UV16U2,MAA,1 Star,Non Inv,5.0,1.8,South
77018,2024-04-04,RKC48UV16W,SBD,3 Star,Inv,1.0,1.5,South
77019,2024-04-04,RKL35UV16W,SBD,3 Star,Inv,1.0,1.0,South
77020,2024-04-04,RKL35UV16W,SBD1,3 Star,Inv,5.0,1.0,South
77021,2024-04-04,RKL35UV16W3,COK,3 Star,Inv,51.0,1.0,South
77022,2024-04-04,RKL35UV16W3,SBD,3 Star,Inv,30.0,1.0,South
77023,2024-04-04,RKL50UV16V,SBD,3 Star,Inv,120.0,1.5,South
77024,2024-04-04,RKL50UV16V3,SBD,3 Star,Inv,65.0,1.5,South
77025,2024-04-04,RKL50UV16VA,COK,3 Star,Inv,78.0,1.5,South
77026,2024-04-04,RKL50UV16VA,MAA,3 Star,Inv,211.0,1.5,South
77027,2024-04-04,RKL50UV16VA,SBD,3 Star,Inv,512.0,1.5,South
77028,2024-04-04,RKL50UV16VA,SBD1,3 Star,Inv,94.0,1.5,South
77029,2024-04-04,RKL60UV16U,BLR,3 Star,Inv,1.0,1.8,South
77030,2024-04-04,RKL60UV16U,MAA,3 Star,Inv,10.0,1.8,South
77031,2024-04-04,RKL60UV16U,SBD,3 Star,Inv,10.0,1.8,South
77032,2024-04-04,RKL71UV16T,COK,3 Star,Inv,23.0,2.2,South
77033,2024-04-04,RKL71UV16T,SBD,3 Star,Inv,45.0,2.2,South
77034,2024-04-04,RKM35UV16W,MAA,5 Star,Non Inv,20.0,1.0,South
77035,2024-04-04,RKM35UV16W,SBD,5 Star,Non Inv,16.0,1.0,South
77036,2024-04-04,RKM50UV16VA,COK,5 Star,Inv,17.0,1.5,South
77037,2024-04-04,RKM50UV16VA,MAA,5 Star,Inv,116.0,1.5,South
77038,2024-04-04,RKM50UV16VA,SBD,5 Star,Inv,891.0,1.5,South
77039,2024-04-04,RKM50UV16VA,SBD1,5 Star,Inv,185.0,1.5,South
77040,2024-04-04,RKY50UV16V3,MAA,3 Star,Inv,91.0,1.5,South
77041,2024-04-04,RL28UV16W1,COK,3 Star,Non Inv,5.0,0.8,South
77042,2024-04-04,RL28UV16W1,SBD,3 Star,Non Inv,20.0,0.8,South
77043,2024-04-04,RL35UV16W1,COK,3 Star,Non Inv,16.0,1.0,South
77044,2024-04-04,RL35UV16W1,SBD,3 Star,Non Inv,2.0,1.0,South
77045,2024-04-04,RL50UV16U3,MAA,3 Star,Non Inv,100.0,1.5,South
77046,2024-04-04,RL50UV16U3,SBD,3 Star,Non Inv,20.0,1.5,South
77047,2024-04-04,RL50UV16V2,COK,3 Star,Non Inv,1.0,1.5,South
77048,2024-04-04,RL50UV16V3,MAA,3 Star,Non Inv,86.0,1.5,South
77049,2024-04-05,RE60UV16U2,MAA,1 Star,Non Inv,8.0,1.8,South
77050,2024-04-05,RHT35UV16W,BLR,5 Star,Inv,1.0,1.0,South
77051,2024-04-05,RHT50UV16V,BLR,5 Star,Inv,2.0,1.5,South
77052,2024-04-05,RKC48UV16W,SBD,3 Star,Inv,5.0,1.5,South
77053,2024-04-05,RKC48UV16W,SBD1,3 Star,Inv,33.0,1.5,South
77054,2024-04-05,RKL35UV16W,MAA,3 Star,Inv,8.0,1.0,South
77055,2024-04-05,RKL35UV16W,SBD,3 Star,Inv,15.0,1.0,South
77056,2024-04-05,RKL35UV16W,SBD1,3 Star,Inv,14.0,1.0,South
77057,2024-04-05,RKL35UV16W3,BLR,3 Star,Inv,2.0,1.0,South
77058,2024-04-05,RKL35UV16W3,COK,3 Star,Inv,27.0,1.0,South
77059,2024-04-05,RKL50UV16VA,BLR,3 Star,Inv,18.0,1.5,South
77060,2024-04-05,RKL50UV16VA,COK,3 Star,Inv,73.0,1.5,South
77061,2024-04-05,RKL50UV16VA,MAA,3 Star,Inv,275.0,1.5,South
77062,2024-04-05,RKL50UV16VA,SBD,3 Star,Inv,905.0,1.5,South
77063,2024-04-05,RKL50UV16VA,SBD1,3 Star,Inv,590.0,1.5,South
77064,2024-04-05,RKL60UV16U,BLR,3 Star,Inv,25.0,1.8,South
77065,2024-04-05,RKL60UV16U,COK,3 Star,Inv,16.0,1.8,South
77066,2024-04-05,RKL60UV16U,MAA,3 Star,Inv,31.0,1.8,South
77067,2024-04-05,RKL60UV16U,SBD,3 Star,Inv,24.0,1.8,South
77068,2024-04-05,RKL60UV16U,SBD1,3 Star,Inv,32.0,1.8,South
77069,2024-04-05,RKL71UV16T,COK,3 Star,Inv,13.0,2.2,South
77070,2024-04-05,RKL71UV16T,MAA,3 Star,Inv,12.0,2.2,South
77071,2024-04-05,RKL71UV16T,SBD,3 Star,Inv,306.0,2.2,South
77072,2024-04-05,RKL71UV16T,SBD1,3 Star,Inv,54.0,2.2,South
77073,2024-04-05,RKM35UV16W,BLR,5 Star,Non Inv,2.0,1.0,South
77074,2024-04-05,RKM35UV16W,COK,5 Star,Non Inv,1.0,1.0,South
77075,2024-04-05,RKM35UV16W,MAA,5 Star,Non Inv,80.0,1.0,South
77076,2024-04-05,RKM35UV16W,SBD,5 Star,Non Inv,4.0,1.0,South
77077,2024-04-05,RKM50UV16VA,BLR,5 Star,Inv,4.0,1.5,South
77078,2024-04-05,RKM50UV16VA,COK,5 Star,Inv,10.0,1.5,South
77079,2024-04-05,RKM50UV16VA,MAA,5 Star,Inv,118.0,1.5,South
77080,2024-04-05,RKM50UV16VA,SBD,5 Star,Inv,219.0,1.5,South
77081,2024-04-05,RKM50UV16VA,SBD1,5 Star,Inv,728.0,1.5,South
77082,2024-04-05,RKM60UV16U,SBD,5 Star,Inv,105.0,1.8,South
77083,2024-04-05,RKM60UV16U,SBD1,5 Star,Inv,6.0,1.8,South
77084,2024-04-05,RKY35UV16W3,COK,3 Star,Inv,50.0,1.0,South
77085,2024-04-05,RKY35UV16W3,SBD1,3 Star,Inv,20.0,1.0,South
77086,2024-04-05,RKY50UV16V2,MAA,3 Star,Inv,90.0,1.5,South
77087,2024-04-05,RKY50UV16V3F,COK,1 Star,Inv,54.0,1.5,South
77088,2024-04-05,RKY50UV16V3F,MAA,5 Star,Inv,10.0,1.0,South
77089,2024-04-05,RL28UV16W1,COK,3 Star,Non Inv,15.0,0.8,South
77090,2024-04-05,RL28UV16W1,MAA,3 Star,Non Inv,56.0,0.8,South
77091,2024-04-05,RL35UV16W1,BLR,3 Star,Non Inv,34.0,1.0,South
77092,2024-04-05,RL35UV16W1,COK,3 Star,Non Inv,16.0,1.0,South
77093,2024-04-05,RL35UV16W1,MAA,3 Star,Non Inv,2.0,1.0,South
77094,2024-04-05,RL35UV16W1,SBD,3 Star,Non Inv,4.0,1.0,South
77095,2024-04-05,RL50UV16U3,MAA,3 Star,Non Inv,360.0,1.5,South
77096,2024-04-05,RL50UV16U3,SBD1,3 Star,Non Inv,69.0,1.5,South
77097,2024-04-05,RL50UV16V3,BLR,3 Star,Non Inv,35.0,1.5,South
77098,2024-04-05,RL50UV16V3,MAA,3 Star,Non Inv,25.0,1.5,South
77099,2024-04-06,RE60UV16U2,MAA,1 Star,Non Inv,1.0,1.8,South
77100,2024-04-06,RE60UV16U2,SBD,1 Star,Non Inv,32.0,1.8,South
77101,2024-04-06,RHT35UV16W,BLR,5 Star,Inv,2.0,1.0,South
77102,2024-04-06,RKJ60UV16U,SBD,5 Star,Inv,2.0,1.8,South
77103,2024-04-06,RKL35UV16W,MAA,3 Star,Inv,3.0,1.0,South
77104,2024-04-06,RKL35UV16W,SBD,3 Star,Inv,209.0,1.0,South
77105,2024-04-06,RKL35UV16W3,COK,3 Star,Inv,170.0,1.0,South
77106,2024-04-06,RKL50UV16VA,BLR,3 Star,Inv,8.0,1.5,South
77107,2024-04-06,RKL50UV16VA,MAA,3 Star,Inv,543.0,1.5,South
77108,2024-04-06,RKL50UV16VA,SBD,3 Star,Inv,346.0,1.5,South
