Date,Item Code,Branch,Star Rating,Segment,Quantity,Tonnage,Region
2020-03-23,RKG35TV16W,COK,5 Star,Inv,2.0,1.0,South
2020-03-23,RKL35TV16X,COK,3 Star,Inv,2.0,1.0,South
2020-03-23,RL28TV16X2,COK,3 Star,Non Inv,2.0,0.8,South
2020-03-23,RL28TV16X2,COK,3 Star,Non Inv,10.0,0.8,South
2020-03-23,RLG35TV16W1,COK,3 Star,Non Inv,10.0,1.0,South
2020-03-23,RKG60TV16U,COK,5 Star,Inv,1.0,1.8,South
2020-03-23,RKT35TV16W,COK,3 Star,Inv,3.0,1.0,South
2020-03-23,RKJ35TV16U,COK,5 Star,Inv,1.0,1.0,South
2020-03-23,RL28TV16X2,COK,3 Star,Non Inv,1.0,0.8,South
2020-03-23,RKL60TV16U,COK,3 Star,Inv,7.0,1.8,South
2020-03-23,RKL35TV16W,COK,3 Star,Inv,1.0,1.0,South
2020-03-23,RKT50TV16V,COK,3 Star,Inv,1.0,1.5,South
2020-03-23,RKG35TV16W,COK,5 Star,Inv,6.0,1.0,South
2020-03-23,RLG35TV16W1,COK,3 Star,Non Inv,8.0,1.0,South
2020-03-23,RKL35TV16X,COK,3 Star,Inv,1.0,1.0,South
2020-03-23,RKG50TV16U,COK,5 Star,Inv,1.0,1.5,South
2020-03-23,RQ60TV16U2,COK,2 Star,Non Inv,2.0,1.8,South
2020-03-23,RLG35TV16W1,COK,3 Star,Non Inv,3.0,1.0,South
2020-03-21,RKJ50TV16U,MAA,5 Star,Inv,1.0,1.5,South
2020-03-21,RKJ50TV16U,MAA,5 Star,Inv,1.0,1.5,South
2020-03-21,RKJ50TV16U,MAA,5 Star,Inv,1.0,1.5,South
2020-03-21,RKG50TV16U,MAA,5 Star,Inv,1.0,1.5,South
2020-03-21,RL50TV16U2,MAA,3 Star,Non Inv,1.0,1.5,South
2020-03-21,RKL35TV16X,COK,3 Star,Inv,3.0,1.0,South
2020-03-21,RL28TV16X2,COK,3 Star,Non Inv,3.0,0.8,South
2020-03-21,RKG35TV16W,COK,5 Star,Inv,1.0,1.0,South
2020-03-21,RLG35TV16W1,COK,3 Star,Non Inv,4.0,1.0,South
2020-03-21,RKF50TV16U,SBD,5 Star,Inv,2.0,1.5,South
2020-03-21,RKL35TV16W,SBD,3 Star,Inv,4.0,1.0,South
2020-03-21,RL35TV16W1,BLR,3 Star,Non Inv,4.0,1.0,South
2020-03-21,RKT50TV16V,BLR,3 Star,Inv,10.0,1.5,South
2020-03-21,RL50TV16V3,BLR,3 Star,Non Inv,10.0,1.5,South
2020-03-21,RKL50TV16V,MAA,3 Star,Inv,14.0,1.5,South
