Year,Month,State,Star_Rating,Tonnage,Monthly_Total_Sales,Monthly_Avg_Daily_Sales,Daily_Max_Sales,Daily_Min_Sales,Weekly_Avg_Sales,Number_of_Days,Number_of_Transactions
2021,11,Tamil Nadu,5 Star,1.5,4.5,4.5,4.5,4.5,1.05,1,1
2021,11,Telangana,5 Star,1.5,140.0,70.0,80.0,60.0,32.67,2,3
2021,12,Telangana,5 Star,1.5,1.0,1.0,1.0,1.0,0.23,1,1
2022,1,Andhra Pradesh,3 Star,1.0,120.0,20.0,41.0,5.0,27.1,6,22
2022,1,Andhra Pradesh,3 Star,1.5,166.0,33.2,142.0,1.0,37.48,5,18
2022,1,Andhra Pradesh,3 Star,1.8,4.0,2.0,3.0,1.0,0.9,2,2
2022,1,Andhra Pradesh,3 Star,2.2,3.0,1.5,2.0,1.0,0.68,2,2
2022,1,Andhra Pradesh,5 Star,1.5,532.0,106.4,275.0,25.0,120.13,5,27
2022,1,Karnataka,2 Star,1.8,19.0,9.5,16.0,3.0,4.29,2,2
2022,1,Karnataka,3 Star,1.0,329.0,54.83,209.0,4.0,74.29,6,22
2022,1,Karnataka,3 Star,1.5,230.0,57.5,189.0,5.0,51.94,4,16
2022,1,Karnataka,3 Star,1.8,90.0,11.25,55.0,2.0,20.32,8,14
2022,1,Karnataka,3 Star,2.2,50.0,7.14,16.0,1.0,11.29,7,11
2022,1,Karnataka,5 Star,1.0,39.0,9.75,27.0,1.0,8.81,4,6
2022,1,Karnataka,5 Star,1.5,37.0,12.33,16.0,10.0,8.35,3,6
2022,1,Kerala,3 Star,1.0,405.0,36.82,130.0,2.0,91.45,11,61
2022,1,Kerala,3 Star,1.5,72.0,36.0,51.0,21.0,16.26,2,23
2022,1,Kerala,3 Star,1.8,33.0,4.71,8.0,1.0,7.45,7,18
2022,1,Kerala,3 Star,2.2,24.0,4.8,10.0,1.0,5.42,5,9
2022,1,Kerala,5 Star,1.0,128.0,16.0,48.0,1.0,28.9,8,19
2022,1,Kerala,5 Star,1.5,51.0,6.38,30.0,1.0,11.52,8,13
2022,1,Tamil Nadu,3 Star,1.0,88.0,22.0,35.0,15.0,19.87,4,26
2022,1,Tamil Nadu,3 Star,1.5,101.0,12.62,30.0,1.0,22.81,8,28
2022,1,Tamil Nadu,3 Star,1.8,25.0,6.25,16.0,2.0,5.65,4,8
2022,1,Tamil Nadu,3 Star,2.2,32.0,6.4,13.0,2.0,7.23,5,12
2022,1,Tamil Nadu,5 Star,1.5,17.0,4.25,6.0,1.0,3.84,4,5
2022,1,Telangana,3 Star,1.0,192.0,32.0,105.0,1.0,43.35,6,9
2022,1,Telangana,3 Star,1.5,147.0,18.38,58.0,-2.0,33.19,8,14
2022,1,Telangana,3 Star,1.8,150.0,16.67,50.0,-2.0,33.87,9,13
2022,1,Telangana,3 Star,2.2,129.0,25.8,80.0,1.0,29.13,5,9
2022,1,Telangana,5 Star,1.0,4.0,2.0,2.0,2.0,0.9,2,2
2022,1,Telangana,5 Star,1.5,3004.0,214.57,910.0,1.0,678.32,14,33
2022,2,Andhra Pradesh,1 Star,1.8,25.0,25.0,25.0,25.0,6.25,1,5
2022,2,Andhra Pradesh,3 Star,0.8,10.0,10.0,10.0,10.0,2.5,1,1
2022,2,Andhra Pradesh,3 Star,1.0,199.0,15.31,52.0,1.0,49.75,13,43
2022,2,Andhra Pradesh,3 Star,1.5,1361.0,80.06,648.0,1.0,340.25,17,125
2022,2,Andhra Pradesh,3 Star,1.8,84.0,8.4,25.0,1.0,21.0,10,23
2022,2,Andhra Pradesh,3 Star,2.2,23.0,5.75,17.0,1.0,5.75,4,8
2022,2,Andhra Pradesh,5 Star,1.0,54.0,7.71,21.0,1.0,13.5,7,13
2022,2,Andhra Pradesh,5 Star,1.5,869.0,66.85,570.0,1.0,217.25,13,70
2022,2,Karnataka,1 Star,1.8,22.0,11.0,17.0,5.0,5.5,2,5
2022,2,Karnataka,2 Star,1.8,37.0,5.29,20.0,1.0,9.25,7,11
2022,2,Karnataka,3 Star,0.8,232.0,33.14,100.0,5.0,58.0,7,14
2022,2,Karnataka,3 Star,1.0,680.5,35.82,288.5,1.0,170.12,19,72
2022,2,Karnataka,3 Star,1.5,1271.0,74.76,645.0,1.0,317.75,17,78
2022,2,Karnataka,3 Star,1.8,265.0,20.38,155.0,1.0,66.25,13,39
2022,2,Karnataka,3 Star,2.2,81.0,13.5,38.0,1.0,20.25,6,17
2022,2,Karnataka,5 Star,1.0,171.5,14.29,99.0,0.5,42.88,12,29
