Branch,Date,Quantity
COK,2019-04-01,24.0
COK,2019-04-08,222.0
COK,2019-04-15,399.0
COK,2019-04-22,741.0
COK,2019-04-29,505.5
COK,2019-05-06,183.5
COK,2019-05-13,213.5
COK,2019-05-20,160.0
COK,2019-05-27,656.5
COK,2019-06-03,26.5
COK,2019-06-10,86.5
COK,2019-06-17,121.5
COK,2019-06-24,477.5
COK,2019-07-01,14.0
COK,2019-07-08,236.0
COK,2019-07-15,83.5
COK,2019-07-22,65.0
COK,2019-07-29,734.0
COK,2019-08-05,64.0
COK,2019-08-12,219.5
COK,2019-08-19,257.0
COK,2019-08-26,883.5
COK,2019-09-02,86.5
COK,2019-09-09,150.0
COK,2019-09-16,439.0
COK,2019-09-23,909.0
COK,2019-09-30,64.0
COK,2019-10-07,49.0
COK,2019-10-14,66.5
COK,2019-10-21,221.5
COK,2019-10-28,254.5
COK,2019-11-04,33.0
COK,2019-11-11,81.0
COK,2019-11-18,88.5
COK,2019-11-25,804.0
COK,2019-12-02,77.5
COK,2019-12-09,90.0
COK,2019-12-16,238.5
COK,2019-12-23,781.0
COK,2019-12-30,788.5
COK,2020-01-06,63.0
COK,2020-01-13,131.0
COK,2020-01-20,242.0
COK,2020-01-27,731.5
COK,2020-02-03,102.0
COK,2020-02-10,229.0
COK,2020-02-17,835.0
COK,2020-02-24,1887.5
COK,2020-03-02,126.0
COK,2020-03-09,682.5
COK,2020-03-16,614.5
COK,2020-03-23,62.0
COK,2020-04-27,71.0
COK,2020-05-04,152.0
COK,2020-05-11,132.0
COK,2020-05-18,83.0
COK,2020-05-25,271.0
COK,2020-06-01,110.0
COK,2020-06-08,107.5
COK,2020-06-15,142.0
COK,2020-06-22,200.5
COK,2020-06-29,164.5
COK,2020-07-06,37.5
COK,2020-07-13,48.0
COK,2020-07-20,40.5
COK,2020-07-27,379.0
COK,2020-08-03,18.0
COK,2020-08-10,53.0
COK,2020-08-17,85.5
COK,2020-08-24,465.0
COK,2020-08-31,369.0
COK,2020-09-07,169.5
COK,2020-09-14,276.5
COK,2020-09-21,164.5
COK,2020-09-28,529.0
COK,2020-10-05,61.0
COK,2020-10-12,137.0
COK,2020-10-19,229.0
COK,2020-10-26,390.5
COK,2020-11-02,155.0
COK,2020-11-09,300.5
COK,2020-11-16,374.0
COK,2020-11-23,511.0
COK,2020-11-30,327.0
COK,2020-12-07,508.0
COK,2020-12-14,692.0
COK,2020-12-21,870.5
COK,2020-12-28,358.0
COK,2021-01-04,211.0
COK,2021-01-11,179.0
COK,2021-01-18,172.0
COK,2021-01-25,741.0
COK,2021-02-01,197.0
COK,2021-02-08,256.0
COK,2021-02-15,389.5
COK,2021-02-22,921.0
COK,2021-03-01,306.0
COK,2021-03-08,1084.0
COK,2021-03-15,921.0
COK,2021-03-22,454.0
COK,2021-03-29,476.0
COK,2021-04-05,961.0
COK,2021-04-12,800.0
COK,2021-04-19,531.0
COK,2021-04-26,240.0
COK,2021-05-03,19.0
COK,2021-05-17,3.0
COK,2021-05-31,48.0
COK,2021-06-07,63.5
COK,2021-06-14,82.0
COK,2021-06-21,157.0
COK,2021-06-28,365.0
COK,2021-07-05,65.0
COK,2021-07-12,211.0
COK,2021-07-19,52.0
COK,2021-07-26,321.0
COK,2021-08-02,63.0
COK,2021-08-09,79.0
COK,2021-08-16,191.5
COK,2021-08-23,288.5
COK,2021-08-30,295.0
COK,2021-09-06,63.0
COK,2021-09-13,192.0
COK,2021-09-20,313.5
COK,2021-09-27,471.0
COK,2021-10-04,121.0
COK,2021-10-11,289.5
COK,2021-10-18,83.0
COK,2021-10-25,630.5
COK,2021-11-01,117.0
COK,2021-11-08,138.0
COK,2021-11-15,159.0
COK,2021-11-22,270.0
COK,2021-11-29,542.5
COK,2021-12-06,158.0
COK,2021-12-13,572.5
COK,2021-12-20,757.0
COK,2021-12-27,1525.0
COK,2022-01-03,145.0
COK,2022-01-10,123.0
COK,2022-01-17,170.0
COK,2022-01-24,472.0
COK,2022-01-31,315.0
COK,2022-02-07,272.0
COK,2022-02-14,485.0
COK,2022-02-21,1728.5
COK,2022-02-28,560.5
COK,2022-03-07,387.0
COK,2022-03-14,857.0
COK,2022-03-21,2796.0
COK,2022-03-28,6.0
COK,2022-04-04,339.0
COK,2022-04-11,391.0
COK,2022-04-18,420.0
COK,2022-04-25,275.0
COK,2022-05-02,300.0
COK,2022-05-09,226.0
COK,2022-05-16,235.5
COK,2022-05-23,210.0
COK,2022-05-30,178.5
COK,2022-06-06,174.0
COK,2022-06-13,493.0
COK,2022-06-20,363.0
COK,2022-06-27,494.5
COK,2022-07-04,45.0
COK,2022-07-11,539.0
COK,2022-07-18,153.0
COK,2022-07-25,325.0
COK,2022-08-01,15.0
COK,2022-08-08,64.0
COK,2022-08-15,376.0
COK,2022-08-22,698.0
COK,2022-08-29,469.0
COK,2022-09-05,112.0
COK,2022-09-12,123.5
COK,2022-09-19,291.0
COK,2022-09-26,851.0
COK,2022-10-03,76.0
COK,2022-10-10,82.0
COK,2022-10-17,151.5
COK,2022-10-24,232.5
COK,2022-10-31,358.5
COK,2022-11-07,109.0
COK,2022-11-14,264.0
COK,2022-11-21,280.0
COK,2022-11-28,633.0
COK,2022-12-05,388.5
COK,2022-12-12,259.0
COK,2022-12-19,762.0
COK,2022-12-26,1856.5
COK,2023-01-02,52.0
COK,2023-01-09,436.0
COK,2023-01-16,172.0
COK,2023-01-23,57.0
COK,2023-01-30,1061.0
COK,2023-02-06,239.0
COK,2023-02-13,430.5
COK,2023-02-20,504.5
COK,2023-02-27,620.0
COK,2023-03-06,671.0
COK,2023-03-13,708.0
COK,2023-03-20,1393.0
COK,2023-03-27,977.0
COK,2023-04-03,27.0
COK,2023-04-10,613.0
COK,2023-04-17,1479.0
COK,2023-04-24,1460.0
COK,2023-05-01,279.0
COK,2023-05-08,101.0
COK,2023-05-15,746.0
COK,2023-05-22,729.0
COK,2023-05-29,510.5
COK,2023-06-05,169.0
COK,2023-06-12,149.0
COK,2023-06-19,222.0
COK,2023-06-26,522.0
COK,2023-07-03,23.0
COK,2023-07-10,449.5
COK,2023-07-17,543.0
COK,2023-07-24,986.5
COK,2023-07-31,420.5
COK,2023-08-07,929.0
COK,2023-08-14,1885.5
COK,2023-08-21,646.5
COK,2023-08-28,436.0
COK,2023-09-04,964.0
COK,2023-09-11,701.0
COK,2023-09-18,248.0
COK,2023-09-25,396.5
COK,2023-10-02,254.0
COK,2023-10-09,421.0
COK,2023-10-16,147.0
COK,2023-10-23,464.5
COK,2023-10-30,221.0
COK,2023-11-06,347.0
COK,2023-11-13,891.0
COK,2023-11-20,727.0
COK,2023-11-27,224.5
COK,2023-12-04,951.0
COK,2023-12-11,1187.5
COK,2023-12-18,1478.5
COK,2023-12-25,1820.0
COK,2024-01-01,252.0
COK,2024-01-08,139.5
COK,2024-01-15,967.0
COK,2024-01-22,538.5
COK,2024-01-29,735.5
COK,2024-02-05,1658.0
COK,2024-02-12,1532.5
COK,2024-02-19,1190.0
COK,2024-02-26,958.5
COK,2024-03-04,3135.5
COK,2024-03-11,3578.0
COK,2024-03-18,2734.0
COK,2024-03-25,1451.0
