Branch,Date,Quantity
SBD1,2019-04-01,21.5
SBD1,2019-04-08,519.0
SBD1,2019-04-15,1867.0
SBD1,2019-04-22,1190.0
SBD1,2019-04-29,2946.5
SBD1,2019-05-06,2829.0
SBD1,2019-05-13,2023.5
SBD1,2019-05-20,2605.0
SBD1,2019-05-27,2646.0
SBD1,2019-06-03,121.0
SBD1,2019-06-10,750.0
SBD1,2019-06-17,342.0
SBD1,2019-06-24,1295.5
SBD1,2019-07-01,64.5
SBD1,2019-07-08,77.5
SBD1,2019-07-15,77.0
SBD1,2019-07-22,205.0
SBD1,2019-07-29,601.0
SBD1,2019-08-05,46.0
SBD1,2019-08-12,74.0
SBD1,2019-08-19,148.0
SBD1,2019-08-26,980.5
SBD1,2019-09-02,25.0
SBD1,2019-09-09,39.5
SBD1,2019-09-16,112.0
SBD1,2019-09-23,993.0
SBD1,2019-09-30,1005.0
SBD1,2019-10-07,493.0
SBD1,2019-10-14,334.0
SBD1,2019-10-21,700.0
SBD1,2019-10-28,548.0
SBD1,2019-11-04,28.0
SBD1,2019-11-11,39.0
SBD1,2019-11-18,190.0
SBD1,2019-11-25,1535.0
SBD1,2019-12-02,185.0
SBD1,2019-12-09,68.5
SBD1,2019-12-16,491.0
SBD1,2019-12-23,1374.5
SBD1,2019-12-30,602.0
SBD1,2020-01-06,551.0
SBD1,2020-01-13,150.0
SBD1,2020-01-20,911.0
SBD1,2020-01-27,1393.0
SBD1,2020-02-03,598.0
SBD1,2020-02-10,686.0
SBD1,2020-02-17,1262.0
SBD1,2020-02-24,4314.0
SBD1,2020-03-02,607.0
SBD1,2020-03-09,346.0
SBD1,2020-03-16,750.0
SBD1,2020-05-11,185.0
SBD1,2020-05-18,1223.0
SBD1,2020-05-25,1346.0
SBD1,2020-06-01,419.0
SBD1,2020-06-08,471.0
SBD1,2020-06-15,313.0
SBD1,2020-06-22,429.0
SBD1,2020-06-29,444.5
SBD1,2020-07-06,335.0
SBD1,2020-07-13,110.0
SBD1,2020-07-20,353.0
SBD1,2020-07-27,602.0
SBD1,2020-08-03,55.0
SBD1,2020-08-10,176.0
SBD1,2020-08-17,73.0
SBD1,2020-08-24,1017.0
SBD1,2020-08-31,467.0
SBD1,2020-09-07,282.0
SBD1,2020-09-14,335.0
SBD1,2020-09-21,777.0
SBD1,2020-09-28,965.0
SBD1,2020-10-05,431.0
SBD1,2020-10-12,143.0
SBD1,2020-10-19,436.0
SBD1,2020-10-26,1093.0
SBD1,2020-11-02,87.0
SBD1,2020-11-09,162.0
SBD1,2020-11-16,473.0
