Branch,Date,Quantity
SBD,2019-04-01,34.0
SBD,2019-04-08,735.5
SBD,2019-04-15,1128.5
SBD,2019-04-22,791.0
SBD,2019-04-29,1592.0
SBD,2019-05-06,1038.0
SBD,2019-05-13,834.5
SBD,2019-05-20,891.0
SBD,2019-05-27,1891.0
SBD,2019-06-03,772.0
SBD,2019-06-10,491.5
SBD,2019-06-17,473.5
SBD,2019-06-24,1291.0
SBD,2019-07-01,43.5
SBD,2019-07-08,141.0
SBD,2019-07-15,460.5
SBD,2019-07-22,356.5
SBD,2019-07-29,636.0
SBD,2019-08-05,156.0
SBD,2019-08-12,258.0
SBD,2019-08-19,320.0
SBD,2019-08-26,1181.0
SBD,2019-09-02,46.0
SBD,2019-09-09,233.5
SBD,2019-09-16,463.0
SBD,2019-09-23,1002.5
SBD,2019-09-30,800.0
SBD,2019-10-07,446.0
SBD,2019-10-14,307.5
SBD,2019-10-21,779.0
SBD,2019-10-28,1109.0
SBD,2019-11-04,369.5
SBD,2019-11-11,69.0
SBD,2019-11-18,308.5
SBD,2019-11-25,1933.0
SBD,2019-12-02,756.0
SBD,2019-12-09,240.5
SBD,2019-12-16,508.0
SBD,2019-12-23,3499.5
SBD,2019-12-30,3049.0
SBD,2020-01-06,432.0
SBD,2020-01-13,216.0
SBD,2020-01-20,4441.0
SBD,2020-01-27,2513.5
SBD,2020-02-03,635.0
SBD,2020-02-10,1308.0
SBD,2020-02-17,1864.5
SBD,2020-02-24,10376.0
SBD,2020-03-02,619.5
SBD,2020-03-09,648.0
SBD,2020-03-16,2770.0
SBD,2020-05-11,115.0
SBD,2020-05-18,602.0
SBD,2020-05-25,1717.0
SBD,2020-06-01,295.0
SBD,2020-06-08,305.0
SBD,2020-06-15,166.5
SBD,2020-06-22,292.0
SBD,2020-06-29,457.5
SBD,2020-07-06,203.0
SBD,2020-07-13,204.0
SBD,2020-07-20,150.0
SBD,2020-07-27,927.0
SBD,2020-08-03,131.0
SBD,2020-08-10,158.0
SBD,2020-08-17,120.0
SBD,2020-08-24,644.5
SBD,2020-08-31,303.5
SBD,2020-09-07,345.0
SBD,2020-09-14,590.0
SBD,2020-09-21,685.0
SBD,2020-09-28,850.0
SBD,2020-10-05,71.0
SBD,2020-10-12,319.0
SBD,2020-10-19,538.0
SBD,2020-10-26,1365.0
SBD,2020-11-02,95.0
SBD,2020-11-09,630.0
SBD,2020-11-16,430.0
SBD,2020-11-23,1398.5
SBD,2020-11-30,600.0
SBD,2020-12-07,133.0
SBD,2020-12-14,783.0
SBD,2020-12-21,2914.5
SBD,2020-12-28,1273.0
SBD,2021-01-04,1365.0
SBD,2021-01-11,532.0
SBD,2021-01-18,1708.0
SBD,2021-01-25,2405.0
SBD,2021-02-01,3011.5
SBD,2021-02-08,1592.0
SBD,2021-02-15,2788.0
SBD,2021-02-22,2295.5
SBD,2021-03-01,1599.0
SBD,2021-03-08,2755.0
SBD,2021-03-15,3836.5
SBD,2021-03-22,1619.0
SBD,2021-03-29,1071.0
SBD,2021-04-05,3189.0
SBD,2021-04-12,2747.0
SBD,2021-04-19,2619.0
SBD,2021-04-26,1121.5
SBD,2021-05-03,600.5
SBD,2021-05-10,236.5
SBD,2021-05-17,308.0
SBD,2021-05-24,218.0
SBD,2021-05-31,197.0
SBD,2021-06-07,228.0
SBD,2021-06-14,265.5
SBD,2021-06-21,314.0
SBD,2021-06-28,1110.5
SBD,2021-07-05,481.5
SBD,2021-07-12,763.0
SBD,2021-07-19,240.5
SBD,2021-07-26,668.0
SBD,2021-08-02,168.5
SBD,2021-08-09,688.0
SBD,2021-08-16,280.0
SBD,2021-08-23,366.5
SBD,2021-08-30,939.0
SBD,2021-09-06,284.5
SBD,2021-09-13,256.5
SBD,2021-09-20,879.0
SBD,2021-09-27,1870.0
SBD,2021-10-04,188.0
SBD,2021-10-11,407.0
SBD,2021-10-18,440.5
SBD,2021-10-25,2048.5
SBD,2021-11-01,407.0
SBD,2021-11-08,450.0
SBD,2021-11-15,489.0
SBD,2021-11-22,652.0
SBD,2021-11-29,612.5
SBD,2021-12-06,479.0
SBD,2021-12-13,7503.0
SBD,2021-12-20,2202.5
SBD,2021-12-27,4830.5
SBD,2022-01-03,1929.0
SBD,2022-01-10,1574.0
SBD,2022-01-17,401.5
SBD,2022-01-24,419.5
SBD,2022-01-31,325.5
SBD,2022-02-07,725.5
SBD,2022-02-14,982.0
SBD,2022-02-21,2967.0
SBD,2022-02-28,2644.5
SBD,2022-03-07,2006.0
SBD,2022-03-14,1949.0
SBD,2022-03-21,3669.0
SBD,2022-03-28,1249.0
SBD,2022-04-04,3349.0
SBD,2022-04-11,2698.0
SBD,2022-04-18,2081.0
SBD,2022-04-25,3675.0
SBD,2022-05-02,737.5
SBD,2022-05-09,684.5
SBD,2022-05-16,1456.0
SBD,2022-05-23,1365.0
SBD,2022-05-30,699.0
SBD,2022-06-06,433.5
SBD,2022-06-13,849.0
SBD,2022-06-20,873.5
SBD,2022-06-27,1546.0
SBD,2022-07-04,94.0
SBD,2022-07-11,303.0
SBD,2022-07-18,367.5
SBD,2022-07-25,1362.0
SBD,2022-08-01,249.5
SBD,2022-08-08,244.0
SBD,2022-08-15,344.0
SBD,2022-08-22,351.5
SBD,2022-08-29,1378.5
SBD,2022-09-05,637.0
SBD,2022-09-12,441.0
SBD,2022-09-19,199.0
SBD,2022-09-26,1515.0
SBD,2022-10-03,180.0
SBD,2022-10-10,420.0
SBD,2022-10-17,583.0
SBD,2022-10-24,739.5
SBD,2022-10-31,665.0
SBD,2022-11-07,251.5
SBD,2022-11-14,859.5
SBD,2022-11-21,553.0
SBD,2022-11-28,827.0
SBD,2022-12-05,510.5
SBD,2022-12-12,568.0
SBD,2022-12-19,10315.5
SBD,2022-12-26,6618.5
SBD,2023-01-02,391.0
SBD,2023-01-09,1638.0
SBD,2023-01-16,1826.0
SBD,2023-01-23,1824.5
SBD,2023-01-30,1427.5
SBD,2023-02-06,987.5
SBD,2023-02-13,1482.0
SBD,2023-02-20,6611.5
SBD,2023-02-27,6600.0
SBD,2023-03-06,1564.0
SBD,2023-03-13,2431.5
SBD,2023-03-20,2477.5
SBD,2023-03-27,2134.0
SBD,2023-04-03,400.5
SBD,2023-04-10,1312.0
SBD,2023-04-17,2394.0
SBD,2023-04-24,3041.0
SBD,2023-05-01,325.5
SBD,2023-05-08,1530.5
SBD,2023-05-15,2015.0
SBD,2023-05-22,2173.5
SBD,2023-05-29,1846.0
SBD,2023-06-05,542.0
SBD,2023-06-12,1361.0
SBD,2023-06-19,1006.0
SBD,2023-06-26,1708.5
SBD,2023-07-03,44.0
SBD,2023-07-10,266.5
SBD,2023-07-17,314.0
SBD,2023-07-24,757.0
SBD,2023-07-31,673.0
SBD,2023-08-07,514.0
SBD,2023-08-14,906.5
SBD,2023-08-21,1071.5
SBD,2023-08-28,1570.0
SBD,2023-09-04,537.5
SBD,2023-09-11,679.0
SBD,2023-09-18,1412.0
SBD,2023-09-25,2110.5
SBD,2023-10-02,671.0
SBD,2023-10-09,1836.0
SBD,2023-10-16,2664.0
SBD,2023-10-23,1112.5
SBD,2023-10-30,1193.0
SBD,2023-11-06,1412.0
SBD,2023-11-13,1492.0
SBD,2023-11-20,1117.0
SBD,2023-11-27,1144.0
SBD,2023-12-04,397.0
SBD,2023-12-11,9765.5
SBD,2023-12-18,8437.5
SBD,2023-12-25,4761.0
SBD,2024-01-01,0.5
SBD,2024-01-08,223.0
SBD,2024-01-15,736.0
SBD,2024-01-22,2003.0
SBD,2024-01-29,3824.5
SBD,2024-02-05,2202.0
SBD,2024-02-12,3890.5
SBD,2024-02-19,3809.0
SBD,2024-02-26,2636.0
SBD,2024-03-04,5767.5
SBD,2024-03-11,6639.5
SBD,2024-03-18,4709.5
SBD,2024-03-25,5418.0
