Date,Branch,Qty
2019-04-03,MAA,23.0
2019-04-03,VJW,10.0
2019-04-04,BLR,44.0
2019-04-04,COK,9.0
2019-04-04,MAA,107.0
2019-04-04,SBD,5.0
2019-04-04,VJW,8.0
2019-04-05,BLR,6.0
2019-04-05,COK,12.0
2019-04-05,MAA,280.0
2019-04-05,SBD,29.0
2019-04-05,VJW,3.5
2019-04-06,COK,3.0
2019-04-06,MAA,7.0
2019-04-08,BLR,32.0
2019-04-08,COK,2.0
2019-04-08,MAA,30.0
2019-04-08,SBD,204.0
2019-04-08,VJW,5.0
2019-04-09,BLR,105.0
2019-04-09,COK,15.0
2019-04-09,MAA,41.0
2019-04-09,SBD,203.5
2019-04-09,VJW,7.0
2019-04-10,BLR,215.0
2019-04-10,COK,27.0
2019-04-10,MAA,62.0
2019-04-10,SBD,67.0
2019-04-10,VJW,11.0
2019-04-11,BLR,91.0
2019-04-11,COK,3.5
2019-04-11,MAA,533.0
2019-04-12,BLR,38.0
2019-04-12,COK,157.5
2019-04-12,MAA,615.0
2019-04-12,SBD,69.0
2019-04-12,VJW,20.0
2019-04-13,BLR,187.0
2019-04-13,COK,17.0
2019-04-13,MAA,498.0
2019-04-13,SBD,191.0
2019-04-13,VJW,476.0
2019-04-14,SBD,1.0
2019-04-15,BLR,168.5
2019-04-15,MAA,297.0
2019-04-15,SBD,398.0
2019-04-15,VJW,72.0
2019-04-16,BLR,129.0
2019-04-16,COK,27.5
2019-04-16,MAA,84.0
2019-04-16,SBD,162.5
2019-04-16,VJW,823.0
2019-04-17,BLR,191.0
2019-04-17,COK,233.0
2019-04-17,MAA,172.0
2019-04-17,SBD,92.0
2019-04-17,VJW,311.0
2019-04-18,COK,88.0
2019-04-18,SBD,167.0
2019-04-18,VJW,183.0
2019-04-19,BLR,15.0
2019-04-19,MAA,1263.0
2019-04-19,SBD,198.0
2019-04-19,VJW,302.0
2019-04-20,BLR,136.5
2019-04-20,COK,50.5
2019-04-20,MAA,1078.5
2019-04-20,SBD,106.0
2019-04-20,VJW,176.0
2019-04-21,MAA,265.0
2019-04-21,SBD,5.0
2019-04-22,BLR,58.0
2019-04-22,COK,88.0
2019-04-22,MAA,324.0
2019-04-22,SBD,292.0
2019-04-22,VJW,130.0
2019-04-23,BLR,116.0
2019-04-23,COK,51.5
2019-04-23,MAA,428.5
2019-04-23,SBD,72.0
2019-04-23,VJW,135.0
2019-04-24,BLR,18.0
2019-04-24,COK,101.0
2019-04-24,MAA,501.0
2019-04-24,SBD,10.0
2019-04-24,VJW,74.5
2019-04-25,BLR,83.0
2019-04-25,COK,227.0
2019-04-25,MAA,559.0
2019-04-25,SBD,213.0
2019-04-25,VJW,258.0
2019-04-26,BLR,172.0
2019-04-26,COK,167.0
2019-04-26,MAA,418.0
2019-04-26,SBD,91.0
2019-04-26,VJW,136.5
2019-04-27,BLR,3.0
2019-04-27,COK,106.5
2019-04-27,MAA,1033.0
2019-04-27,SBD,112.0
2019-04-27,VJW,456.0
2019-04-28,BLR,6.0
2019-04-28,MAA,493.5
2019-04-28,SBD,1.0
2019-04-29,BLR,45.5
2019-04-29,COK,17.0
2019-04-29,MAA,1009.0
2019-04-29,SBD,104.0
2019-04-29,VJW,515.5
2019-04-30,BLR,807.5
2019-04-30,COK,353.0
2019-04-30,MAA,3000.0
2019-04-30,SBD,771.5
2019-04-30,VJW,1147.0
2019-05-01,BLR,237.0
2019-05-01,COK,128.0
2019-05-01,SBD,410.0
2019-05-01,VJW,1106.0
2019-05-02,BLR,8.0
2019-05-02,MAA,417.0
2019-05-02,SBD,279.0
2019-05-02,VJW,123.0
2019-05-03,BLR,215.0
2019-05-03,COK,1.5
2019-05-03,MAA,10.5
2019-05-03,SBD,0.5
2019-05-04,BLR,2.0
2019-05-04,COK,6.0
2019-05-04,MAA,291.5
2019-05-04,SBD,27.0
2019-05-04,VJW,15.0
2019-05-05,MAA,482.0
2019-05-05,VJW,40.0
2019-05-06,BLR,19.0
