Date,Qty
2019-04-03,33.0
2019-04-04,173.0
2019-04-05,330.5
2019-04-06,10.0
2019-04-08,273.0
2019-04-09,371.5
2019-04-10,382.0
2019-04-11,627.5
2019-04-12,899.5
2019-04-13,1369.0
2019-04-14,1.0
2019-04-15,935.5
2019-04-16,1226.0
2019-04-17,999.0
2019-04-18,438.0
2019-04-19,1778.0
2019-04-20,1547.5
2019-04-21,270.0
2019-04-22,892.0
2019-04-23,803.0
2019-04-24,704.5
2019-04-25,1340.0
2019-04-26,984.5
2019-04-27,1710.5
2019-04-28,500.5
2019-04-29,1691.0
2019-04-30,6079.0
2019-05-01,1881.0
2019-05-02,827.0
2019-05-03,227.5
2019-05-04,341.5
2019-05-05,522.0
2019-05-06,253.0
2019-05-07,737.5
2019-05-08,753.0
2019-05-09,1475.0
2019-05-10,1368.0
2019-05-11,1124.0
2019-05-12,1129.0
2019-05-13,468.0
2019-05-14,1130.0
2019-05-15,854.0
2019-05-16,877.0
2019-05-17,1034.5
2019-05-18,1177.0
2019-05-20,922.0
2019-05-21,859.0
2019-05-22,810.0
2019-05-23,793.0
2019-05-24,1534.0
2019-05-25,1284.0
2019-05-27,1133.5
2019-05-28,843.0
2019-05-29,1089.0
2019-05-30,2844.0
2019-05-31,4160.0
2019-06-01,4.0
2019-06-03,154.0
2019-06-04,449.0
2019-06-05,336.0
2019-06-06,98.0
2019-06-07,397.0
2019-06-08,337.0
2019-06-10,344.5
2019-06-11,348.0
2019-06-12,349.0
2019-06-13,843.0
2019-06-14,615.0
2019-06-15,425.0
2019-06-17,529.0
2019-06-18,621.5
2019-06-19,664.5
2019-06-20,511.0
2019-06-21,467.0
2019-06-22,265.5
2019-06-24,647.0
2019-06-25,425.0
2019-06-26,716.0
2019-06-27,786.0
2019-06-28,922.0
2019-06-29,1379.0
2019-06-30,1223.5
2019-07-01,2.0
2019-07-02,82.0
2019-07-03,82.0
2019-07-04,113.0
2019-07-05,120.0
2019-07-06,83.0
2019-07-08,102.5
2019-07-09,186.0
2019-07-10,256.5
2019-07-11,553.0
2019-07-12,358.0
2019-07-13,343.5
2019-07-15,388.5
2019-07-16,253.0
2019-07-17,574.0
2019-07-18,234.5
2019-07-19,232.5
2019-07-20,166.0
2019-07-22,156.0
2019-07-23,328.5
2019-07-24,454.0
2019-07-25,253.0
2019-07-26,380.5
2019-07-27,218.5
2019-07-29,897.0
2019-07-30,1852.5
2019-07-31,1052.5
2019-08-01,14.0
2019-08-02,155.0
2019-08-03,8.0
2019-08-05,121.5
2019-08-06,56.0
2019-08-07,133.0
2019-08-08,282.0
2019-08-09,149.0
2019-08-10,69.5
2019-08-12,102.5
2019-08-13,438.0
2019-08-14,757.5
2019-08-19,205.0
2019-08-20,333.0
2019-08-21,293.0
2019-08-22,493.5
2019-08-23,397.0
2019-08-24,135.0
2019-08-26,316.5
2019-08-27,389.0
2019-08-28,768.0
2019-08-29,1099.5
2019-08-30,1506.0
2019-08-31,1777.5
2019-09-03,4.0
2019-09-04,228.0
2019-09-05,138.5
2019-09-06,108.0
2019-09-07,151.5
2019-09-09,195.0
2019-09-10,150.5
2019-09-11,219.5
2019-09-12,212.5
2019-09-13,288.0
2019-09-14,232.0
2019-09-16,524.0
2019-09-17,238.0
2019-09-18,408.0
2019-09-19,514.0
2019-09-20,345.5
2019-09-21,295.0
2019-09-22,76.0
2019-09-23,520.0
2019-09-24,435.0
2019-09-25,1128.0
2019-09-26,1396.0
2019-09-27,1569.0
2019-09-28,1356.5
2019-09-29,1206.0
2019-09-30,2305.0
2019-10-03,44.0
2019-10-04,110.0
2019-10-05,82.5
2019-10-06,160.0
2019-10-07,174.0
2019-10-09,366.0
2019-10-10,399.0
2019-10-11,280.5
2019-10-12,363.0
2019-10-14,203.0
2019-10-15,245.5
2019-10-16,178.5
2019-10-17,160.5
2019-10-18,548.0
2019-10-19,277.5
2019-10-21,432.0
2019-10-22,385.0
2019-10-23,540.5
2019-10-24,395.5
2019-10-25,562.5
2019-10-26,882.0
2019-10-28,26.0
2019-10-29,965.0
2019-10-30,1647.5
2019-10-31,1929.0
2019-11-01,15.0
2019-11-02,26.0
2019-11-04,75.0
2019-11-05,149.0
2019-11-06,114.0
2019-11-07,219.0
2019-11-08,143.0
2019-11-09,67.0
2019-11-11,120.0
2019-11-12,89.0
2019-11-13,87.0
2019-11-14,51.0
2019-11-15,132.5
2019-11-16,149.5
2019-11-18,129.5
2019-11-19,89.0
2019-11-20,105.0
2019-11-21,313.0
2019-11-22,473.0
2019-11-23,270.5
2019-11-25,444.5
2019-11-26,669.5
2019-11-27,1167.5
2019-11-28,1309.0
2019-11-29,2020.5
2019-11-30,1686.5
2019-12-02,8.0
2019-12-03,224.0
2019-12-04,635.5
2019-12-05,521.5
2019-12-06,274.5
2019-12-07,252.5
2019-12-09,142.0
2019-12-10,83.0
2019-12-11,99.0
2019-12-12,338.0
2019-12-13,68.0
2019-12-14,266.0
2019-12-16,275.0
2019-12-17,158.0
2019-12-18,200.0
2019-12-19,282.0
2019-12-20,337.0
2019-12-21,332.0
2019-12-23,349.0
2019-12-24,1094.5
2019-12-25,36.0
2019-12-26,972.5
2019-12-27,1250.5
2019-12-28,2871.0
2019-12-29,3071.0
2019-12-30,4617.5
2019-12-31,2629.0
2020-01-03,172.0
2020-01-04,291.0
2020-01-06,66.0
2020-01-07,283.0
2020-01-08,367.5
2020-01-09,316.0
2020-01-10,339.0
2020-01-11,273.0
2020-01-13,372.5
2020-01-14,214.0
2020-01-15,14.0
2020-01-16,217.0
2020-01-17,321.0
2020-01-18,383.0
2020-01-20,316.0
2020-01-21,1185.0
2020-01-22,1471.0
2020-01-23,1085.5
2020-01-24,703.5
2020-01-25,1476.5
2020-01-26,465.0
2020-01-27,880.0
2020-01-28,1182.0
2020-01-29,1196.5
2020-01-30,2501.5
2020-01-31,3320.0
2020-02-01,53.0
2020-02-03,302.0
2020-02-04,185.0
2020-02-05,483.0
2020-02-06,474.0
2020-02-07,350.0
2020-02-08,181.0
2020-02-10,540.0
2020-02-11,1147.0
2020-02-12,473.0
2020-02-13,640.0
2020-02-14,443.5
2020-02-15,941.0
2020-02-17,1460.0
2020-02-18,767.0
2020-02-19,1263.0
2020-02-20,1672.0
2020-02-21,1528.0
2020-02-22,1361.0
2020-02-24,2304.0
2020-02-25,2472.0
2020-02-26,7925.0
2020-02-27,8365.5
2020-02-28,3197.0
2020-02-29,1935.5
