Date,Min Temp,Max Temp,Avg Temp,Min Humidity,Max Humidity,Avg Humidity,Min Wind Speed,Max Wind Speed,Avg Wind Speed,Branch
2019-04-01,26.0,40.0,31.565694444444443,33.0,94.0,70.09861111111111,0.0,27.7,12.295555555555554,MAA
2019-05-01,27.8,42.0,33.247446236559135,20.0,91.0,66.13575268817205,0.0,42.5,14.206451612903226,MAA
2019-06-01,25.0,42.6,33.40222222222222,26.0,100.0,59.90972222222222,0.0,29.5,13.555833333333334,MAA
2019-07-01,24.0,40.0,31.30201612903226,31.0,100.0,66.63037634408602,0.0,27.7,12.370430107526882,MAA
2019-08-01,24.6,39.0,30.91491935483871,37.0,100.0,69.71908602150538,0.0,29.5,12.256854838709678,MAA
2019-09-01,23.6,37.0,29.417777777777776,39.0,100.0,75.05416666666666,0.0,27.7,9.300555555555556,MAA
2019-10-01,24.0,35.0,28.392473118279568,47.0,100.0,81.70698924731182,0.0,24.1,7.475,MAA
2019-11-01,23.0,35.0,27.949583333333333,43.0,100.0,80.40833333333333,0.0,37.1,7.634027777777778,MAA
2019-12-01,22.0,31.0,26.354032258064517,49.0,100.0,79.78360215053763,0.0,27.7,7.813037634408602,MAA
2020-01-01,20.0,32.4,26.242473118279573,36.0,100.0,76.20430107526882,0.0,24.1,7.778629032258065,MAA
2020-02-01,21.0,34.0,27.171551724137935,36.0,100.0,70.52586206896552,0.0,27.7,8.954166666666667,MAA
2020-03-01,23.2,35.0,28.727150537634408,36.0,95.0,71.40725806451613,0.0,27.7,9.537903225806453,MAA
2020-04-01,24.0,37.2,30.494305555555556,37.0,100.0,73.04166666666667,0.0,31.7,10.484444444444446,MAA
2020-05-01,27.0,42.0,32.52983870967742,28.0,94.0,69.02688172043011,0.0,25.9,11.888037634408605,MAA
2020-06-01,25.4,40.4,32.11625,33.0,96.0,64.56944444444444,0.0,37.1,12.06361111111111,MAA
2020-07-01,23.4,37.4,29.745967741935484,40.0,100.0,76.73387096774194,0.0,27.7,9.196102150537634,MAA
2020-08-01,23.8,36.0,29.781720430107526,47.0,100.0,73.56451612903226,0.0,40.7,9.52486559139785,MAA
2020-09-01,23.8,35.2,28.77041666666667,41.0,100.0,77.1763888888889,0.0,27.7,8.750555555555556,MAA
2020-10-01,24.0,36.6,28.77956989247312,39.0,100.0,76.99596774193549,0.0,25.9,7.765188172043011,MAA
2020-11-01,21.2,34.0,27.1375,46.0,100.0,84.62777777777778,0.0,51.8,9.208194444444445,MAA
2020-12-01,20.4,32.0,26.371908602150537,46.0,100.0,80.13978494623656,0.0,27.7,7.832930107526882,MAA
2021-01-01,21.0,32.0,26.225806451612904,43.0,100.0,80.24193548387096,0.0,27.7,6.76491935483871,MAA
2021-02-01,19.0,33.4,25.722916666666663,31.0,100.0,70.91815476190476,0.0,28.0,7.932886904761904,MAA
2021-03-01,22.0,39.0,28.17513440860215,19.0,95.0,70.28629032258064,0.0,24.1,6.969220430107527,MAA
2021-04-01,23.0,41.0,30.232777777777777,19.0,98.0,71.025,0.0,27.7,9.603333333333332,MAA
2021-05-01,23.0,39.6,30.90510752688172,27.0,95.0,67.17069892473118,0.0,29.5,11.632930107526882,MAA
