FinancialYear,Branch,Month,Sales
FY_2026,BLR,1,3470.0856229105957
FY_2026,BLR,2,2646.8901003847204
FY_2026,BLR,3,2619.014863312576
FY_2026,BLR,4,1727.448284759728
FY_2026,BLR,5,2319.10363328005
FY_2026,BLR,6,2389.2277970123955
FY_2026,BLR,7,3137.4080850881073
FY_2026,BLR,8,2513.9599908964265
FY_2026,BLR,9,3368.356276257911
FY_2026,BLR,10,2898.0184600088674
FY_2026,BLR,11,3984.292522779581
FY_2026,BLR,12,2078.3674284478793
FY_2026,MAA,1,8883.736089331525
FY_2026,MAA,2,8374.584440292978
FY_2026,MAA,3,8727.914184011292
FY_2026,MAA,4,12697.138290873678
FY_2026,MAA,5,10685.289385309909
FY_2026,MAA,6,11115.182850929983
FY_2026,MAA,7,12357.370557282475
FY_2026,MAA,8,11094.064296398326
FY_2026,MAA,9,10793.977695860302
FY_2026,MAA,10,9524.072338256368
FY_2026,MAA,11,9095.57307973105
FY_2026,MAA,12,9614.30777883774
FY_2026,COK,1,2433.988039100684
FY_2026,COK,2,2713.069589450246
FY_2026,COK,3,3394.8375553318933
FY_2026,COK,4,1979.5311222102748
FY_2026,COK,5,1421.4439527169093
FY_2026,COK,6,2075.2951840148376
FY_2026,COK,7,3506.680002051762
FY_2026,COK,8,4126.038063656536
FY_2026,COK,9,3080.7940855351817
FY_2026,COK,10,2093.3826086553327
FY_2026,COK,11,3472.075886233889
FY_2026,COK,12,2426.1870992568997
FY_2026,SBD,1,8901.452176003831
FY_2026,SBD,2,8787.628647605276
FY_2026,SBD,3,7883.590346839718
FY_2026,SBD,4,5728.696449475255
FY_2026,SBD,5,6811.239928890899
FY_2026,SBD,6,6241.868574911395
FY_2026,SBD,7,4983.399108372323
FY_2026,SBD,8,5756.279646424599
FY_2026,SBD,9,5726.724969586534
FY_2026,SBD,10,6977.013301005081
FY_2026,SBD,11,6889.94159883601
FY_2026,SBD,12,9950.61906540502
FY_2026,SBD1,1,3359.228221769903
FY_2026,SBD1,2,4351.56313655116
FY_2026,SBD1,3,4436.6553884521045
FY_2026,SBD1,4,4887.665012507285
FY_2026,SBD1,5,5564.806621691857
FY_2026,SBD1,6,5298.500500372714
FY_2026,SBD1,7,2970.542111264909
FY_2026,SBD1,8,3493.2200919095335
FY_2026,SBD1,9,4023.2530955199672
FY_2026,SBD1,10,5485.904386900876
FY_2026,SBD1,11,3367.613219650858
FY_2026,SBD1,12,2973.6016185126236
