forecast_date,date,forecast
2024-04-01,2024-05-01,3310.3464
2024-04-01,2024-06-01,3483.5767
2024-04-01,2024-07-01,4844.968
2024-04-01,2024-08-01,3236.4321
2024-04-01,2024-09-01,3228.1792
2024-04-01,2024-10-01,3409.7092
2024-04-01,2024-11-01,3130.1628
2024-04-01,2024-12-01,3211.9626
2024-04-01,2025-01-01,3341.6448
2024-04-01,2025-02-01,3339.7744
2024-04-01,2025-03-01,3339.7744
2024-05-01,2024-06-01,3310.3464
2024-05-01,2024-07-01,3483.5767
2024-05-01,2024-08-01,4844.968
2024-05-01,2024-09-01,3236.4321
2024-05-01,2024-10-01,3228.1792
2024-05-01,2024-11-01,3409.7092
2024-05-01,2024-12-01,3130.1628
2024-05-01,2025-01-01,3211.9626
2024-05-01,2025-02-01,3341.6448
2024-05-01,2025-03-01,3339.7744
2024-06-01,2024-07-01,3310.3464
2024-06-01,2024-08-01,3483.5767
2024-06-01,2024-09-01,4844.968
2024-06-01,2024-10-01,3236.4321
2024-06-01,2024-11-01,3228.1792
2024-06-01,2024-12-01,3409.7092
2024-06-01,2025-01-01,3130.1628
2024-06-01,2025-02-01,3211.9626
2024-06-01,2025-03-01,3341.6448
2024-07-01,2024-08-01,3310.3464
2024-07-01,2024-09-01,3483.5767
2024-07-01,2024-10-01,4844.968
2024-07-01,2024-11-01,3236.4321
2024-07-01,2024-12-01,3228.1792
2024-07-01,2025-01-01,3409.7092
2024-07-01,2025-02-01,3130.1628
2024-07-01,2025-03-01,3211.9626
2024-08-01,2024-09-01,3310.3464
2024-08-01,2024-10-01,3483.5767
2024-08-01,2024-11-01,4844.968
2024-08-01,2024-12-01,3236.4321
2024-08-01,2025-01-01,3228.1792
2024-08-01,2025-02-01,3409.7092
2024-08-01,2025-03-01,3130.1628
2024-09-01,2024-10-01,3310.3464
2024-09-01,2024-11-01,3483.5767
2024-09-01,2024-12-01,4844.968
2024-09-01,2025-01-01,3236.4321
2024-09-01,2025-02-01,3228.1792
2024-09-01,2025-03-01,3409.7092
2024-10-01,2024-11-01,3310.3464
2024-10-01,2024-12-01,3483.5767
2024-10-01,2025-01-01,4844.968
2024-10-01,2025-02-01,3236.4321
2024-10-01,2025-03-01,3228.1792
2024-11-01,2024-12-01,3310.3464
2024-11-01,2025-01-01,3483.5767
2024-11-01,2025-02-01,4844.968
2024-11-01,2025-03-01,3236.4321
2024-12-01,2025-01-01,3310.3464
2024-12-01,2025-02-01,3483.5767
2024-12-01,2025-03-01,4844.968
2025-01-01,2025-02-01,3310.3464
2025-01-01,2025-03-01,3483.5767
2025-02-01,2025-03-01,3310.3464
