rmse,mae,mape,nrmse,r2,forecast_date,n_periods
7530.136893673437,5631.104847301136,42.817092726745486,58.995958626235954,-0.22323982190325986,2024-04-01,11
7576.2812249854005,5777.12568359375,48.84338941648841,63.332006093769024,-0.30655719367158385,2024-05-01,10
7788.099110395444,5974.862630208333,46.78031378448913,62.12256668754675,-0.3324677952317092,2024-06-01,9
8348.351487044703,6530.5289306640625,44.66305934843031,62.412331576182964,-0.5533247898693143,2024-07-01,8
9014.303682483944,7333.176060267857,51.04000451806162,63.68668010111891,-0.7499036548942772,2024-08-01,7
9033.55554153875,7978.17724609375,57.76214049664192,60.92912750874851,-0.5997277712687648,2024-09-01,6
9108.68644152574,7968.075390625,52.9929517157622,56.172367606044425,-0.6716032459284689,2024-10-01,5
9634.994923063528,7697.16015625,35.5608899360989,51.345563139160824,-2.1420757877288072,2024-11-01,4
5447.687746735423,4169.836588541667,23.106126669580277,34.0204068365417,-2.2614108788562826,2024-12-01,3
5771.614547493077,5160.60546875,28.021747030296947,33.22557450632132,-3.1040225681070313,2025-01-01,2
8274.0966796875,8274.0966796875,40.92035944454748,40.92035944454748,,2025-02-01,1
