forecast_date,date,forecast
2024-04-01,2024-05-01,4863.6025
2024-04-01,2024-06-01,8487.445
2024-04-01,2024-07-01,8471.317
2024-04-01,2024-08-01,6201.0264
2024-04-01,2024-09-01,6604.679
2024-04-01,2024-10-01,6614.9653
2024-04-01,2024-11-01,6659.8604
2024-04-01,2024-12-01,6643.9443
2024-04-01,2025-01-01,6659.9424
2024-04-01,2025-02-01,6650.956
2024-04-01,2025-03-01,6659.9336
2024-05-01,2024-06-01,4863.6025
2024-05-01,2024-07-01,8487.445
2024-05-01,2024-08-01,8471.317
2024-05-01,2024-09-01,6201.0264
2024-05-01,2024-10-01,6604.679
2024-05-01,2024-11-01,6614.9653
2024-05-01,2024-12-01,6659.8604
2024-05-01,2025-01-01,6643.9443
2024-05-01,2025-02-01,6659.9424
2024-05-01,2025-03-01,6650.956
2024-06-01,2024-07-01,4863.6025
2024-06-01,2024-08-01,8487.445
2024-06-01,2024-09-01,8471.317
2024-06-01,2024-10-01,6201.0264
2024-06-01,2024-11-01,6604.679
2024-06-01,2024-12-01,6614.9653
2024-06-01,2025-01-01,6659.8604
2024-06-01,2025-02-01,6643.9443
2024-06-01,2025-03-01,6659.9424
2024-07-01,2024-08-01,4863.6025
2024-07-01,2024-09-01,8487.445
2024-07-01,2024-10-01,8471.317
2024-07-01,2024-11-01,6201.0264
2024-07-01,2024-12-01,6604.679
2024-07-01,2025-01-01,6614.9653
2024-07-01,2025-02-01,6659.8604
2024-07-01,2025-03-01,6643.9443
2024-08-01,2024-09-01,4863.6025
2024-08-01,2024-10-01,8487.445
2024-08-01,2024-11-01,8471.317
2024-08-01,2024-12-01,6201.0264
2024-08-01,2025-01-01,6604.679
2024-08-01,2025-02-01,6614.9653
2024-08-01,2025-03-01,6659.8604
2024-09-01,2024-10-01,4863.6025
2024-09-01,2024-11-01,8487.445
2024-09-01,2024-12-01,8471.317
2024-09-01,2025-01-01,6201.0264
2024-09-01,2025-02-01,6604.679
2024-09-01,2025-03-01,6614.9653
2024-10-01,2024-11-01,4863.6025
2024-10-01,2024-12-01,8487.445
2024-10-01,2025-01-01,8471.317
2024-10-01,2025-02-01,6201.0264
2024-10-01,2025-03-01,6604.679
2024-11-01,2024-12-01,4863.6025
2024-11-01,2025-01-01,8487.445
2024-11-01,2025-02-01,8471.317
2024-11-01,2025-03-01,6201.0264
2024-12-01,2025-01-01,4863.6025
2024-12-01,2025-02-01,8487.445
2024-12-01,2025-03-01,8471.317
2025-01-01,2025-02-01,4863.6025
2025-01-01,2025-03-01,8487.445
2025-02-01,2025-03-01,4863.6025
