forecast_date,date,forecast
2024-04-01,2024-05-01,8773.354
2024-04-01,2024-06-01,10106.773
2024-04-01,2024-07-01,9811.75
2024-04-01,2024-08-01,9543.947
2024-04-01,2024-09-01,9843.76
2024-04-01,2024-10-01,9692.139
2024-04-01,2024-11-01,9692.039
2024-04-01,2024-12-01,9692.041
2024-04-01,2025-01-01,10652.141
2024-04-01,2025-02-01,8906.053
2024-04-01,2025-03-01,9865.895
2024-05-01,2024-06-01,8773.354
2024-05-01,2024-07-01,10106.773
2024-05-01,2024-08-01,9811.75
2024-05-01,2024-09-01,9543.947
2024-05-01,2024-10-01,9843.76
2024-05-01,2024-11-01,9692.139
2024-05-01,2024-12-01,9692.039
2024-05-01,2025-01-01,9692.041
2024-05-01,2025-02-01,10652.141
2024-05-01,2025-03-01,8906.053
2024-06-01,2024-07-01,8773.354
2024-06-01,2024-08-01,10106.773
2024-06-01,2024-09-01,9811.75
2024-06-01,2024-10-01,9543.947
2024-06-01,2024-11-01,9843.76
2024-06-01,2024-12-01,9692.139
2024-06-01,2025-01-01,9692.039
2024-06-01,2025-02-01,9692.041
2024-06-01,2025-03-01,10652.141
2024-07-01,2024-08-01,8773.354
2024-07-01,2024-09-01,10106.773
2024-07-01,2024-10-01,9811.75
2024-07-01,2024-11-01,9543.947
2024-07-01,2024-12-01,9843.76
2024-07-01,2025-01-01,9692.139
2024-07-01,2025-02-01,9692.039
2024-07-01,2025-03-01,9692.041
2024-08-01,2024-09-01,8773.354
2024-08-01,2024-10-01,10106.773
2024-08-01,2024-11-01,9811.75
2024-08-01,2024-12-01,9543.947
2024-08-01,2025-01-01,9843.76
2024-08-01,2025-02-01,9692.139
2024-08-01,2025-03-01,9692.039
2024-09-01,2024-10-01,8773.354
2024-09-01,2024-11-01,10106.773
2024-09-01,2024-12-01,9811.75
2024-09-01,2025-01-01,9543.947
2024-09-01,2025-02-01,9843.76
2024-09-01,2025-03-01,9692.139
2024-10-01,2024-11-01,8773.354
2024-10-01,2024-12-01,10106.773
2024-10-01,2025-01-01,9811.75
2024-10-01,2025-02-01,9543.947
2024-10-01,2025-03-01,9843.76
2024-11-01,2024-12-01,8773.354
2024-11-01,2025-01-01,10106.773
2024-11-01,2025-02-01,9811.75
2024-11-01,2025-03-01,9543.947
2024-12-01,2025-01-01,8773.354
2024-12-01,2025-02-01,10106.773
2024-12-01,2025-03-01,9811.75
2025-01-01,2025-02-01,8773.354
2025-01-01,2025-03-01,10106.773
2025-02-01,2025-03-01,8773.354
