forecast_date,date,forecast
2024-04-01,2024-05-01,19524.24868605868
2024-04-01,2024-06-01,22003.689684068773
2024-04-01,2024-07-01,19933.82931129773
2024-04-01,2024-08-01,18699.17749669605
2024-04-01,2024-09-01,27289.565799386375
2024-04-01,2024-10-01,20222.96192939934
2024-04-01,2024-11-01,20174.146964642987
2024-04-01,2024-12-01,51575.570779752736
2024-04-01,2025-01-01,27298.70229816887
2024-04-01,2025-02-01,42657.672264655856
2024-04-01,2025-03-01,64526.39314545093
2024-05-01,2024-06-01,22003.689684068773
2024-05-01,2024-07-01,19933.82931129773
2024-05-01,2024-08-01,18699.17749669605
2024-05-01,2024-09-01,27289.565799386375
2024-05-01,2024-10-01,20222.96192939934
2024-05-01,2024-11-01,20174.146964642987
2024-05-01,2024-12-01,51575.570779752736
2024-05-01,2025-01-01,27298.70229816887
2024-05-01,2025-02-01,42657.672264655856
2024-06-01,2024-07-01,19933.82931129773
2024-06-01,2024-08-01,18699.17749669605
2024-06-01,2024-09-01,27289.565799386375
2024-06-01,2024-10-01,20222.96192939934
2024-06-01,2024-11-01,20174.146964642987
2024-06-01,2024-12-01,51575.570779752736
2024-06-01,2025-01-01,27298.70229816887
2024-07-01,2024-08-01,18699.17749669605
2024-07-01,2024-09-01,27289.565799386375
2024-07-01,2024-10-01,20222.96192939934
2024-07-01,2024-11-01,20174.146964642987
2024-07-01,2024-12-01,51575.570779752736
2024-08-01,2024-09-01,27289.565799386375
2024-08-01,2024-10-01,20222.96192939934
2024-08-01,2024-11-01,20174.146964642987
2024-09-01,2024-10-01,20222.96192939934
