rmse,mae,mape,nrmse,r2,forecast_date,n_periods
25309.833730935872,18994.999112215908,49.006734137151135,65.05471797371123,-0.22065642166580757,2024-04-01,11
25146.936628501695,17931.4490234375,46.72456861623494,67.03508008802712,-0.13746928152185878,2024-05-01,10
25954.575412543763,18716.008897569445,44.56151590753613,65.71296155896775,-0.16474046879713078,2024-06-01,9
27468.979154277382,19309.386474609375,37.727537583297355,64.2955297012789,-0.35469375447901896,2024-07-01,8
29403.15110746722,22286.154854910714,44.15193295138549,64.5155606742597,-0.5128429477848788,2024-08-01,7
30957.587408014813,23783.144856770832,43.86982208927286,64.29650296414502,-0.5448205304792795,2024-09-01,6
33750.157433311266,26816.796875,44.45715802001358,63.66849043809616,-0.8900276480631371,2024-10-01,5
38267.191809416996,32309.37158203125,46.17594667686626,62.006306099679165,-2.9113761173911463,2024-11-01,4
35664.873217458604,29795.62890625,44.884785685306014,60.18473686268517,-1.6775312917397551,2024-12-01,3
45240.972354582314,42614.623046875,58.40171806912421,63.83386106780059,-5.64673875719152,2025-01-01,2
62520.51171875,62520.51171875,70.70776367463611,70.70776367463611,,2025-02-01,1
