forecast_date,date,forecast
2024-04-01,2024-05-01,3005.9318705753253
2024-04-01,2024-06-01,3005.9318705753253
2024-04-01,2024-07-01,2360.193182533466
2024-04-01,2024-08-01,2381.06895738973
2024-04-01,2024-09-01,3140.179073228097
2024-04-01,2024-10-01,3443.109404189948
2024-04-01,2024-11-01,3357.328677549883
2024-04-01,2024-12-01,3443.109404189948
2024-04-01,2025-01-01,3423.4755233998007
2024-04-01,2025-02-01,3423.4755233998007
2024-04-01,2025-03-01,3423.4755233998007
2024-05-01,2024-06-01,3005.9318705753253
2024-05-01,2024-07-01,3025.5657513654724
2024-05-01,2024-08-01,2360.193182533466
2024-05-01,2024-09-01,2560.587231036155
2024-05-01,2024-10-01,3357.328677549883
2024-05-01,2024-11-01,3443.109404189948
2024-05-01,2024-12-01,3357.328677549883
2024-05-01,2025-01-01,3423.4755233998007
2024-05-01,2025-02-01,3423.4755233998007
2024-05-01,2025-03-01,3423.4755233998007
2024-06-01,2024-07-01,3025.5657513654724
2024-06-01,2024-08-01,3025.5657513654724
2024-06-01,2024-09-01,2539.7114561798912
2024-06-01,2024-10-01,2777.7368353579413
2024-06-01,2024-11-01,3357.328677549883
2024-06-01,2024-12-01,3443.109404189948
2024-06-01,2025-01-01,3337.694796759736
2024-06-01,2025-02-01,3423.4755233998007
2024-06-01,2025-03-01,3423.4755233998007
2024-07-01,2024-08-01,3025.5657513654724
2024-07-01,2024-09-01,3205.0840250118977
2024-07-01,2024-10-01,2756.8610605016775
2024-07-01,2024-11-01,2777.7368353579413
2024-07-01,2024-12-01,3357.328677549883
2024-07-01,2025-01-01,3423.4755233998007
2024-07-01,2025-02-01,3337.694796759736
2024-07-01,2025-03-01,3423.4755233998007
2024-08-01,2024-09-01,3205.0840250118977
2024-08-01,2024-10-01,3422.233629333684
2024-08-01,2024-11-01,2756.8610605016775
2024-08-01,2024-12-01,2777.7368353579413
2024-08-01,2025-01-01,3337.694796759736
2024-08-01,2025-02-01,3423.4755233998007
2024-08-01,2025-03-01,3337.694796759736
2024-09-01,2024-10-01,3422.233629333684
2024-09-01,2024-11-01,3422.233629333684
2024-09-01,2024-12-01,2756.8610605016775
2024-09-01,2025-01-01,2758.1029545677943
2024-09-01,2025-02-01,3337.694796759736
2024-09-01,2025-03-01,3423.4755233998007
2024-10-01,2024-11-01,3422.233629333684
2024-10-01,2024-12-01,3422.233629333684
2024-10-01,2025-01-01,2737.2271797115304
2024-10-01,2025-02-01,2758.1029545677943
2024-10-01,2025-03-01,3337.694796759736
2024-11-01,2024-12-01,3422.233629333684
2024-11-01,2025-01-01,3402.599748543537
2024-11-01,2025-02-01,2737.2271797115304
2024-11-01,2025-03-01,2758.1029545677943
2024-12-01,2025-01-01,3402.599748543537
2024-12-01,2025-02-01,3402.599748543537
2024-12-01,2025-03-01,2737.2271797115304
2025-01-01,2025-02-01,3402.599748543537
2025-01-01,2025-03-01,3402.599748543537
2025-02-01,2025-03-01,3402.599748543537
