forecast_date,date,forecast
2024-04-01,2024-05-01,10092.949735153245
2024-04-01,2024-06-01,9842.61675717985
2024-04-01,2024-07-01,9347.348405994104
2024-04-01,2024-08-01,7762.250257052395
2024-04-01,2024-09-01,7965.119793791131
2024-04-01,2024-10-01,8064.2955859519025
2024-04-01,2024-11-01,7640.644804719438
2024-04-01,2024-12-01,7875.699356386171
2024-04-01,2025-01-01,8599.478505018504
2024-04-01,2025-02-01,9352.97676187946
2024-04-01,2025-03-01,9625.282270017076
2024-05-01,2024-06-01,9498.177444408106
2024-05-01,2024-07-01,9280.29270488449
2024-05-01,2024-08-01,9916.19134015152
2024-05-01,2024-09-01,8084.361383000682
2024-05-01,2024-10-01,7808.429946873563
2024-05-01,2024-11-01,7978.535470622576
2024-05-01,2024-12-01,7905.148708973786
2024-05-01,2025-01-01,8573.543965597477
2024-05-01,2025-02-01,9467.82945383095
2024-05-01,2025-03-01,9506.743022986753
2024-06-01,2024-07-01,9038.192467233715
2024-06-01,2024-08-01,9529.63122280759
2024-06-01,2024-09-01,9512.466758582035
2024-06-01,2024-10-01,7831.038952830637
2024-06-01,2024-11-01,7863.414707034306
2024-06-01,2024-12-01,8230.074509409915
2024-06-01,2025-01-01,8550.946608667315
2024-06-01,2025-02-01,9353.281506741703
2024-06-01,2025-03-01,9621.762044263269
2024-07-01,2024-08-01,9236.513030432034
2024-07-01,2024-09-01,9151.360630637375
2024-07-01,2024-10-01,9352.290375407549
2024-07-01,2024-11-01,7959.06693578214
2024-07-01,2024-12-01,8087.926704385181
2024-07-01,2025-01-01,8958.489798162385
2024-07-01,2025-02-01,9390.468120012581
2024-07-01,2025-03-01,9297.75032735713
2024-08-01,2024-09-01,8812.26782406783
2024-08-01,2024-10-01,8984.57886187358
2024-08-01,2024-11-01,9348.6167240254
2024-08-01,2024-12-01,8312.962604345117
2024-08-01,2025-01-01,8835.14813095435
2024-08-01,2025-02-01,9764.086394364294
2024-08-01,2025-03-01,9260.696232170563
2024-09-01,2024-10-01,8626.003692394948
2024-09-01,2024-11-01,8889.82552438464
2024-09-01,2024-12-01,9117.854727572003
2024-09-01,2025-01-01,8892.528352709935
2024-09-01,2025-02-01,9682.843027919807
2024-09-01,2025-03-01,9630.71869471731
2024-10-01,2024-11-01,8531.27097307802
2024-10-01,2024-12-01,8817.325660087943
2024-10-01,2025-01-01,10845.584153193413
2024-10-01,2025-02-01,9739.505034523681
2024-10-01,2025-03-01,9640.819559787922
2024-11-01,2024-12-01,8470.171664062156
2024-11-01,2025-01-01,10230.096125108934
2024-11-01,2025-02-01,11546.197366649287
2024-11-01,2025-03-01,9539.11752767875
2024-12-01,2025-01-01,9986.250647511246
2024-12-01,2025-02-01,10993.531904377242
2024-12-01,2025-03-01,11516.923815804927
2025-01-01,2025-02-01,10779.90658453487
2025-01-01,2025-03-01,11394.328743318883
2025-02-01,2025-03-01,11191.071220735066
