forecast_date,date,forecast
2024-04-01,2024-05-01,12308.283089510558
2024-04-01,2024-06-01,12052.772413160192
2024-04-01,2024-07-01,10496.821251446421
2024-04-01,2024-08-01,9539.735941532945
2024-04-01,2024-09-01,10015.287556480578
2024-04-01,2024-10-01,10015.287556480578
2024-04-01,2024-11-01,8859.775526802036
2024-04-01,2024-12-01,8723.907263675315
2024-04-01,2025-01-01,11065.84550848801
2024-04-01,2025-02-01,11250.257310070529
2024-04-01,2025-03-01,11250.257310070529
2024-05-01,2024-06-01,12052.772413160192
2024-05-01,2024-07-01,11802.23352699507
2024-05-01,2024-08-01,10496.821251446421
2024-05-01,2024-09-01,9539.735941532945
2024-05-01,2024-10-01,10015.287556480578
2024-05-01,2024-11-01,10015.287556480578
2024-05-01,2024-12-01,8859.775526802036
2024-05-01,2025-01-01,9229.9568261908
2024-05-01,2025-02-01,11065.84550848801
2024-05-01,2025-03-01,11250.257310070529
2024-06-01,2024-07-01,11802.23352699507
2024-06-01,2024-08-01,11802.23352699507
2024-06-01,2024-09-01,10496.821251446421
2024-06-01,2024-10-01,9539.735941532945
2024-06-01,2024-11-01,10015.287556480578
2024-06-01,2024-12-01,10015.287556480578
2024-06-01,2025-01-01,9365.82508931752
2024-06-01,2025-02-01,9229.9568261908
2024-06-01,2025-03-01,11065.84550848801
2024-07-01,2024-08-01,11802.23352699507
2024-07-01,2024-09-01,11802.23352699507
2024-07-01,2024-10-01,10496.821251446421
2024-07-01,2024-11-01,9539.735941532945
2024-07-01,2024-12-01,10015.287556480578
2024-07-01,2025-01-01,10521.337118996065
2024-07-01,2025-02-01,9445.027923212607
2024-07-01,2025-03-01,9309.159660085887
2024-08-01,2024-09-01,11802.23352699507
2024-08-01,2024-10-01,11802.23352699507
2024-08-01,2024-11-01,10496.821251446421
2024-08-01,2024-12-01,9539.735941532945
2024-08-01,2025-01-01,10521.337118996065
2024-08-01,2025-02-01,10521.337118996065
2024-08-01,2025-03-01,9445.027923212607
2024-09-01,2024-10-01,11802.23352699507
2024-09-01,2024-11-01,11802.23352699507
2024-09-01,2024-12-01,10496.821251446421
2024-09-01,2025-01-01,10045.78550404843
2024-09-01,2025-02-01,10521.337118996065
2024-09-01,2025-03-01,10521.337118996065
2024-10-01,2024-11-01,11802.23352699507
2024-10-01,2024-12-01,11802.23352699507
2024-10-01,2025-01-01,11002.870813961908
2024-10-01,2025-02-01,10045.78550404843
2024-10-01,2025-03-01,10521.337118996065
2024-11-01,2024-12-01,11802.23352699507
2024-11-01,2025-01-01,12308.283089510558
2024-11-01,2025-02-01,11002.870813961908
2024-11-01,2025-03-01,10045.78550404843
2024-12-01,2025-01-01,12308.283089510558
2024-12-01,2025-02-01,12308.283089510558
2024-12-01,2025-03-01,11002.870813961908
2025-01-01,2025-02-01,12308.283089510558
2025-01-01,2025-03-01,12308.283089510558
2025-02-01,2025-03-01,12308.283089510558
