rmse,mae,mape,nrmse,r2,forecast_date,n_periods
2400.224435765604,1760.494807784282,35.87478121697444,58.76617876028678,-0.5000078807721293,2024-04-01,11
2296.1810790955833,1584.0182571418518,31.606816577787594,57.117511482191574,-0.2615503133908925,2024-05-01,10
2391.7949853998957,1654.760084675815,31.00871514282974,57.2930769418691,-0.29873775823914595,2024-06-01,9
2536.842679559489,1760.244177577365,30.137725326559696,57.14735853483489,-0.4876634267771005,2024-07-01,8
2730.0450575309,2095.7612151951353,37.60594900780973,57.763013549499156,-0.7396566006064635,2024-08-01,7
2885.640323882164,2187.4535602530955,36.636147465411504,58.97285991788883,-0.7335608717177764,2024-09-01,6
2987.385733302053,2258.3979664228195,34.55309323307485,55.96870753338678,-0.9490396076460015,2024-10-01,5
3283.298657810207,2626.7514427261845,38.70736579876166,54.081677776481754,-2.5527802358166056,2024-11-01,4
3189.0949406201694,2739.577557196813,39.77763332326512,50.40453517654764,-1.688050411164899,2024-12-01,3
4169.032474692038,3750.042737480298,48.94478278947692,58.0685629179196,-3.973013259337831,2025-01-01,2
5601.901990416191,5601.901990416191,61.90630998360251,61.90630998360251,,2025-02-01,1
