rmse,mae,mape,nrmse,r2,forecast_date,n_periods
2077.179373401579,1422.0813718586717,28.273922184965965,50.8568667811106,-0.12340884224137216,2024-04-01,11
2155.4195320955505,1515.6876016005322,32.205763807064834,53.61606756288526,-0.11161893543408397,2024-05-01,10
2262.3014834223636,1629.2968753387713,33.8663281502887,54.19118852017798,-0.16191544716156625,2024-06-01,9
2342.5663403644694,1577.7020083614773,27.59584817365477,52.77090283252824,-0.2685319572829721,2024-07-01,8
2605.92572784233,1907.81193722995,33.38025987327338,55.136864027615495,-0.5850682497461583,2024-08-01,7
2865.353589989632,2332.6217845376177,43.01565047353188,58.55826676636735,-0.709271865835823,2024-09-01,6
3149.216522554119,2668.7862426800966,46.551097342988044,59.00060931044138,-1.1659234442155704,2024-10-01,5
3655.6692259637352,3083.8093711232814,46.59634648140065,60.21527303514635,-3.404345211195258,2024-11-01,4
3947.4833904266357,3245.5510775208422,45.7635386006608,62.3910761881877,-3.118538543350976,2024-12-01,3
4309.285011377306,3882.6417629342404,50.739437839863655,60.02207690476086,-4.313240796494139,2025-01-01,2
5752.14176293424,5752.14176293424,63.56660142484518,63.56660142484518,,2025-02-01,1
