forecast_date,date,forecast
2024-04-01,2024-05-01,2371.6914
2024-04-01,2024-06-01,2796.8042
2024-04-01,2024-07-01,2829.1316
2024-04-01,2024-08-01,2375.2935
2024-04-01,2024-09-01,2474.9082
2024-04-01,2024-10-01,2665.4119
2024-04-01,2024-11-01,2321.3787
2024-04-01,2024-12-01,2342.6743
2024-04-01,2025-01-01,2452.009
2024-04-01,2025-02-01,2395.425
2024-04-01,2025-03-01,2732.1123
2024-05-01,2024-06-01,2371.7002
2024-05-01,2024-07-01,2803.1199
2024-05-01,2024-08-01,2828.1626
2024-05-01,2024-09-01,2375.2932
2024-05-01,2024-10-01,2469.5806
2024-05-01,2024-11-01,2674.165
2024-05-01,2024-12-01,2408.1467
2024-05-01,2025-01-01,2315.0862
2024-05-01,2025-02-01,2537.7546
2024-05-01,2025-03-01,2680.59
2024-06-01,2024-07-01,2384.3193
2024-06-01,2024-08-01,2802.151
2024-06-01,2024-09-01,2828.1626
2024-06-01,2024-10-01,2369.9656
2024-06-01,2024-11-01,2478.3337
2024-06-01,2024-12-01,2742.4268
2024-06-01,2025-01-01,2288.4153
2024-06-01,2025-02-01,2333.6125
2024-06-01,2025-03-01,2823.4065
2024-07-01,2024-08-01,2381.0332
2024-07-01,2024-09-01,2802.151
2024-07-01,2024-10-01,2828.1626
2024-07-01,2024-11-01,2378.7188
2024-07-01,2024-12-01,2546.5955
2024-07-01,2025-01-01,2674.3625
2024-07-01,2025-02-01,2460.4126
2024-07-01,2025-03-01,2703.2278
2024-08-01,2024-09-01,2381.0332
2024-08-01,2024-10-01,2802.151
2024-08-01,2024-11-01,2871.4387
2024-08-01,2024-12-01,2381.43
2024-08-01,2025-01-01,2534.418
2024-08-01,2025-02-01,2783.743
2024-08-01,2025-03-01,2564.5837
2024-09-01,2024-10-01,2381.0332
2024-09-01,2024-11-01,2825.9075
2024-09-01,2024-12-01,2916.6326
2024-09-01,2025-01-01,2370.0334
2024-09-01,2025-02-01,2558.4011
2024-09-01,2025-03-01,3060.6084
2024-10-01,2024-11-01,2404.7898
2024-10-01,2024-12-01,2869.8567
2024-10-01,2025-01-01,2733.9124
2024-10-01,2025-02-01,2494.5703
2024-10-01,2025-03-01,2980.8643
2024-11-01,2024-12-01,2511.5823
2024-11-01,2025-01-01,2904.7834
2024-11-01,2025-02-01,2899.563
2024-11-01,2025-03-01,2763.4324
2024-12-01,2025-01-01,2471.4111
2024-12-01,2025-02-01,2951.128
2024-12-01,2025-03-01,3059.0715
2025-01-01,2025-02-01,2510.1592
2025-01-01,2025-03-01,3374.5657
2025-02-01,2025-03-01,2978.4783
