forecast_date,date,forecast
2024-04-01,2024-05-01,11010.359
2024-04-01,2024-06-01,13520.14
2024-04-01,2024-07-01,10372.103
2024-04-01,2024-08-01,6914.2266
2024-04-01,2024-09-01,7340.6597
2024-04-01,2024-10-01,8497.676
2024-04-01,2024-11-01,7692.741
2024-04-01,2024-12-01,9045.331
2024-04-01,2025-01-01,9412.867
2024-04-01,2025-02-01,8645.358
2024-04-01,2025-03-01,9057.435
2024-05-01,2024-06-01,10394.174
2024-05-01,2024-07-01,13740.699
2024-05-01,2024-08-01,10204.17
2024-05-01,2024-09-01,7167.895
2024-05-01,2024-10-01,7252.893
2024-05-01,2024-11-01,8545.943
2024-05-01,2024-12-01,9244.577
2024-05-01,2025-01-01,8386.491
2024-05-01,2025-02-01,9568.754
2024-05-01,2025-03-01,9698.596
2024-06-01,2024-07-01,10415.514
2024-06-01,2024-08-01,13704.939
2024-06-01,2024-09-01,10208.59
2024-06-01,2024-10-01,6871.8545
2024-06-01,2024-11-01,7102.192
2024-06-01,2024-12-01,9240.086
2024-06-01,2025-01-01,8219.36
2024-06-01,2025-02-01,8119.5615
2024-06-01,2025-03-01,10612.578
2024-07-01,2024-08-01,10681.298
2024-07-01,2024-09-01,13709.359
2024-07-01,2024-10-01,10206.342
2024-07-01,2024-11-01,6851.8965
2024-07-01,2024-12-01,8541.2295
2024-07-01,2025-01-01,8636.566
2024-07-01,2025-02-01,8478.949
2024-07-01,2025-03-01,9174.529
2024-08-01,2024-09-01,10683.208
2024-08-01,2024-10-01,13707.449
2024-08-01,2024-11-01,10171.217
2024-08-01,2024-12-01,8147.256
2024-08-01,2025-01-01,8397.164
2024-08-01,2025-02-01,10075.893
2024-08-01,2025-03-01,9333.48
2024-09-01,2024-10-01,10681.298
2024-09-01,2024-11-01,13673.474
2024-09-01,2024-12-01,10465.956
2024-09-01,2025-01-01,7482.6494
2024-09-01,2025-02-01,9245.074
2024-09-01,2025-03-01,9516.018
2024-10-01,2024-11-01,10681.964
2024-10-01,2024-12-01,13923.365
2024-10-01,2025-01-01,11168.685
2024-10-01,2025-02-01,8228.044
2024-10-01,2025-03-01,9122.814
2024-11-01,2024-12-01,10930.004
2024-11-01,2025-01-01,14859.567
2024-11-01,2025-02-01,12144.805
2024-11-01,2025-03-01,11027.803
2024-12-01,2025-01-01,11803.302
2024-12-01,2025-02-01,15614.402
2024-12-01,2025-03-01,12411.003
2025-01-01,2025-02-01,12558.725
2025-01-01,2025-03-01,12970.034
2025-02-01,2025-03-01,12554.724
