rmse,mae,mape,nrmse,r2,forecast_date,n_periods
5433.053855775598,3975.9030219809138,78.89261718800856,80.68637677507672,-0.175410068629412,2024-04-01,11
5570.834334103999,4044.3739337268066,85.86923558772277,86.45665141776982,-0.16237681454172814,2024-05-01,10
5843.639592347435,4453.900456793672,91.6298149089393,86.6908802662517,-0.1864519733236445,2024-06-01,9
5952.661409930305,4346.701115971703,52.7341425467944,79.89211213354545,-0.2727205020202286,2024-07-01,8
6252.626068536584,4672.7447032367145,51.078962235021166,76.91212413192768,-0.389632149592563,2024-08-01,7
6530.694385146822,5123.729669576049,53.15360426744659,73.64337376124067,-0.47040580030705703,2024-09-01,6
7093.57965942936,6135.727390334644,66.25839646371533,73.84991420897995,-0.5951892174528943,2024-10-01,5
7911.940003057729,7235.3938669762165,68.65566663124693,70.02181563429191,-1.4955133371443021,2024-11-01,4
7392.059161912421,6459.977503236075,60.66923610699935,66.61113025873262,-0.6417568432414933,2024-12-01,3
8958.127231665356,8649.620646059511,56.99669175336025,60.08133622847321,-11.707188596014518,2025-01-01,2
11526.472154485427,11526.472154485427,66.15664440386516,66.15664440386516,,2025-02-01,1
