forecast_date,date,forecast
2024-04-01,2024-05-01,5855.584439727558
2024-04-01,2024-06-01,5277.579800570736
2024-04-01,2024-07-01,5151.625362777669
2024-04-01,2024-08-01,3784.8152132777172
2024-04-01,2024-09-01,3784.8152132777172
2024-04-01,2024-10-01,4350.615762850138
2024-04-01,2024-11-01,4521.6706228810845
2024-04-01,2024-12-01,3751.1237842117525
2024-04-01,2025-01-01,5209.119285924724
2024-04-01,2025-02-01,4979.2067687164035
2024-04-01,2025-03-01,5209.119285924724
2024-05-01,2024-06-01,5351.115401235922
2024-05-01,2024-07-01,5078.089762112482
2024-05-01,2024-08-01,5151.625362777669
2024-05-01,2024-09-01,3784.8152132777172
2024-05-01,2024-10-01,3809.981441389124
2024-05-01,2024-11-01,4350.615762850138
2024-05-01,2024-12-01,4521.6706228810845
2024-05-01,2025-01-01,4438.572447255401
2024-05-01,2025-02-01,5209.119285924724
2024-05-01,2025-03-01,4979.2067687164035
2024-06-01,2024-07-01,5151.625362777669
2024-06-01,2024-08-01,5078.089762112482
2024-06-01,2024-09-01,5151.625362777669
2024-06-01,2024-10-01,3809.981441389124
2024-06-01,2024-11-01,3809.981441389124
2024-06-01,2024-12-01,4350.615762850138
2024-06-01,2025-01-01,5209.119285924724
2024-06-01,2025-02-01,4438.572447255401
2024-06-01,2025-03-01,5209.119285924724
2024-07-01,2024-08-01,5151.625362777669
2024-07-01,2024-09-01,5078.089762112482
2024-07-01,2024-10-01,5176.791590889075
2024-07-01,2024-11-01,3809.981441389124
2024-07-01,2024-12-01,3809.981441389124
2024-07-01,2025-01-01,5054.574839800025
2024-07-01,2025-02-01,5209.119285924724
2024-07-01,2025-03-01,4438.572447255401
2024-08-01,2024-09-01,5151.625362777669
2024-08-01,2024-10-01,5103.255990223889
2024-08-01,2024-11-01,5176.791590889075
2024-08-01,2024-12-01,3809.981441389124
2024-08-01,2025-01-01,4513.940518339023
2024-08-01,2025-02-01,5054.574839800025
2024-08-01,2025-03-01,5209.119285924724
2024-09-01,2024-10-01,5176.791590889075
2024-09-01,2024-11-01,5103.255990223889
2024-09-01,2024-12-01,5176.791590889075
2024-09-01,2025-01-01,4513.940518339023
2024-09-01,2025-02-01,4513.940518339023
2024-09-01,2025-03-01,5054.574839800025
2024-10-01,2024-11-01,5176.791590889075
2024-10-01,2024-12-01,5103.255990223889
2024-10-01,2025-01-01,5880.750667838965
2024-10-01,2025-02-01,4513.940518339023
2024-10-01,2025-03-01,4513.940518339023
2024-11-01,2024-12-01,5176.791590889075
2024-11-01,2025-01-01,5807.215067173778
2024-11-01,2025-02-01,5880.750667838965
2024-11-01,2025-03-01,4513.940518339023
2024-12-01,2025-01-01,5880.750667838965
2024-12-01,2025-02-01,5807.215067173778
2024-12-01,2025-03-01,5880.750667838965
2025-01-01,2025-02-01,5880.750667838965
2025-01-01,2025-03-01,5807.215067173778
2025-02-01,2025-03-01,5880.750667838965
