forecast_date,date,forecast
2024-04-01,2024-05-01,9226.946755585162
2024-04-01,2024-06-01,9094.06137052396
2024-04-01,2024-07-01,8066.7647539554955
2024-04-01,2024-08-01,7270.919985004459
2024-04-01,2024-09-01,7865.581261856687
2024-04-01,2024-10-01,7927.18433884263
2024-04-01,2024-11-01,7085.838963379058
2024-04-01,2024-12-01,7036.26117760659
2024-04-01,2025-01-01,8801.142913761782
2024-04-01,2025-02-01,9597.600422217934
2024-04-01,2025-03-01,9353.188577557497
2024-05-01,2024-06-01,8790.653867413506
2024-05-01,2024-07-01,8504.182095170101
2024-05-01,2024-08-01,8331.29591406272
2024-05-01,2024-09-01,7188.186397395559
2024-05-01,2024-10-01,7947.577057581868
2024-05-01,2024-11-01,7917.030754473615
2024-05-01,2024-12-01,6971.3975242779015
2024-05-01,2025-01-01,8440.103484012932
2024-05-01,2025-02-01,9332.05542186704
2024-05-01,2025-03-01,9261.14945468895
2024-06-01,2024-07-01,8175.014573191798
2024-06-01,2024-08-01,8860.269408801523
2024-06-01,2024-09-01,8257.929151913278
2024-06-01,2024-10-01,7495.637795208793
2024-06-01,2024-11-01,8043.58280527215
2024-06-01,2024-12-01,7315.676002549286
2024-06-01,2025-01-01,8734.792970122135
2024-06-01,2025-02-01,9191.476033940056
2024-06-01,2025-03-01,9295.338620525701
2024-07-01,2024-08-01,8435.7080846678
2024-07-01,2024-09-01,8687.9571857726
2024-07-01,2024-10-01,8339.496743881642
2024-07-01,2024-11-01,7556.39074568234
2024-07-01,2024-12-01,7342.778614239467
2024-07-01,2025-01-01,9398.011624349867
2024-07-01,2025-02-01,9314.839002263849
2024-07-01,2025-03-01,8983.620220556004
2024-08-01,2024-09-01,8274.3769526298
2024-08-01,2024-10-01,8980.626323436136
2024-08-01,2024-11-01,8356.37782627081
2024-08-01,2024-12-01,7159.055985710922
2024-08-01,2025-01-01,9247.524910640415
2024-08-01,2025-02-01,9858.241527796848
2024-08-01,2025-03-01,8880.29308796315
2024-09-01,2024-10-01,8434.89759327754
2024-09-01,2024-11-01,8902.068704252915
2024-09-01,2024-12-01,7328.905080954359
2024-09-01,2025-01-01,8864.179063666565
2024-09-01,2025-02-01,9915.359782859765
2024-09-01,2025-03-01,9311.09183088531
2024-10-01,2024-11-01,8428.254981763315
2024-10-01,2024-12-01,7865.577747957035
2024-10-01,2025-01-01,10233.77430727931
2024-10-01,2025-02-01,9326.250305341826
2024-10-01,2025-03-01,9761.678175000845
2024-11-01,2024-12-01,7489.9562025749965
2024-11-01,2025-01-01,10941.95605843547
2024-11-01,2025-02-01,10657.75857809532
2024-11-01,2025-03-01,9431.236124759229
2024-12-01,2025-01-01,10399.666404180218
2024-12-01,2025-02-01,11017.851170015861
2024-12-01,2025-03-01,9906.003780058498
2025-01-01,2025-02-01,11235.28398656662
2025-01-01,2025-03-01,10316.226239393985
2025-02-01,2025-03-01,10565.030011299144
