rmse,mae,mape,nrmse,r2,forecast_date,n_periods
7839.907427863187,5364.200984257574,68.18856135606676,75.58259205294968,0.00784448652470271,2024-04-01,11
8338.262791790274,5961.884740645943,79.60758468392821,81.32906892748377,-0.022655420650488978,2024-05-01,10
8627.411893501938,6140.905567472264,78.3013642817085,79.4835723996739,-0.034954380505439975,2024-06-01,9
8933.463910422965,6124.9129123244,49.70264482638532,74.72341026879512,-0.14013695770203194,2024-07-01,8
9555.710468953419,6612.752227175058,49.474486597538366,73.63574376938752,-0.2744572491255819,2024-08-01,7
10162.96545215228,7555.405089860743,57.135407720424425,73.24923746551069,-0.32502478860729966,2024-09-01,6
10764.462290166124,8128.19488923686,55.4694650084424,69.66207378896563,-0.4741902495279704,2024-10-01,5
11948.054604399498,8702.523259033747,37.446111135073764,65.1732806283809,-1.5146441401299136,2024-11-01,4
12029.284202966219,7923.159548581808,30.517297464178476,65.50351697837957,-0.9118150028110785,2024-12-01,3
14420.513611307972,11261.244887019697,41.48905732629841,65.43773477019545,-1.8459838456619777,2025-01-01,2
20019.969988700854,20019.969988700854,65.45682520418785,65.45682520418785,,2025-02-01,1
