forecast_date,date,forecast
2024-04-01,2024-05-01,27082.913517274377
2024-04-01,2024-06-01,26463.02074393637
2024-04-01,2024-07-01,23476.89384956734
2024-04-01,2024-08-01,21030.334151988165
2024-04-01,2024-09-01,21184.871093302394
2024-04-01,2024-10-01,21828.163449470525
2024-04-01,2024-11-01,21396.11173679394
2024-04-01,2024-12-01,23843.643790277096
2024-04-01,2025-01-01,27111.8048640798
2024-04-01,2025-02-01,27462.5744205154
2024-04-01,2025-03-01,29837.724624487575
2024-05-01,2024-06-01,26420.87996759418
2024-05-01,2024-07-01,24742.99937848885
2024-05-01,2024-08-01,24259.06763481109
2024-05-01,2024-09-01,20390.09298658165
2024-05-01,2024-10-01,22060.01776012832
2024-05-01,2024-11-01,21802.83392316236
2024-05-01,2024-12-01,23832.360472329037
2024-05-01,2025-01-01,25697.365457898886
2024-05-01,2025-02-01,28812.7795069906
2024-05-01,2025-03-01,28532.65548192768
2024-06-01,2024-07-01,24208.12962028605
2024-06-01,2024-08-01,25181.48117196827
2024-06-01,2024-09-01,23740.8493948991
2024-06-01,2024-10-01,21053.432224183824
2024-06-01,2024-11-01,22055.510740072208
2024-06-01,2024-12-01,23822.58930470476
2024-06-01,2025-01-01,25699.953181664063
2024-06-01,2025-02-01,27234.530011160707
2024-06-01,2025-03-01,29271.60335847344
2024-07-01,2024-08-01,24566.32160850656
2024-07-01,2024-09-01,24080.590625688845
2024-07-01,2024-10-01,23648.824555697815
2024-07-01,2024-11-01,20750.879572525104
2024-07-01,2024-12-01,23841.17643597781
2024-07-01,2025-01-01,25817.995102175708
2024-07-01,2025-02-01,27237.035692495236
2024-07-01,2025-03-01,27350.400508795145
2024-08-01,2024-09-01,23963.18423204681
2024-08-01,2024-10-01,24083.63574996259
2024-08-01,2024-11-01,23363.012224292645
2024-08-01,2024-12-01,22792.18441374569
2024-08-01,2025-01-01,25816.164628385428
2024-08-01,2025-02-01,27602.74425366726
2024-08-01,2025-03-01,27446.31181410329
2024-09-01,2024-10-01,23910.73813580746
2024-09-01,2024-11-01,24355.184205775637
2024-09-01,2024-12-01,23831.15821128112
2024-09-01,2025-01-01,24705.16260528272
2024-09-01,2025-02-01,27620.668557339668
2024-09-01,2025-03-01,28359.139004214034
2024-10-01,2024-11-01,24239.020861866862
2024-10-01,2024-12-01,24588.99199632769
2024-10-01,2025-01-01,29727.743512129455
2024-10-01,2025-02-01,28049.791917986804
2024-10-01,2025-03-01,29715.38308620952
2024-11-01,2024-12-01,24792.97946052706
2024-11-01,2025-01-01,30243.36353576403
2024-11-01,2025-02-01,30456.046281709547
2024-11-01,2025-03-01,30079.463985106464
2024-12-01,2025-01-01,29993.982457578277
2024-12-01,2025-02-01,31508.32182028412
2024-12-01,2025-03-01,29763.285915442983
2025-01-01,2025-02-01,31223.33558046277
2025-01-01,2025-03-01,31586.5876266768
2025-02-01,2025-03-01,31302.954771594505
