forecast_date,date,forecast
2024-04-01,2024-05-01,29577.984351585794
2024-04-01,2024-06-01,29577.984351585794
2024-04-01,2024-07-01,28696.613129820085
2024-04-01,2024-08-01,22620.112503020067
2024-04-01,2024-09-01,28789.467244444284
2024-04-01,2024-10-01,28789.467244444284
2024-04-01,2024-11-01,27719.03333444014
2024-04-01,2024-12-01,27719.03333444014
2024-04-01,2025-01-01,28600.40455620585
2024-04-01,2025-02-01,28600.40455620585
2024-04-01,2025-03-01,28600.40455620585
2024-05-01,2024-06-01,29577.984351585794
2024-05-01,2024-07-01,29577.984351585794
2024-05-01,2024-08-01,28696.613129820085
2024-05-01,2024-09-01,22620.112503020067
2024-05-01,2024-10-01,28789.467244444284
2024-05-01,2024-11-01,28789.467244444284
2024-05-01,2024-12-01,27719.03333444014
2024-05-01,2025-01-01,27719.03333444014
2024-05-01,2025-02-01,28600.40455620585
2024-05-01,2025-03-01,28600.40455620585
2024-06-01,2024-07-01,29577.984351585794
2024-06-01,2024-08-01,29577.984351585794
2024-06-01,2024-09-01,28696.613129820085
2024-06-01,2024-10-01,22620.112503020067
2024-06-01,2024-11-01,28789.467244444284
2024-06-01,2024-12-01,28789.467244444284
2024-06-01,2025-01-01,27719.03333444014
2024-06-01,2025-02-01,27719.03333444014
2024-06-01,2025-03-01,28600.40455620585
2024-07-01,2024-08-01,29577.984351585794
2024-07-01,2024-09-01,29577.984351585794
2024-07-01,2024-10-01,28696.613129820085
2024-07-01,2024-11-01,22620.112503020067
2024-07-01,2024-12-01,28789.467244444284
2024-07-01,2025-01-01,28789.467244444284
2024-07-01,2025-02-01,27719.03333444014
2024-07-01,2025-03-01,27719.03333444014
2024-08-01,2024-09-01,29577.984351585794
2024-08-01,2024-10-01,29577.984351585794
2024-08-01,2024-11-01,28696.613129820085
2024-08-01,2024-12-01,22620.112503020067
2024-08-01,2025-01-01,28789.467244444284
2024-08-01,2025-02-01,28789.467244444284
2024-08-01,2025-03-01,27719.03333444014
2024-09-01,2024-10-01,29577.984351585794
2024-09-01,2024-11-01,29577.984351585794
2024-09-01,2024-12-01,28696.613129820085
2024-09-01,2025-01-01,22620.112503020067
2024-09-01,2025-02-01,28789.467244444284
2024-09-01,2025-03-01,28789.467244444284
2024-10-01,2024-11-01,29577.984351585794
2024-10-01,2024-12-01,29577.984351585794
2024-10-01,2025-01-01,28696.613129820085
2024-10-01,2025-02-01,22620.112503020067
2024-10-01,2025-03-01,28789.467244444284
2024-11-01,2024-12-01,29577.984351585794
2024-11-01,2025-01-01,29577.984351585794
2024-11-01,2025-02-01,28696.613129820085
2024-11-01,2025-03-01,22620.112503020067
2024-12-01,2025-01-01,29577.984351585794
2024-12-01,2025-02-01,29577.984351585794
2024-12-01,2025-03-01,28696.613129820085
2025-01-01,2025-02-01,29577.984351585794
2025-01-01,2025-03-01,29577.984351585794
2025-02-01,2025-03-01,29577.984351585794
