rmse,mae,mape,nrmse,r2,forecast_date,n_periods
25113.268378098117,17953.026087107497,43.35230322761329,64.54947942776879,-0.20176992584600173,2024-04-01,11
25591.89780552135,18903.75280375682,49.36036732308125,68.22122886543994,-0.17807919918977744,2024-05-01,10
26545.245939009048,18890.08576058281,45.705051642575434,67.20844776834221,-0.21835770629209827,2024-06-01,9
27628.022965079716,18813.965559383912,33.95799413623834,64.66779712351595,-0.3704263664487506,2024-07-01,8
30802.684222730233,22249.647543353047,40.81763304095099,67.58637656346065,-0.6602872039731571,2024-08-01,7
31967.409360263733,25848.551430240477,49.30458113709799,66.39382467369211,-0.6472469110289538,2024-09-01,6
35335.326840398135,29713.561424543113,53.04065161654529,66.65885702934233,-1.0717377364219742,2024-10-01,5
40430.81098480956,34096.826415997064,48.92440902866607,65.51212992758579,-3.366176609476285,2024-11-01,4
37294.16643472822,29974.80605566944,43.3292371976024,62.9341811956466,-1.9277567794344184,2024-12-01,3
44868.81568977249,41295.015648414206,55.54065041189804,63.30875748137159,-5.537835086645454,2025-01-01,2
58843.015648414206,58843.015648414206,66.5486882623067,66.5486882623067,,2025-02-01,1
