forecast_date,date,forecast
2024-04-01,2024-04-01,4154.753135805619
2024-04-01,2024-05-01,3825.3545965576195
2024-04-01,2024-06-01,3182.01965442331
2024-04-01,2024-07-01,3118.5460671625174
2024-04-01,2024-08-01,3233.540925483231
2024-04-01,2024-09-01,4172.521074966747
2024-04-01,2024-10-01,3555.6613608072767
2024-04-01,2024-11-01,3934.903955470701
2024-04-01,2024-12-01,5165.523713382081
2024-04-01,2025-01-01,4552.332716346271
2024-04-01,2025-02-01,5452.948076754953
2024-04-01,2025-03-01,6105.539227812284
2024-05-01,2024-05-01,3825.3545965576195
2024-05-01,2024-06-01,3182.01965442331
2024-05-01,2024-07-01,3118.5460671625174
2024-05-01,2024-08-01,3233.540925483231
2024-05-01,2024-09-01,4172.521074966747
2024-05-01,2024-10-01,3555.6613608072767
2024-05-01,2024-11-01,3934.903955470701
2024-05-01,2024-12-01,5165.523713382081
2024-05-01,2025-01-01,4552.332716346271
2024-05-01,2025-02-01,5452.948076754953
2024-06-01,2024-06-01,3182.01965442331
2024-06-01,2024-07-01,3118.5460671625174
2024-06-01,2024-08-01,3233.540925483231
2024-06-01,2024-09-01,4172.521074966747
2024-06-01,2024-10-01,3555.6613608072767
2024-06-01,2024-11-01,3934.903955470701
2024-06-01,2024-12-01,5165.523713382081
2024-06-01,2025-01-01,4552.332716346271
2024-07-01,2024-07-01,3118.5460671625174
2024-07-01,2024-08-01,3233.540925483231
2024-07-01,2024-09-01,4172.521074966747
2024-07-01,2024-10-01,3555.6613608072767
2024-07-01,2024-11-01,3934.903955470701
2024-07-01,2024-12-01,5165.523713382081
2024-08-01,2024-08-01,3233.540925483231
2024-08-01,2024-09-01,4172.521074966747
2024-08-01,2024-10-01,3555.6613608072767
2024-08-01,2024-11-01,3934.903955470701
2024-09-01,2024-09-01,4172.521074966747
2024-09-01,2024-10-01,3555.6613608072767
