forecast_date,date,forecast
2024-04-01,2024-05-01,3283.97
2024-04-01,2024-06-01,3030.2
2024-04-01,2024-07-01,3175.69
2024-04-01,2024-08-01,2597.315
2024-04-01,2024-09-01,2799.69
2024-04-01,2024-10-01,2966.82
2024-04-01,2024-11-01,2617.465
2024-04-01,2024-12-01,2873.995
2024-04-01,2025-01-01,3001.065
2024-04-01,2025-02-01,2999.82
2024-04-01,2025-03-01,3189.06
2024-05-01,2024-06-01,3262.855
2024-05-01,2024-07-01,3140.02
2024-05-01,2024-08-01,3201.435
2024-05-01,2024-09-01,2682.785
2024-05-01,2024-10-01,2989.945
2024-05-01,2024-11-01,2964.7
2024-05-01,2024-12-01,2765.165
2024-05-01,2025-01-01,2968.44
2024-05-01,2025-02-01,3029.48
2024-05-01,2025-03-01,3154.535
2024-06-01,2024-07-01,3319.04
2024-06-01,2024-08-01,3082.74
2024-06-01,2024-09-01,3270.035
2024-06-01,2024-10-01,2896.845
2024-06-01,2024-11-01,2968.155
2024-06-01,2024-12-01,3142.985
2024-06-01,2025-01-01,3005.895
2024-06-01,2025-02-01,3063.22
2024-06-01,2025-03-01,3278.195
2024-07-01,2024-08-01,3312.365
2024-07-01,2024-09-01,3200.275
2024-07-01,2024-10-01,3475.545
2024-07-01,2024-11-01,3112.895
2024-07-01,2024-12-01,3150.61
2024-07-01,2025-01-01,3559.515
2024-07-01,2025-02-01,3619.455
2024-07-01,2025-03-01,3807.715
2024-08-01,2024-09-01,3404.675
2024-08-01,2024-10-01,3335.945
2024-08-01,2024-11-01,3486.015
2024-08-01,2024-12-01,3193.26
2024-08-01,2025-01-01,3578.325
2024-08-01,2025-02-01,3775.275
2024-08-01,2025-03-01,3858.67
2024-09-01,2024-10-01,3539.925
2024-09-01,2024-11-01,3302.34
2024-09-01,2024-12-01,3541.305
2024-09-01,2025-01-01,3543.92
2024-09-01,2025-02-01,3677.285
2024-09-01,2025-03-01,3980.41
2024-10-01,2024-11-01,3541.13
2024-10-01,2024-12-01,3378.57
2024-10-01,2025-01-01,3928.525
2024-10-01,2025-02-01,3768.355
2024-10-01,2025-03-01,4011.13
2024-11-01,2024-12-01,3617.36
2024-11-01,2025-01-01,3842.72
2024-11-01,2025-02-01,3824.39
2024-11-01,2025-03-01,3923.615
2024-12-01,2025-01-01,3993.035
2024-12-01,2025-02-01,3839.97
2024-12-01,2025-03-01,3982.57
2025-01-01,2025-02-01,4025.945
2025-01-01,2025-03-01,4032.22
2025-02-01,2025-03-01,4213.485
