forecast_date,date,forecast
2024-04-01,2024-04-01,5797.9809810230545
2024-04-01,2024-05-01,5333.877768052323
2024-04-01,2024-06-01,5581.687324257828
2024-04-01,2024-07-01,6075.326938618464
2024-04-01,2024-08-01,7114.033457367569
2024-04-01,2024-09-01,7330.2726545977275
2024-04-01,2024-10-01,7023.417038908452
2024-04-01,2024-11-01,7902.178568611689
2024-04-01,2024-12-01,10065.693725800207
2024-04-01,2025-01-01,8704.104931266837
2024-04-01,2025-02-01,10389.151101030577
2024-04-01,2025-03-01,12527.242257233449
2024-05-01,2024-05-01,5333.877768052323
2024-05-01,2024-06-01,5581.687324257828
2024-05-01,2024-07-01,6075.326938618464
2024-05-01,2024-08-01,7114.033457367569
2024-05-01,2024-09-01,7330.2726545977275
2024-05-01,2024-10-01,7023.417038908452
2024-05-01,2024-11-01,7902.178568611689
2024-05-01,2024-12-01,10065.693725800207
2024-05-01,2025-01-01,8704.104931266837
2024-05-01,2025-02-01,10389.151101030577
2024-06-01,2024-06-01,5581.687324257828
2024-06-01,2024-07-01,6075.326938618464
2024-06-01,2024-08-01,7114.033457367569
2024-06-01,2024-09-01,7330.2726545977275
2024-06-01,2024-10-01,7023.417038908452
2024-06-01,2024-11-01,7902.178568611689
2024-06-01,2024-12-01,10065.693725800207
2024-06-01,2025-01-01,8704.104931266837
2024-07-01,2024-07-01,6075.326938618464
2024-07-01,2024-08-01,7114.033457367569
2024-07-01,2024-09-01,7330.2726545977275
2024-07-01,2024-10-01,7023.417038908452
2024-07-01,2024-11-01,7902.178568611689
2024-07-01,2024-12-01,10065.693725800207
2024-08-01,2024-08-01,7114.033457367569
2024-08-01,2024-09-01,7330.2726545977275
2024-08-01,2024-10-01,7023.417038908452
2024-08-01,2024-11-01,7902.178568611689
2024-09-01,2024-09-01,7330.2726545977275
2024-09-01,2024-10-01,7023.417038908452
