forecast_date,date,forecast
2024-04-01,2024-05-01,2475.5000000000105
2024-04-01,2024-06-01,5496.000000000009
2024-04-01,2024-07-01,10898.500000000004
2024-04-01,2024-08-01,2475.500000000029
2024-04-01,2024-09-01,5496.0000000000355
2024-04-01,2024-10-01,10898.500000000022
2024-04-01,2024-11-01,2475.5000000000546
2024-04-01,2024-12-01,5496.00000000006
2024-04-01,2025-01-01,10898.500000000044
2024-04-01,2025-02-01,2475.5000000000828
2024-04-01,2025-03-01,5496.000000000089
2024-05-01,2024-06-01,2475.500000000011
2024-05-01,2024-07-01,5496.000000000009
2024-05-01,2024-08-01,10898.500000000004
2024-05-01,2024-09-01,2475.5000000000296
2024-05-01,2024-10-01,5496.000000000034
2024-05-01,2024-11-01,10898.500000000018
2024-05-01,2024-12-01,2475.500000000052
2024-05-01,2025-01-01,5496.000000000053
2024-05-01,2025-02-01,10898.500000000036
2024-05-01,2025-03-01,2475.5000000000773
2024-06-01,2024-07-01,2475.500000000011
2024-06-01,2024-08-01,5496.00000000001
2024-06-01,2024-09-01,10898.500000000004
2024-06-01,2024-10-01,2475.500000000032
2024-06-01,2024-11-01,5496.000000000036
2024-06-01,2024-12-01,10898.500000000018
2024-06-01,2025-01-01,2475.5000000000555
2024-06-01,2025-02-01,5496.000000000058
2024-06-01,2025-03-01,10898.500000000036
2024-07-01,2024-08-01,2475.5000000000114
2024-07-01,2024-09-01,5496.00000000001
2024-07-01,2024-10-01,10898.500000000004
2024-07-01,2024-11-01,2475.5000000000323
2024-07-01,2024-12-01,5496.000000000036
2024-07-01,2025-01-01,10898.500000000018
2024-07-01,2025-02-01,2475.500000000056
2024-07-01,2025-03-01,5496.000000000059
2024-08-01,2024-09-01,2475.5000000000114
2024-08-01,2024-10-01,5496.000000000011
2024-08-01,2024-11-01,10898.500000000004
2024-08-01,2024-12-01,2475.5000000000314
2024-08-01,2025-01-01,5496.000000000033
2024-08-01,2025-02-01,10898.500000000015
2024-08-01,2025-03-01,2475.5000000000546
2024-09-01,2024-10-01,2475.500000000012
2024-09-01,2024-11-01,5496.000000000009
2024-09-01,2024-12-01,10898.500000000004
2024-09-01,2025-01-01,2475.5000000000314
2024-09-01,2025-02-01,5496.000000000033
2024-09-01,2025-03-01,10898.500000000015
2024-10-01,2024-11-01,2475.500000000012
2024-10-01,2024-12-01,5496.000000000009
2024-10-01,2025-01-01,10898.500000000004
2024-10-01,2025-02-01,2475.500000000032
2024-10-01,2025-03-01,5496.000000000035
2024-11-01,2024-12-01,2475.5000000000123
2024-11-01,2025-01-01,5496.0000000000055
2024-11-01,2025-02-01,10898.500000000004
2024-11-01,2025-03-01,2475.500000000032
2024-12-01,2025-01-01,2475.50000000001
2024-12-01,2025-02-01,5496.000000000008
2024-12-01,2025-03-01,10898.500000000004
2025-01-01,2025-02-01,2475.50000000001
2025-01-01,2025-03-01,5496.000000000009
2025-02-01,2025-03-01,2475.5000000000105
