forecast_date,date,forecast
2024-04-01,2024-04-01,20513.700454279144
2024-04-01,2024-05-01,13370.592621589381
2024-04-01,2024-06-01,10665.097244037832
2024-04-01,2024-07-01,9476.49010364739
2024-04-01,2024-08-01,10334.482346351353
2024-04-01,2024-09-01,11887.898031876322
2024-04-01,2024-10-01,10687.045696652536
2024-04-01,2024-11-01,10100.808435955805
2024-04-01,2024-12-01,18002.306122073314
2024-04-01,2025-01-01,12033.12225548959
2024-04-01,2025-02-01,16723.262177513767
2024-04-01,2025-03-01,16513.352324885098
2024-05-01,2024-05-01,13370.592621589381
2024-05-01,2024-06-01,10665.097244037832
2024-05-01,2024-07-01,9476.49010364739
2024-05-01,2024-08-01,10334.482346351353
2024-05-01,2024-09-01,11887.898031876322
2024-05-01,2024-10-01,10687.045696652536
2024-05-01,2024-11-01,10100.808435955805
2024-05-01,2024-12-01,18002.306122073314
2024-05-01,2025-01-01,12033.12225548959
2024-05-01,2025-02-01,16723.262177513767
2024-06-01,2024-06-01,10665.097244037832
2024-06-01,2024-07-01,9476.49010364739
2024-06-01,2024-08-01,10334.482346351353
2024-06-01,2024-09-01,11887.898031876322
2024-06-01,2024-10-01,10687.045696652536
2024-06-01,2024-11-01,10100.808435955805
2024-06-01,2024-12-01,18002.306122073314
2024-06-01,2025-01-01,12033.12225548959
2024-07-01,2024-07-01,9476.49010364739
2024-07-01,2024-08-01,10334.482346351353
2024-07-01,2024-09-01,11887.898031876322
2024-07-01,2024-10-01,10687.045696652536
2024-07-01,2024-11-01,10100.808435955805
2024-07-01,2024-12-01,18002.306122073314
2024-08-01,2024-08-01,10334.482346351353
2024-08-01,2024-09-01,11887.898031876322
2024-08-01,2024-10-01,10687.045696652536
2024-08-01,2024-11-01,10100.808435955805
2024-09-01,2024-09-01,11887.898031876322
2024-09-01,2024-10-01,10687.045696652536
