forecast_date,date,forecast
2024-04-01,2024-04-01,13769.83424067714
2024-04-01,2024-05-01,12963.695103114063
2024-04-01,2024-06-01,12887.426378642633
2024-04-01,2024-07-01,12880.210604018313
2024-04-01,2024-08-01,12879.527920470242
2024-04-01,2024-09-01,12879.46333186388
2024-04-01,2024-10-01,12879.457221143792
2024-04-01,2024-11-01,12879.456643009316
2024-04-01,2024-12-01,12879.456588312085
2024-04-01,2025-01-01,12879.456583137187
2024-04-01,2025-02-01,12879.45658264759
2024-04-01,2025-03-01,12879.45658260127
2024-05-01,2024-05-01,12963.695103114063
2024-05-01,2024-06-01,12887.426378642633
2024-05-01,2024-07-01,12880.210604018313
2024-05-01,2024-08-01,12879.527920470242
2024-05-01,2024-09-01,12879.46333186388
2024-05-01,2024-10-01,12879.457221143792
2024-05-01,2024-11-01,12879.456643009316
2024-05-01,2024-12-01,12879.456588312085
2024-05-01,2025-01-01,12879.456583137187
2024-05-01,2025-02-01,12879.45658264759
2024-06-01,2024-06-01,12887.426378642633
2024-06-01,2024-07-01,12880.210604018313
2024-06-01,2024-08-01,12879.527920470242
2024-06-01,2024-09-01,12879.46333186388
2024-06-01,2024-10-01,12879.457221143792
2024-06-01,2024-11-01,12879.456643009316
2024-06-01,2024-12-01,12879.456588312085
2024-06-01,2025-01-01,12879.456583137187
2024-07-01,2024-07-01,12880.210604018313
2024-07-01,2024-08-01,12879.527920470242
2024-07-01,2024-09-01,12879.46333186388
2024-07-01,2024-10-01,12879.457221143792
2024-07-01,2024-11-01,12879.456643009316
2024-07-01,2024-12-01,12879.456588312085
2024-08-01,2024-08-01,12879.527920470242
2024-08-01,2024-09-01,12879.46333186388
2024-08-01,2024-10-01,12879.457221143792
2024-08-01,2024-11-01,12879.456643009316
2024-09-01,2024-09-01,12879.46333186388
2024-09-01,2024-10-01,12879.457221143792
