forecast_date,date,forecast
2024-04-01,2024-04-01,12536.41632692177
2024-04-01,2024-05-01,9174.548709886833
2024-04-01,2024-06-01,7989.946164245281
2024-04-01,2024-07-01,7093.570852835754
2024-04-01,2024-08-01,8060.563638809708
2024-04-01,2024-09-01,8867.820680868801
2024-04-01,2024-10-01,9253.28566623761
2024-04-01,2024-11-01,9441.863618585918
2024-04-01,2024-12-01,18639.460136143523
2024-04-01,2025-01-01,13387.256666999081
2024-04-01,2025-02-01,18863.11101658097
2024-04-01,2025-03-01,15801.803651449074
2024-05-01,2024-05-01,9174.548709886833
2024-05-01,2024-06-01,7989.946164245281
2024-05-01,2024-07-01,7093.570852835754
2024-05-01,2024-08-01,8060.563638809708
2024-05-01,2024-09-01,8867.820680868801
2024-05-01,2024-10-01,9253.28566623761
2024-05-01,2024-11-01,9441.863618585918
2024-05-01,2024-12-01,18639.460136143523
2024-05-01,2025-01-01,13387.256666999081
2024-05-01,2025-02-01,18863.11101658097
2024-06-01,2024-06-01,7989.946164245281
2024-06-01,2024-07-01,7093.570852835754
2024-06-01,2024-08-01,8060.563638809708
2024-06-01,2024-09-01,8867.820680868801
2024-06-01,2024-10-01,9253.28566623761
2024-06-01,2024-11-01,9441.863618585918
2024-06-01,2024-12-01,18639.460136143523
2024-06-01,2025-01-01,13387.256666999081
2024-07-01,2024-07-01,7093.570852835754
2024-07-01,2024-08-01,8060.563638809708
2024-07-01,2024-09-01,8867.820680868801
2024-07-01,2024-10-01,9253.28566623761
2024-07-01,2024-11-01,9441.863618585918
2024-07-01,2024-12-01,18639.460136143523
2024-08-01,2024-08-01,8060.563638809708
2024-08-01,2024-09-01,8867.820680868801
2024-08-01,2024-10-01,9253.28566623761
2024-08-01,2024-11-01,9441.863618585918
2024-09-01,2024-09-01,8867.820680868801
2024-09-01,2024-10-01,9253.28566623761
