forecast_date,date,forecast
2024-04-01,2024-04-01,16172.279410951687
2024-04-01,2024-05-01,17373.86144957164
2024-04-01,2024-06-01,17148.697736707487
2024-04-01,2024-07-01,17190.891025189892
2024-04-01,2024-08-01,17182.984451034074
2024-04-01,2024-09-01,17184.466059060607
2024-04-01,2024-10-01,17184.18842145157
2024-04-01,2024-11-01,17184.240447790908
2024-04-01,2024-12-01,17184.23069860745
2024-04-01,2025-01-01,17184.23252550089
2024-04-01,2025-02-01,17184.232183160464
2024-04-01,2025-03-01,17184.232247311425
2024-05-01,2024-05-01,17373.86144957164
2024-05-01,2024-06-01,17148.697736707487
2024-05-01,2024-07-01,17190.891025189892
2024-05-01,2024-08-01,17182.984451034074
2024-05-01,2024-09-01,17184.466059060607
2024-05-01,2024-10-01,17184.18842145157
2024-05-01,2024-11-01,17184.240447790908
2024-05-01,2024-12-01,17184.23069860745
2024-05-01,2025-01-01,17184.23252550089
2024-05-01,2025-02-01,17184.232183160464
2024-06-01,2024-06-01,17148.697736707487
2024-06-01,2024-07-01,17190.891025189892
2024-06-01,2024-08-01,17182.984451034074
2024-06-01,2024-09-01,17184.466059060607
2024-06-01,2024-10-01,17184.18842145157
2024-06-01,2024-11-01,17184.240447790908
2024-06-01,2024-12-01,17184.23069860745
2024-06-01,2025-01-01,17184.23252550089
2024-07-01,2024-07-01,17190.891025189892
2024-07-01,2024-08-01,17182.984451034074
2024-07-01,2024-09-01,17184.466059060607
2024-07-01,2024-10-01,17184.18842145157
2024-07-01,2024-11-01,17184.240447790908
2024-07-01,2024-12-01,17184.23069860745
2024-08-01,2024-08-01,17182.984451034074
2024-08-01,2024-09-01,17184.466059060607
2024-08-01,2024-10-01,17184.18842145157
2024-08-01,2024-11-01,17184.240447790908
2024-09-01,2024-09-01,17184.466059060607
2024-09-01,2024-10-01,17184.18842145157
