forecast_date,date,forecast
2024-04-01,2024-04-01,51044.3788832825
2024-04-01,2024-05-01,37605.1025754847
2024-04-01,2024-06-01,32941.96215574254
2024-04-01,2024-07-01,29759.269258341457
2024-04-01,2024-08-01,33530.34854824904
2024-04-01,2024-09-01,37642.57187234763
2024-04-01,2024-10-01,36322.46758895249
2024-04-01,2024-11-01,36588.25780497632
2024-04-01,2024-12-01,58995.59731241301
2024-04-01,2025-01-01,45216.28431387641
2024-04-01,2025-02-01,60002.55100461439
2024-04-01,2025-03-01,58280.445212186765
2024-05-01,2024-05-01,37605.1025754847
2024-05-01,2024-06-01,32941.96215574254
2024-05-01,2024-07-01,29759.269258341457
2024-05-01,2024-08-01,33530.34854824904
2024-05-01,2024-09-01,37642.57187234763
2024-05-01,2024-10-01,36322.46758895249
2024-05-01,2024-11-01,36588.25780497632
2024-05-01,2024-12-01,58995.59731241301
2024-05-01,2025-01-01,45216.28431387641
2024-05-01,2025-02-01,60002.55100461439
2024-06-01,2024-06-01,32941.96215574254
2024-06-01,2024-07-01,29759.269258341457
2024-06-01,2024-08-01,33530.34854824904
2024-06-01,2024-09-01,37642.57187234763
2024-06-01,2024-10-01,36322.46758895249
2024-06-01,2024-11-01,36588.25780497632
2024-06-01,2024-12-01,58995.59731241301
2024-06-01,2025-01-01,45216.28431387641
2024-07-01,2024-07-01,29759.269258341457
2024-07-01,2024-08-01,33530.34854824904
2024-07-01,2024-09-01,37642.57187234763
2024-07-01,2024-10-01,36322.46758895249
2024-07-01,2024-11-01,36588.25780497632
2024-07-01,2024-12-01,58995.59731241301
2024-08-01,2024-08-01,33530.34854824904
2024-08-01,2024-09-01,37642.57187234763
2024-08-01,2024-10-01,36322.46758895249
2024-08-01,2024-11-01,36588.25780497632
2024-09-01,2024-09-01,37642.57187234763
2024-09-01,2024-10-01,36322.46758895249
