forecast_date,date,forecast
2024-04-01,2024-05-01,1171.4202101115463
2024-04-01,2024-06-01,3701.937252395251
2024-04-01,2024-07-01,2370.6571734541326
2024-04-01,2024-08-01,2680.363961875498
2024-04-01,2024-09-01,3619.0156053275027
2024-04-01,2024-10-01,2825.994504150763
2024-04-01,2024-11-01,3360.7244808481137
2024-04-01,2024-12-01,6981.107515907473
2024-04-01,2025-01-01,2903.639977771391
2024-04-01,2025-02-01,3988.9733355107237
2024-05-01,2024-06-01,3701.937252395251
2024-05-01,2024-07-01,2370.6571734541326
2024-05-01,2024-08-01,2680.363961875498
2024-05-01,2024-09-01,3619.0156053275027
2024-05-01,2024-10-01,2825.994504150763
2024-05-01,2024-11-01,3360.7244808481137
2024-05-01,2024-12-01,6981.107515907473
2024-05-01,2025-01-01,2903.639977771391
2024-06-01,2024-07-01,2370.6571734541326
2024-06-01,2024-08-01,2680.363961875498
2024-06-01,2024-09-01,3619.0156053275027
2024-06-01,2024-10-01,2825.994504150763
2024-06-01,2024-11-01,3360.7244808481137
2024-06-01,2024-12-01,6981.107515907473
2024-07-01,2024-08-01,2680.363961875498
2024-07-01,2024-09-01,3619.0156053275027
2024-07-01,2024-10-01,2825.994504150763
2024-07-01,2024-11-01,3360.7244808481137
2024-08-01,2024-09-01,3619.0156053275027
2024-08-01,2024-10-01,2825.994504150763
