forecast_date,date,forecast
2024-04-01,2024-05-01,6401.000000000139
2024-04-01,2024-06-01,12873.500000000095
2024-04-01,2024-07-01,22584.50000000005
2024-04-01,2024-08-01,6401.000000000366
2024-04-01,2024-09-01,12873.500000000218
2024-04-01,2024-10-01,22584.500000000113
2024-04-01,2024-11-01,6401.0000000005675
2024-04-01,2024-12-01,12873.500000000366
2024-04-01,2025-01-01,22584.500000000226
2024-04-01,2025-02-01,6401.000000000744
2024-04-01,2025-03-01,12873.500000000486
2024-05-01,2024-06-01,6401.000000000146
2024-05-01,2024-07-01,12873.500000000113
2024-05-01,2024-08-01,22584.50000000007
2024-05-01,2024-09-01,6401.0000000003965
2024-05-01,2024-10-01,12873.500000000193
2024-05-01,2024-11-01,22584.50000000014
2024-05-01,2024-12-01,6401.000000000609
2024-05-01,2025-01-01,12873.500000000295
2024-05-01,2025-02-01,22584.50000000024
2024-05-01,2025-03-01,6401.000000000788
2024-06-01,2024-07-01,6401.000000000161
2024-06-01,2024-08-01,12873.500000000135
2024-06-01,2024-09-01,22584.50000000009
2024-06-01,2024-10-01,6401.000000000366
2024-06-01,2024-11-01,12873.500000000215
2024-06-01,2024-12-01,22584.500000000175
2024-06-01,2025-01-01,6401.000000000541
2024-06-01,2025-02-01,12873.500000000306
2024-06-01,2025-03-01,22584.500000000273
2024-07-01,2024-08-01,6401.000000000187
2024-07-01,2024-09-01,12873.500000000167
2024-07-01,2024-10-01,22584.500000000047
2024-07-01,2024-11-01,6401.000000000406
2024-07-01,2024-12-01,12873.500000000271
2024-07-01,2025-01-01,22584.500000000076
2024-07-01,2025-02-01,6401.000000000561
2024-07-01,2025-03-01,12873.500000000355
2024-08-01,2024-09-01,6401.000000000213
2024-08-01,2024-10-01,12873.50000000011
2024-08-01,2024-11-01,22584.500000000062
2024-08-01,2024-12-01,6401.000000000425
2024-08-01,2025-01-01,12873.500000000153
2024-08-01,2025-02-01,22584.500000000084
2024-08-01,2025-03-01,6401.000000000577
2024-09-01,2024-10-01,6401.00000000016
2024-09-01,2024-11-01,12873.500000000124
2024-09-01,2024-12-01,22584.50000000006
2024-09-01,2025-01-01,6401.00000000034
2024-09-01,2025-02-01,12873.500000000153
2024-09-01,2025-03-01,22584.50000000008
2024-10-01,2024-11-01,6401.000000000171
2024-10-01,2024-12-01,12873.500000000127
2024-10-01,2025-01-01,22584.500000000022
2024-10-01,2025-02-01,6401.0000000003365
2024-10-01,2025-03-01,12873.500000000155
2024-11-01,2024-12-01,6401.000000000177
2024-11-01,2025-01-01,12873.500000000075
2024-11-01,2025-02-01,22584.500000000007
2024-11-01,2025-03-01,6401.000000000335
2024-12-01,2025-01-01,6401.000000000134
2024-12-01,2025-02-01,12873.50000000006
2024-12-01,2025-03-01,22584.5
2025-01-01,2025-02-01,6401.0000000001155
2025-01-01,2025-03-01,12873.500000000065
2025-02-01,2025-03-01,6401.000000000116
