rmse,mae,mape,nrmse,r2,forecast_date,n_periods
25611.364676487632,17853.6462498017,38.57092845577268,65.82975311743246,-0.24991447057452443,2024-04-01,11
25888.448322799497,17553.573972686936,39.57290928140796,69.01175408803724,-0.2055397754317978,2024-05-01,10
27340.172673629215,18970.938893765346,40.82750866383657,69.22107903369687,-0.2924204287436236,2024-06-01,9
28910.652939250063,19362.94329577144,32.792440955714056,67.66999728307952,-0.5006240049901698,2024-07-01,8
30858.186839424467,21923.998880330644,37.159275588660904,67.70815883168862,-0.6662758577741863,2024-08-01,7
33041.59290481031,25038.009122699877,42.305502248278714,68.62482040813666,-0.759809950794051,2024-09-01,6
35106.38800596801,28341.93281712417,46.75739674817577,66.22697193311352,-1.0449789792414075,2024-10-01,5
38644.994987426166,32864.30461909303,47.19096285078056,62.61848008980988,-2.988989597923325,2024-11-01,4
36247.83294043923,28885.419901887293,41.531854177194944,61.168485699116125,-1.7657777670794985,2024-12-01,3
43181.71542220998,39682.41834968667,53.3100998195714,60.9283019234546,-5.055423619357347,2025-01-01,2
57498.139896947105,57498.139896947105,65.02769692374787,65.02769692374787,,2025-02-01,1
