forecast_date,date,forecast
2024-04-01,2024-05-01,31212.355
2024-04-01,2024-06-01,32655.69
2024-04-01,2024-07-01,28594.33
2024-04-01,2024-08-01,28443.22
2024-04-01,2024-09-01,29373.855
2024-04-01,2024-10-01,29825.2
2024-04-01,2024-11-01,28924.195
2024-04-01,2024-12-01,32182.265
2024-04-01,2025-01-01,30697.36
2024-04-01,2025-02-01,32056.595
2024-04-01,2025-03-01,32554.66
2024-05-01,2024-06-01,30950.155
2024-05-01,2024-07-01,30152.48
2024-05-01,2024-08-01,29487.09
2024-05-01,2024-09-01,29305.27
2024-05-01,2024-10-01,29781.37
2024-05-01,2024-11-01,29776.815
2024-05-01,2024-12-01,32234.02
2024-05-01,2025-01-01,30195.16
2024-05-01,2025-02-01,32204.525
2024-05-01,2025-03-01,32403.12
2024-06-01,2024-07-01,28910.32
2024-06-01,2024-08-01,30985.44
2024-06-01,2024-09-01,30252.07
2024-06-01,2024-10-01,29460.905
2024-06-01,2024-11-01,29776.815
2024-06-01,2024-12-01,33083.215
2024-06-01,2025-01-01,30195.16
2024-06-01,2025-02-01,31708.77
2024-06-01,2025-03-01,32664.12
2024-07-01,2024-08-01,29720.65
2024-07-01,2024-09-01,31506.49
2024-07-01,2024-10-01,30728.04
2024-07-01,2024-11-01,29538.86
2024-07-01,2024-12-01,33011.085
2024-07-01,2025-01-01,30733.94
2024-07-01,2025-02-01,31708.77
2024-07-01,2025-03-01,31778.49
2024-08-01,2024-09-01,30139.015
2024-08-01,2024-10-01,32105.08
2024-08-01,2024-11-01,30863.8
2024-08-01,2024-12-01,33088.94
2024-08-01,2025-01-01,30746.015
2024-08-01,2025-02-01,32636.545
2024-08-01,2025-03-01,31945.835
2024-09-01,2024-10-01,30780.49
2024-09-01,2024-11-01,32192.96
2024-09-01,2024-12-01,34234.66
2024-09-01,2025-01-01,30595.035
2024-09-01,2025-02-01,32601.37
2024-09-01,2025-03-01,32803.745
2024-10-01,2024-11-01,30916.25
2024-10-01,2024-12-01,36087.66
2024-10-01,2025-01-01,31393.06
2024-10-01,2025-02-01,32627.785
2024-10-01,2025-03-01,33123.615
2024-11-01,2024-12-01,34257.185
2024-11-01,2025-01-01,32436.27
2024-11-01,2025-02-01,34278.22
2024-11-01,2025-03-01,32834.61
2024-12-01,2025-01-01,30508.485
2024-12-01,2025-02-01,35006.735
2024-12-01,2025-03-01,34033.095
2025-01-01,2025-02-01,33313.13
2025-01-01,2025-03-01,35128.835
2025-02-01,2025-03-01,33548.3
