forecast_date,date,forecast
2024-04-01,2024-05-01,4349.000000000007
2024-04-01,2024-06-01,4038.0000000000045
2024-04-01,2024-07-01,7524.500000000002
2024-04-01,2024-08-01,4349.000000000016
2024-04-01,2024-09-01,4038.0000000000123
2024-04-01,2024-10-01,7524.500000000004
2024-04-01,2024-11-01,4349.000000000022
2024-04-01,2024-12-01,4038.0000000000164
2024-04-01,2025-01-01,7524.500000000005
2024-04-01,2025-02-01,4349.000000000029
2024-04-01,2025-03-01,4038.0000000000205
2024-05-01,2024-06-01,4349.000000000007
2024-05-01,2024-07-01,4038.000000000005
2024-05-01,2024-08-01,7524.500000000005
2024-05-01,2024-09-01,4349.000000000019
2024-05-01,2024-10-01,4038.000000000008
2024-05-01,2024-11-01,7524.5000000000055
2024-05-01,2024-12-01,4349.0000000000255
2024-05-01,2025-01-01,4038.000000000012
2024-05-01,2025-02-01,7524.5000000000055
2024-05-01,2025-03-01,4349.000000000031
2024-06-01,2024-07-01,4349.000000000007
2024-06-01,2024-08-01,4038.0000000000055
2024-06-01,2024-09-01,7524.5000000000055
2024-06-01,2024-10-01,4349.000000000015
2024-06-01,2024-11-01,4038.0000000000105
2024-06-01,2024-12-01,7524.500000000007
2024-06-01,2025-01-01,4349.00000000002
2024-06-01,2025-02-01,4038.000000000014
2024-06-01,2025-03-01,7524.500000000007
2024-07-01,2024-08-01,4349.000000000009
2024-07-01,2024-09-01,4038.0000000000073
2024-07-01,2024-10-01,7524.5
2024-07-01,2024-11-01,4349.000000000015
2024-07-01,2024-12-01,4038.0000000000105
2024-07-01,2025-01-01,7524.500000000001
2024-07-01,2025-02-01,4349.000000000022
2024-07-01,2025-03-01,4038.000000000012
2024-08-01,2024-09-01,4349.000000000009
2024-08-01,2024-10-01,4038.000000000003
2024-08-01,2024-11-01,7524.500000000002
2024-08-01,2024-12-01,4349.000000000016
2024-08-01,2025-01-01,4038.0000000000055
2024-08-01,2025-02-01,7524.500000000002
2024-08-01,2025-03-01,4349.000000000021
2024-09-01,2024-10-01,4349.0000000000055
2024-09-01,2024-11-01,4038.000000000002
2024-09-01,2024-12-01,7524.500000000002
2024-09-01,2025-01-01,4349.000000000013
2024-09-01,2025-02-01,4038.000000000004
2024-09-01,2025-03-01,7524.500000000001
2024-10-01,2024-11-01,4349.0000000000055
2024-10-01,2024-12-01,4038.000000000002
2024-10-01,2025-01-01,7524.500000000001
2024-10-01,2025-02-01,4349.000000000011
2024-10-01,2025-03-01,4038.0000000000055
2024-11-01,2024-12-01,4349.000000000006
2024-11-01,2025-01-01,4038.000000000003
2024-11-01,2025-02-01,7524.500000000001
2024-11-01,2025-03-01,4349.000000000011
2024-12-01,2025-01-01,4349.0000000000055
2024-12-01,2025-02-01,4038.000000000002
2024-12-01,2025-03-01,7524.5
2025-01-01,2025-02-01,4349.0000000000055
2025-01-01,2025-03-01,4038.0000000000005
2025-02-01,2025-03-01,4349.000000000004
