forecast_date,date,forecast
2024-04-01,2024-05-01,6522.1036255048875
2024-04-01,2024-06-01,6458.727224938501
2024-04-01,2024-07-01,6472.78490703691
2024-04-01,2024-08-01,6469.666736484247
2024-04-01,2024-09-01,6470.358385898954
2024-04-01,2024-10-01,6470.204969366797
2024-04-01,2024-11-01,6470.238999081618
2024-04-01,2024-12-01,6470.231450863218
2024-04-01,2025-01-01,6470.233125152918
2024-04-01,2025-02-01,6470.232753774421
2024-05-01,2024-06-01,6458.727224938501
2024-05-01,2024-07-01,6472.78490703691
2024-05-01,2024-08-01,6469.666736484247
2024-05-01,2024-09-01,6470.358385898954
2024-05-01,2024-10-01,6470.204969366797
2024-05-01,2024-11-01,6470.238999081618
2024-05-01,2024-12-01,6470.231450863218
2024-05-01,2025-01-01,6470.233125152918
2024-06-01,2024-07-01,6472.78490703691
2024-06-01,2024-08-01,6469.666736484247
2024-06-01,2024-09-01,6470.358385898954
2024-06-01,2024-10-01,6470.204969366797
2024-06-01,2024-11-01,6470.238999081618
2024-06-01,2024-12-01,6470.231450863218
2024-07-01,2024-08-01,6469.666736484247
2024-07-01,2024-09-01,6470.358385898954
2024-07-01,2024-10-01,6470.204969366797
2024-07-01,2024-11-01,6470.238999081618
2024-08-01,2024-09-01,6470.358385898954
2024-08-01,2024-10-01,6470.204969366797
