forecast_date,date,forecast
2024-04-01,2024-05-01,1686.2693906771008
2024-04-01,2024-06-01,1838.4953369478199
2024-04-01,2024-07-01,1824.6263194182243
2024-04-01,2024-08-01,1694.7553299537963
2024-04-01,2024-09-01,1759.2311112668153
2024-04-01,2024-10-01,1820.0242503546233
2024-04-01,2024-11-01,1626.7732132668327
2024-04-01,2024-12-01,2001.120326852163
2024-04-01,2025-01-01,1910.8571918579428
2024-04-01,2025-02-01,1898.869476384442
2024-04-01,2025-03-01,2013.8456548214644
2024-05-01,2024-06-01,1708.1815800371348
2024-05-01,2024-07-01,1788.312852144214
2024-05-01,2024-08-01,1924.9130337254312
2024-05-01,2024-09-01,1758.6208747534731
2024-05-01,2024-10-01,1885.9992520892204
2024-05-01,2024-11-01,1992.9422785936033
2024-05-01,2024-12-01,1817.6612715075105
2024-05-01,2025-01-01,1884.8892085728644
2024-05-01,2025-02-01,1940.6567674408655
2024-05-01,2025-03-01,2014.6765408506183
2024-06-01,2024-07-01,1754.671489905969
2024-06-01,2024-08-01,1907.8902741382024
2024-06-01,2024-09-01,1908.5371571270152
2024-06-01,2024-10-01,1842.6865582879907
2024-06-01,2024-11-01,1960.5978008530524
2024-06-01,2024-12-01,2097.940973295872
2024-06-01,2025-01-01,1785.619653636151
2024-06-01,2025-02-01,2018.7180082383113
2024-06-01,2025-03-01,2123.0549824067202
2024-07-01,2024-08-01,1900.8916259658163
2024-07-01,2024-09-01,1951.4170641469789
2024-07-01,2024-10-01,1947.0193625354443
2024-07-01,2024-11-01,1918.7376987047057
2024-07-01,2024-12-01,2071.9942964822267
2024-07-01,2025-01-01,2170.0200539541374
2024-07-01,2025-02-01,1842.1733204813142
2024-07-01,2025-03-01,2138.484643122127
2024-08-01,2024-09-01,1956.5465501286742
2024-08-01,2024-10-01,2136.878994888926
2024-08-01,2024-11-01,1938.499149793286
2024-08-01,2024-12-01,2076.4851310335916
2024-08-01,2025-01-01,2233.3523878316296
2024-08-01,2025-02-01,2255.2755120900497
2024-08-01,2025-03-01,1964.6207556869006
2024-09-01,2024-10-01,2105.262771245207
2024-09-01,2024-11-01,2200.6062999611436
2024-09-01,2024-12-01,1987.8645299050058
2024-09-01,2025-01-01,2181.5433361818637
2024-09-01,2025-02-01,2287.8796974077295
2024-09-01,2025-03-01,2448.2208271784207
2024-10-01,2024-11-01,2174.7191952514586
2024-10-01,2024-12-01,2256.3700533379606
2024-10-01,2025-01-01,2320.215485187694
2024-10-01,2025-02-01,2295.5987572085683
2024-10-01,2025-03-01,2457.4605332418
2024-11-01,2024-12-01,2251.9110726894305
2024-11-01,2025-01-01,2661.5404562408125
2024-11-01,2025-02-01,2518.1299434541143
2024-11-01,2025-03-01,2599.0302009260904
2024-12-01,2025-01-01,2519.9959217485293
2024-12-01,2025-02-01,2845.715290749475
2024-12-01,2025-03-01,2740.0033833207644
2025-01-01,2025-02-01,2727.7219786583028
2025-01-01,2025-03-01,3183.2370264471683
2025-02-01,2025-03-01,3027.795130413617
