forecast_date,date,forecast
2024-04-01,2024-05-01,2513.2614098515005
2024-04-01,2024-06-01,2474.9605803829318
2024-04-01,2024-07-01,1658.4608808577502
2024-04-01,2024-08-01,2526.847181192185
2024-04-01,2024-09-01,2610.9823033902953
2024-04-01,2024-10-01,2923.353174157291
2024-04-01,2024-11-01,1986.438300174894
2024-04-01,2024-12-01,2890.4661126026995
2024-04-01,2025-01-01,2802.9379997000724
2024-04-01,2025-02-01,2802.9379997000724
2024-04-01,2025-03-01,2802.9379997000724
2024-05-01,2024-06-01,2513.2614098515005
2024-05-01,2024-07-01,2562.488693285559
2024-05-01,2024-08-01,1658.4608808577502
2024-05-01,2024-09-01,2610.9823033902953
2024-05-01,2024-10-01,2923.353174157291
2024-05-01,2024-11-01,2958.994686250665
2024-05-01,2024-12-01,1986.438300174894
2024-05-01,2025-01-01,2802.9379997000724
2024-05-01,2025-02-01,2802.9379997000724
2024-05-01,2025-03-01,2802.9379997000724
2024-06-01,2024-07-01,2600.7895227541276
2024-06-01,2024-08-01,2562.488693285559
2024-06-01,2024-09-01,1742.5960030558606
2024-06-01,2024-10-01,2923.353174157291
2024-06-01,2024-11-01,2923.353174157291
2024-06-01,2024-12-01,2958.994686250665
2024-06-01,2025-01-01,1898.9101872722645
2024-06-01,2025-02-01,2802.9379997000724
2024-06-01,2025-03-01,2802.9379997000724
2024-07-01,2024-08-01,2600.7895227541276
2024-07-01,2024-09-01,2646.623815483669
2024-07-01,2024-10-01,2054.966873822858
2024-07-01,2024-11-01,2923.353174157291
2024-07-01,2024-12-01,2923.353174157291
2024-07-01,2025-01-01,2835.825061254664
2024-07-01,2025-02-01,1898.9101872722645
2024-07-01,2025-03-01,2802.9379997000724
2024-08-01,2024-09-01,2684.924644952238
2024-08-01,2024-10-01,2958.994686250665
2024-08-01,2024-11-01,2054.966873822858
2024-08-01,2024-12-01,2923.353174157291
2024-08-01,2025-01-01,2835.825061254664
2024-08-01,2025-02-01,2835.825061254664
2024-08-01,2025-03-01,1898.9101872722645
2024-09-01,2024-10-01,2997.2955157192337
2024-09-01,2024-11-01,2958.994686250665
2024-09-01,2024-12-01,2054.966873822858
2024-09-01,2025-01-01,2835.825061254664
2024-09-01,2025-02-01,2835.825061254664
2024-09-01,2025-03-01,2835.825061254664
2024-10-01,2024-11-01,2997.2955157192337
2024-10-01,2024-12-01,2958.994686250665
2024-10-01,2025-01-01,1967.4387609202286
2024-10-01,2025-02-01,2835.825061254664
2024-10-01,2025-03-01,2835.825061254664
2024-11-01,2024-12-01,2997.2955157192337
2024-11-01,2025-01-01,2871.466573348038
2024-11-01,2025-02-01,1967.4387609202286
2024-11-01,2025-03-01,2835.825061254664
2024-12-01,2025-01-01,2909.7674028166066
2024-12-01,2025-02-01,2871.466573348038
2024-12-01,2025-03-01,1967.4387609202286
2025-01-01,2025-02-01,2909.7674028166066
2025-01-01,2025-03-01,2871.466573348038
2025-02-01,2025-03-01,2909.7674028166066
