forecast_date,date,forecast
2024-04-01,2024-05-01,6918.023992207923
2024-04-01,2024-06-01,6916.710844674147
2024-04-01,2024-07-01,6916.686776298308
2024-04-01,2024-08-01,6916.6863351546435
2024-04-01,2024-09-01,6916.686327069024
2024-04-01,2024-10-01,6916.686326920824
2024-04-01,2024-11-01,6916.686326918108
2024-04-01,2024-12-01,6916.686326918058
2024-04-01,2025-01-01,6916.686326918057
2024-04-01,2025-02-01,6916.686326918057
2024-05-01,2024-06-01,6916.710844674147
2024-05-01,2024-07-01,6916.686776298308
2024-05-01,2024-08-01,6916.6863351546435
2024-05-01,2024-09-01,6916.686327069024
2024-05-01,2024-10-01,6916.686326920824
2024-05-01,2024-11-01,6916.686326918108
2024-05-01,2024-12-01,6916.686326918058
2024-05-01,2025-01-01,6916.686326918057
2024-06-01,2024-07-01,6916.686776298308
2024-06-01,2024-08-01,6916.6863351546435
2024-06-01,2024-09-01,6916.686327069024
2024-06-01,2024-10-01,6916.686326920824
2024-06-01,2024-11-01,6916.686326918108
2024-06-01,2024-12-01,6916.686326918058
2024-07-01,2024-08-01,6916.6863351546435
2024-07-01,2024-09-01,6916.686327069024
2024-07-01,2024-10-01,6916.686326920824
2024-07-01,2024-11-01,6916.686326918108
2024-08-01,2024-09-01,6916.686327069024
2024-08-01,2024-10-01,6916.686326920824
