forecast_date,date,forecast
2024-04-01,2024-05-01,29182.371
2024-04-01,2024-06-01,30259.268
2024-04-01,2024-07-01,32072.875
2024-04-01,2024-08-01,31810.88
2024-04-01,2024-09-01,30987.412
2024-04-01,2024-10-01,30978.424
2024-04-01,2024-11-01,26955.08
2024-04-01,2024-12-01,27646.16
2024-04-01,2025-01-01,27904.418
2024-04-01,2025-02-01,26363.215
2024-04-01,2025-03-01,30387.385
2024-05-01,2024-06-01,28703.6
2024-05-01,2024-07-01,33020.938
2024-05-01,2024-08-01,33283.59
2024-05-01,2024-09-01,32211.467
2024-05-01,2024-10-01,31621.965
2024-05-01,2024-11-01,31737.863
2024-05-01,2024-12-01,27638.385
2024-05-01,2025-01-01,25992.889
2024-05-01,2025-02-01,29451.912
2024-05-01,2025-03-01,29430.666
2024-06-01,2024-07-01,29201.85
2024-06-01,2024-08-01,34713.53
2024-06-01,2024-09-01,33288.816
2024-06-01,2024-10-01,32206.393
2024-06-01,2024-11-01,32660.104
2024-06-01,2024-12-01,32216.645
2024-06-01,2025-01-01,26638.027
2024-06-01,2025-02-01,26753.217
2024-06-01,2025-03-01,28916.273
2024-07-01,2024-08-01,30360.12
2024-07-01,2024-09-01,34711.234
2024-07-01,2024-10-01,33296.387
2024-07-01,2024-11-01,32324.154
2024-07-01,2024-12-01,33310.0
2024-07-01,2025-01-01,30298.76
2024-07-01,2025-02-01,26738.43
2024-07-01,2025-03-01,27662.477
2024-08-01,2024-09-01,30360.209
2024-08-01,2024-10-01,34718.805
2024-08-01,2024-11-01,33438.76
2024-08-01,2024-12-01,33029.125
2024-08-01,2025-01-01,31149.37
2024-08-01,2025-02-01,30634.322
2024-08-01,2025-03-01,27671.854
2024-09-01,2024-10-01,30367.783
2024-09-01,2024-11-01,34861.17
2024-09-01,2024-12-01,33857.395
2024-09-01,2025-01-01,30716.562
2024-09-01,2025-02-01,30702.674
2024-09-01,2025-03-01,31555.658
2024-10-01,2024-11-01,30564.99
2024-10-01,2024-12-01,35652.547
2024-10-01,2025-01-01,31618.043
2024-10-01,2025-02-01,31089.867
2024-10-01,2025-03-01,31649.088
2024-11-01,2024-12-01,31500.9
2024-11-01,2025-01-01,33403.5
2024-11-01,2025-02-01,32293.281
2024-11-01,2025-03-01,32051.023
2024-12-01,2025-01-01,28807.895
2024-12-01,2025-02-01,33402.4
2024-12-01,2025-03-01,33185.62
2025-01-01,2025-02-01,28912.04
2025-01-01,2025-03-01,34300.727
2025-02-01,2025-03-01,29810.363
