date,forecast
2025-04-28,14376.955591005606
2025-05-05,13739.194990800886
2025-05-12,15565.623929008656
2025-05-19,12422.950386052742
2025-05-26,11921.265729678573
2025-06-02,13596.16984836192
2025-06-09,10670.398409716427
2025-06-16,10812.804219754164
2025-06-23,12780.098866082324
2025-06-30,10469.949969260459
2025-07-07,10525.524317678235
2025-07-14,12122.813605949832
2025-07-21,10195.87438543922
2025-07-28,10641.339535994402
2025-08-04,12590.73084109287
2025-08-11,10345.902150075943
2025-08-18,10606.897864948165
2025-08-25,12689.71753702792
2025-09-01,10683.655776383579
2025-09-08,10876.94822555941
2025-09-15,12625.50821164529
2025-09-22,10645.160052609916
2025-09-29,11200.784365781119
2025-10-06,12858.53789697428
2025-10-13,10452.170272198842
2025-10-20,10385.626260038141
2025-10-27,12373.935714577143
2025-11-03,10556.05245234492
2025-11-10,10924.69648210337
2025-11-17,12385.64563717491
2025-11-24,9916.176594837623
2025-12-01,10573.808951338151
2025-12-08,13604.452250391465
2025-12-15,13056.368350031888
2025-12-22,13989.361331752567
2025-12-29,14787.286419215436
2026-01-05,11104.769696862866
2026-01-12,10676.496772456725
2026-01-19,13013.074314896876
2026-01-26,11357.056434210912
2026-02-02,12047.493185475087
2026-02-09,14167.742744303343
2026-02-16,12283.715922081836
2026-02-23,12921.793193357353
2026-03-02,15359.473981839068
2026-03-09,13584.461222995818
2026-03-16,13647.241129582415
2026-03-23,15086.119713050633
2026-03-30,13004.038604149497
2026-04-06,13420.043626883798
2026-04-13,15412.239344830114
