date,forecast
2025-04-28,21983.745919648896
2025-05-05,17211.049118727846
2025-05-12,14456.098130023496
2025-05-19,12865.853606487373
2025-05-26,11947.914356386247
2025-06-02,11418.050895512597
2025-06-09,11112.19700906197
2025-06-16,10935.648507863736
2025-06-23,10833.739149650057
2025-06-30,10774.91385676432
2025-07-07,10740.958044032803
2025-07-14,10721.357678922892
2025-07-21,10710.043730542997
2025-07-28,10703.512963017742
2025-08-04,10699.743198207367
2025-08-11,10697.567171167577
2025-08-18,10696.311099790162
2025-08-25,10695.586055810325
2025-09-01,10695.167537577883
2025-09-08,10694.925955665947
2025-09-15,10694.78650697375
2025-09-22,10694.706012794366
2025-09-29,10694.659549017526
2025-10-06,10694.632728661387
2025-10-13,10694.617247106671
2025-10-20,10694.60831066544
2025-10-27,10694.603152269961
2025-11-03,10694.600174681542
2025-11-10,10694.598455923677
2025-11-17,10694.597463802476
2025-11-24,10694.596891118856
2025-12-01,10694.596560547823
2025-12-08,10694.596369731807
2025-12-15,10694.59625958679
2025-12-22,10694.596196007615
2025-12-29,10694.596159307712
2026-01-05,10694.596138123372
2026-01-12,10694.596125895103
2026-01-19,10694.59611883656
2026-01-26,10694.596114762147
2026-02-02,10694.596112410269
2026-02-09,10694.59611105269
2026-02-16,10694.596110269053
2026-02-23,10694.596109816712
2026-03-02,10694.596109555607
2026-03-09,10694.596109404889
2026-03-16,10694.59610931789
2026-03-23,10694.596109267672
2026-03-30,10694.596109238684
2026-04-06,10694.596109221951
2026-04-13,10694.596109212293
