forecast_date,date,forecast
2024-04-01,2024-05-01,9741.500000000067
2024-04-01,2024-06-01,13533.000000000025
2024-04-01,2024-07-01,22290.50000000008
2024-04-01,2024-08-01,9741.500000000158
2024-04-01,2024-09-01,13533.000000000102
2024-04-01,2024-10-01,22290.500000000153
2024-04-01,2024-11-01,9741.500000000262
2024-04-01,2024-12-01,13533.000000000204
2024-04-01,2025-01-01,22290.50000000021
2024-04-01,2025-02-01,9741.500000000326
2024-04-01,2025-03-01,13533.000000000266
2024-05-01,2024-06-01,9741.50000000005
2024-05-01,2024-07-01,13533.00000000003
2024-05-01,2024-08-01,22290.500000000076
2024-05-01,2024-09-01,9741.500000000142
2024-05-01,2024-10-01,13533.000000000091
2024-05-01,2024-11-01,22290.500000000167
2024-05-01,2024-12-01,9741.500000000262
2024-05-01,2025-01-01,13533.000000000195
2024-05-01,2025-02-01,22290.50000000023
2024-05-01,2025-03-01,9741.500000000313
2024-06-01,2024-07-01,9741.500000000051
2024-06-01,2024-08-01,13533.000000000025
2024-06-01,2024-09-01,22290.500000000087
2024-06-01,2024-10-01,9741.500000000122
2024-06-01,2024-11-01,13533.000000000113
2024-06-01,2024-12-01,22290.500000000196
2024-06-01,2025-01-01,9741.500000000227
2024-06-01,2025-02-01,13533.000000000213
2024-06-01,2025-03-01,22290.500000000247
2024-07-01,2024-08-01,9741.500000000047
2024-07-01,2024-09-01,13533.000000000025
2024-07-01,2024-10-01,22290.500000000073
2024-07-01,2024-11-01,9741.500000000142
2024-07-01,2024-12-01,13533.000000000131
2024-07-01,2025-01-01,22290.500000000182
2024-07-01,2025-02-01,9741.500000000255
2024-07-01,2025-03-01,13533.00000000023
2024-08-01,2024-09-01,9741.500000000051
2024-08-01,2024-10-01,13533.000000000018
2024-08-01,2024-11-01,22290.500000000095
2024-08-01,2024-12-01,9741.50000000016
2024-08-01,2025-01-01,13533.000000000115
2024-08-01,2025-02-01,22290.500000000204
2024-08-01,2025-03-01,9741.500000000275
2024-09-01,2024-10-01,9741.500000000038
2024-09-01,2024-11-01,13533.00000000003
2024-09-01,2024-12-01,22290.50000000011
2024-09-01,2025-01-01,9741.500000000146
2024-09-01,2025-02-01,13533.000000000131
2024-09-01,2025-03-01,22290.50000000021
2024-10-01,2024-11-01,9741.500000000058
2024-10-01,2024-12-01,13533.000000000047
2024-10-01,2025-01-01,22290.500000000095
2024-10-01,2025-02-01,9741.500000000175
2024-10-01,2025-03-01,13533.000000000138
2024-11-01,2024-12-01,9741.500000000076
2024-11-01,2025-01-01,13533.000000000045
2024-11-01,2025-02-01,22290.50000000011
2024-11-01,2025-03-01,9741.50000000018
2024-12-01,2025-01-01,9741.500000000067
2024-12-01,2025-02-01,13533.000000000051
2024-12-01,2025-03-01,22290.500000000102
2025-01-01,2025-02-01,9741.500000000075
2025-01-01,2025-03-01,13533.00000000004
2025-02-01,2025-03-01,9741.500000000067
