forecast_date,date,forecast
2024-04-01,2024-05-01,8223.695397776635
2024-04-01,2024-06-01,6139.798752863761
2024-04-01,2024-07-01,4843.825664862534
2024-04-01,2024-08-01,5479.810284869405
2024-04-01,2024-09-01,6479.381520241308
2024-04-01,2024-10-01,6947.38821506591
2024-04-01,2024-11-01,5996.638940464756
2024-04-01,2024-12-01,8331.147122385888
2024-04-01,2025-01-01,7363.686179522631
2024-04-01,2025-02-01,9717.585835148562
2024-05-01,2024-06-01,6139.798752863761
2024-05-01,2024-07-01,4843.825664862534
2024-05-01,2024-08-01,5479.810284869405
2024-05-01,2024-09-01,6479.381520241308
2024-05-01,2024-10-01,6947.38821506591
2024-05-01,2024-11-01,5996.638940464756
2024-05-01,2024-12-01,8331.147122385888
2024-05-01,2025-01-01,7363.686179522631
2024-06-01,2024-07-01,4843.825664862534
2024-06-01,2024-08-01,5479.810284869405
2024-06-01,2024-09-01,6479.381520241308
2024-06-01,2024-10-01,6947.38821506591
2024-06-01,2024-11-01,5996.638940464756
2024-06-01,2024-12-01,8331.147122385888
2024-07-01,2024-08-01,5479.810284869405
2024-07-01,2024-09-01,6479.381520241308
2024-07-01,2024-10-01,6947.38821506591
2024-07-01,2024-11-01,5996.638940464756
2024-08-01,2024-09-01,6479.381520241308
2024-08-01,2024-10-01,6947.38821506591
